"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"ZoeHealy3","2019-09-30 12:14","0","0","1,180 premature deaths down to air pollution - EPA https://www.rte.ie/news/2019/0925/1077992-air-pollution-epa/ …","","","","1178629105933139968","https://twitter.com/ZoeHealy3/status/1178629105933139968",""
"ZoeHealy3","2019-09-29 20:41","0","2","Please can car adverts be forced to have health warnings about airpollution inside vehicles, weight gain/health impact from lack of exercise.","","","","1178394369105305601","https://twitter.com/ZoeHealy3/status/1178394369105305601",""
"oliver_moran","2019-09-28 19:16","4","14","Lovely afternoon meeting residents in Hazelwood Avenue and Hazelwood Court in Glanmire with a great team of @CorkGreens canvassers.    Transport infrastructure, housing, antisocial behaviour, and air pollution among the issues discussed. Thanks everyone who took the time to talk! pic.twitter.com/QFJTG28NbB","","@CorkGreens","","1178010530851753989","https://twitter.com/oliver_moran/status/1178010530851753989",""
"ProfCOConnor","2019-09-26 14:53","1","3","Air pollution monitoring & modelling research presnted by Dr Jose Manzano. @FSEH_TUDublin @WeAreTUDublin #wehdpic.twitter.com/Ib3frP4Ltn","","@FSEH_TUDublin @WeAreTUDublin","#wehdpic","1177219637114789888","https://twitter.com/ProfCOConnor/status/1177219637114789888",""
"Pairsonnalites","2019-09-26 07:56","1","0","Stigmabase —  Over 1000 Irish people die every year due to air pollution, shocking report reveals: The Asthma Society of Ireland have called on members of the government to introduce a ban on smoky coal as the first step towards a cleaner country. View… http://dlvr.it/RDwLyT ","","","","1177114600006770689","https://twitter.com/Pairsonnalites/status/1177114600006770689",""
"pairsonnalitesN","2019-09-26 06:00","1","0","IE | Desk — Over 1000 Irish people die every year due to air pollution, shocking report reveals: The Asthma Society of Ireland have called on members of the government to introduce a ban on smoky coal as the first step towards a cleaner country. View… http://dlvr.it/RDw3Lj ","","","","1177085539024982016","https://twitter.com/pairsonnalitesN/status/1177085539024982016",""
"bamacgabhann","2019-09-22 11:41","0","1","The air pollution one involves people actually getting involved in citizen monitoring - at whatever level they choose. Some will have monitors, others will contribute to design, ranging from artistic design to writing code or building electronics.","","","","1175721840519593985","https://twitter.com/bamacgabhann/status/1175721840519593985",""
"bamacgabhann","2019-09-21 22:25","0","2","Seconding what @stephenkinsella and @moranjohna1 said. Anne, I'm involved with two parts of the project, one on air pollution, and one on transport, and there's public engagement built into both. I think this project can be a real positive for Limerick.","","@stephenkinsella @moranjohna1","","1175521489296265216","https://twitter.com/bamacgabhann/status/1175521489296265216",""
"eyre_mella","2019-09-20 17:05","4","5","Experts warn that Ireland is heading for '#climatechange apocalypse' by 2050.   In March the UN warned that millions of people will die before their time due to water and air pollution by 2050.  #ClimateCrisis #ClimateEmergency  #ClimateAction #ClimateStrike https://www.irishmirror.ie/news/irish-news/experts-warn-ireland-heading-climate-20063867 …pic.twitter.com/ywGWFJStQ0","","","#climatechange #ClimateCrisis #ClimateEmergency #ClimateAction #ClimateStrike","1175078433472372738","https://twitter.com/eyre_mella/status/1175078433472372738",""
"wrdcsc","2019-09-18 19:44","5","27","If it takes air pollution to get some to consider the rights of unborn babies, and for The Guardian to use the natural and appropriate phrase “unborn babies,” that’s just fine. Laudato si! pic.twitter.com/JIl9urYbVl","","","","1174393697452089344","https://twitter.com/wrdcsc/status/1174393697452089344",""
