"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"DrSerranoMartin","2019-09-30 17:11","3","6","@insight_centre @CreateIoT_eu @ACTIVAGEproject this is what we do when we are not writing sience, #EPE activities @DCUalpha #iotschool #AirQuality-MobileLab collecting weather and air quality data pic.twitter.com/zCXv79xFou","","@insight_centre @CreateIoT_eu @ACTIVAGEproject @DCUalpha","#EPE #iotschool #AirQuality","1178703944404615169","https://twitter.com/DrSerranoMartin/status/1178703944404615169",""
"johnpeavoy","2019-09-29 15:40","0","1","Catching up here @TomRaftery and spotted that air quality monitor you recently acquired in last week’s ft_weekend financialtimes magazine. Had you seen the article? If not, happy to share. @ Rochestown, Cork, Ireland https://www.instagram.com/p/B2_7GD-ncqG/?igshid=b5rzv8dmwjrg …","","@TomRaftery @","","1178318550886432768","https://twitter.com/johnpeavoy/status/1178318550886432768",""
"dulsel14","2019-09-26 09:24","0","0","Good responsible Gov should  balance tax on ability to pay I am of the opinion that most of this carbon tax should be shouldered by big corporations who are responsible for poor air quality. Motorist are going to be hit you can get rid of the car and use P, transport or go elect https://twitter.com/rtenews/status/1176891011466977280 …","","","","1177136844674412544","https://twitter.com/dulsel14/status/1177136844674412544",""
"newsbicky","2019-09-25 10:14","0","1","Poor air quality too. Very noticeable. Most drivers have no choice due to already jam-packed public transport at ""peak times"" and many need to drive children to creches etc before work. Two crashes caused extra gridlock today. Better laws, resources and plans needed in my view.","","","","1176787040446427136","https://twitter.com/newsbicky/status/1176787040446427136",""
"rte","2019-09-25 07:23","10","16","Publishing its annual air quality report to mark World Lung Day, the EPA says it is increasingly concerned about rising levels of pollution in Ireland    https://www.rte.ie/news/2019/0925/1077992-air-pollution-epa/ …","","","","1176743958145306625","https://twitter.com/rte/status/1176743958145306625",""
"DublinLoop","2019-09-25 00:37","1","1","Poor air quality prematurely killing over 1,100 in Ireland each year https://jrnl.ie/4823103 ","","","","1176641779355049984","https://twitter.com/DublinLoop/status/1176641779355049984",""
"MartinB49200842","2019-09-24 17:53","0","0","Why try to blur the issue?   Burning Oil products is what is damaging air quality, children’s lungs and brain development and also fuelling Climate change. People aren’t standing for corporate / political lies. Thank Greta. There is No issue with using oil in non combustible ways.","","","","1176540046024957954","https://twitter.com/MartinB49200842/status/1176540046024957954",""
"newsbicky","2019-09-20 16:37","0","1","A planned phase-out of diesel and petrol vehicle use over next few years with engagement with EV importers and ESB etc would be a must for me in the next general election. Air quality is also an urgent issue.","","","","1175071463671513090","https://twitter.com/newsbicky/status/1175071463671513090",""
"KeithMillsD7","2019-09-20 12:42","0","0","There is a much much stronger case for removing cars from our cities based on air quality than any ""climate change"" impact.","","","","1175012377999347714","https://twitter.com/KeithMillsD7/status/1175012377999347714",""
"MiSheridan","2019-09-20 09:11","0","2","So many factors play a part - so any calculator would be a blunt instrument. The air quality debate is clear cut at point of use - but again where is the power sourced... #itscomplicated","","","#itscomplicated","1174959201988145153","https://twitter.com/MiSheridan/status/1174959201988145153",""
