"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"CorkEnvForum","2019-09-30 20:26","1","1","The ridiculous reality, all declarations but no follow through with enough resources to organisations working to address our Climate and Biodiversity crisis. Same with LA21 funding, changed the name @Dept_CCAE but not amount of €s @FineGael @fiannafailparty @greenparty_iehttps://twitter.com/LiamLy/status/1178693825168134150 …","","@Dept_CCAE @FineGael @fiannafailparty @greenparty_iehttps","","1178753004121530369","https://twitter.com/CorkEnvForum/status/1178753004121530369",""
"ellmucork","2019-09-30 19:15","0","0","We should be hiring more biodiversity experts to help recover our lost natural world. This is poor https://twitter.com/LiamLy/status/1178693825168134150 …","","","","1178735084310020096","https://twitter.com/ellmucork/status/1178735084310020096",""
"BridgetGoulding","2019-09-29 17:13","0","1","Wow brilliant idea Síle, particularly in view of biodiversity loss. And delighted maintenance being kept up in Moviddy.","","","","1178342071092088833","https://twitter.com/BridgetGoulding/status/1178342071092088833",""
"polly_galway","2019-09-27 20:57","0","0","More than half of native European trees face extinction, warns study  #NativeTrees #biodiversity  https://www.theguardian.com/environment/2019/sep/27/more-than-half-of-native-european-trees-face-extinction-warns-study?CMP=Share_AndroidApp_Tweet …","","","#NativeTrees #biodiversity","1177673689929785345","https://twitter.com/polly_galway/status/1177673689929785345",""
"Edgillwhl","2019-09-27 18:02","5","16","Sad to hear on @drivetimerte @RTERadio1 that our beloved children's game is at risk as the #horsechestnuttree faces EXTINCTION - along with scores of other native European trees. its on of my favourite trees at home @Mt_Briscoe  #drivetimerte  #ClimateChange  #nature  #Biodiversity pic.twitter.com/QXNPAgzD5X","","@drivetimerte @RTERadio1 @Mt_Briscoe","#horsechestnuttree #drivetimerte #ClimateChange #nature #Biodiversity","1177629615722057731","https://twitter.com/Edgillwhl/status/1177629615722057731",""
"raymondofoghlu","2019-09-27 11:06","0","1","this is typified in the forestry debate. Left:We need native forests only (ignoring current economic reality and private property rights) Right: Commercial markets will drive mass afforestation (ignoring biodiversity apocalypse)","","","","1177524928633085952","https://twitter.com/raymondofoghlu/status/1177524928633085952",""
"olivergburke","2019-09-27 07:40","1","1","Planting conifers won't help biodiversity on farms warns Teagasc https://www.independent.ie/business/farming/forestry-enviro/forestry/planting-conifers-wont-help-biodiversity-on-farms-warns-teagasc-38525843.html …pic.twitter.com/oxmC2DbSLA","","","","1177473001102594048","https://twitter.com/olivergburke/status/1177473001102594048",""
"MrMattHague","2019-09-26 20:23","0","0","It’s not often @CIEEMnet gets mentioned by @bbclaurak. Not sure it’s quite the publicity we want though. #Biodiversity https://twitter.com/bbclaurak/status/1177300586393481216 …","","@CIEEMnet @bbclaurak","#Biodiversity","1177302613982961669","https://twitter.com/MrMattHague/status/1177302613982961669",""
"BioDataCentre","2019-09-26 10:45","1","3","Business Case Study #6 Granville Ecopark @EcoPark_Ltd - profiling their actions to help Pollinators in Ireland, as part of their commitment to signing up to the All-Ireland Pollinator Plan.  http://Pollinators.ie/businesses/case-studies …  #allirelandpollinatorplan #biodiversity #biodiversityirelandpic.twitter.com/6LwxqWnKjJ","","@EcoPark_Ltd","#6 #allirelandpollinatorplan #biodiversity #biodiversityirelandpic","1177157181298368512","https://twitter.com/BioDataCentre/status/1177157181298368512",""
"criodanomurchu","2019-09-24 19:03","2","4","I'm delighted to see @westmeathcoco declare a climate and biodiversity emergency. Acknowledgement is a good first step but now drastic action is needed, fast.   Work with the public and not against them.   We only have one chance at this.   #ThereIsNoPlanetB #ClimateEmergency","","@westmeathcoco","#ThereIsNoPlanetB #ClimateEmergency","1176557875239563264","https://twitter.com/criodanomurchu/status/1176557875239563264",""
