"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"aerpower","2019-09-28 16:35","4","11","Interesting thread on pheasants...    I think I recall a talk at the Irish ornithological conference that the biomass of introduced pheasants in the UK was greater than all other birds put together! https://twitter.com/TetZoo/status/1177508873948647431 …","","","","1177970045873508357","https://twitter.com/aerpower/status/1177970045873508357",""
"cpbyrne","2019-09-23 21:50","0","0","Massive amounts of biomass being shipped. What is the enrrgy balance for such shipments. There is a vast amount of dishonesty in this whole strategy. People need to wake up and question this left wing agenda of climate control. https://twitter.com/john_mcguirk/status/1176150426594533382 …","","","","1176237491659169793","https://twitter.com/cpbyrne/status/1176237491659169793",""
"DuncannonEIP","2019-09-17 18:40","1","7","A great day at #Ploughing19 with our project. Alongside @EIPAGRI_SP @agriculture_ie @DanuFarming and biomass to bio char EIP group. Thanks to all who called by. @NPAIEpic.twitter.com/VQZqom0dzM","","@EIPAGRI_SP @agriculture_ie @DanuFarming @NPAIEpic","#Ploughing19","1174015334627631104","https://twitter.com/DuncannonEIP/status/1174015334627631104",""
"john003","2019-08-26 18:19","0","1","We have shut down out single coal fired power station....Think the plan is replace with biomass.... pic.twitter.com/lXLFNxZdD8","","","","1166037498402934784","https://twitter.com/john003/status/1166037498402934784",""
"Rita_McInerney","2019-08-21 12:00","1","0","Instead of building 4 new power plants in Dublin why not look at feasible alternatives to reconfigure existing power plant at #MoneyPoint? Offshore Wind, Carbon Capture, Biomass. Why not is greed: just want security of supply in Dublin, no care for Balanced Regional Development https://twitter.com/RTEBrainstorm/status/1163758426041868289 …","","","#MoneyPoint","1164130237971664896","https://twitter.com/Rita_McInerney/status/1164130237971664896",""
"john003","2019-08-19 15:58","0","0","How much of the renewables are timber biomass....https://m.spiegel.de/international/germany/german-renewable-energy-policy-takes-toll-on-nature-conservation-a-888094.html …","","","","1163465166098448386","https://twitter.com/john003/status/1163465166098448386",""
"adriluzz1","2019-08-16 23:48","2","4","Earlier this week, interesting talk about biomass characterisation and analytical pyrolysis by Prof. Frederik Ronsse from #ugent during #abcsalt summer school 2019 @H2020_ABC_SALTpic.twitter.com/2FxMJYiinY","","@H2020_ABC_SALTpic","#ugent #abcsalt","1162496477773672448","https://twitter.com/adriluzz1/status/1162496477773672448",""
"john003","2019-08-09 12:13","0","0","Don't think Irish people will become vegans by 2050....Government policy on biomass is questionable is it really zero carbon? pic.twitter.com/oBRvRcSGuR","","","","1159784696521330689","https://twitter.com/john003/status/1159784696521330689",""
"john003","2019-08-03 13:11","0","0","A major part of new green CAP will be biomass production for farmers......Burning wood for electricity..https://www.desmog.co.uk/2019/07/04/creative-carbon-accounting-how-industry-and-government-make-burning-wood-look-climate-solution?amp&__twitter_impression=true …","","","","1157625108334338049","https://twitter.com/john003/status/1157625108334338049",""
"eosfuturedesign","2019-08-02 21:17","2","0","@peaksurfer Fine example of an Irish #regenerativeagriculture innovation that can replace biocidal control methods for nuisance biomass https://twitter.com/BBiochar/status/1157303787972911104 …","","@peaksurfer","#regenerativeagriculture","1157385000028975104","https://twitter.com/eosfuturedesign/status/1157385000028975104",""
"john003","2019-07-25 09:58","0","0","Biomass is going back to pre industrial age when wood was used for cooking and heating....https://www.desmog.co.uk/2019/07/04/creative-carbon-accounting-how-industry-and-government-make-burning-wood-look-climate-solution?amp&__twitter_impression=true …","","","","1154314911473917952","https://twitter.com/john003/status/1154314911473917952",""
"philkearney","2019-07-23 16:03","1","4","An Taisce Response to An Bord Pleanála Refusal of Permission for Co. Offaly Peat-Biomass Electricity Plant http://www.antaisce.org/ABP-Shannonbridge-Biomass …pic.twitter.com/BBRGtGDFnc","","","","1153682089507770368","https://twitter.com/philkearney/status/1153682089507770368",""
"RoryMcA_","2019-07-23 14:07","0","0","ESB refused permission to covert peat station to co-fire with biomass https://greennews.ie/esb-abp-peat-biomass/ …","","","","1153652832027009024","https://twitter.com/RoryMcA_/status/1153652832027009024",""
"john003","2019-07-23 10:15","0","1","Idea of bringing wood chipping from cutting down Australian trees 12000 to burn as biomass....Australia is semi desert needs its trees...Being allowed to call the chipping  zero carbon was a bit mad....We have a biomass power station already gets its wood from the US..","","","","1153594411508539393","https://twitter.com/john003/status/1153594411508539393",""
"john003","2019-07-21 16:58","0","0","Biomass also a bit suspect....https://www.desmog.co.uk/2019/07/04/creative-carbon-accounting-how-industry-and-government-make-burning-wood-look-climate-solution?amp&__twitter_impression=true …","","","","1152971210793394176","https://twitter.com/john003/status/1152971210793394176",""
"raymondofoghlu","2019-07-19 10:27","0","0","Really interesting. Does this mean biomass in general is out when it comes to power/heat generation?, even at high efficiencies?","","","","1152147899360403456","https://twitter.com/raymondofoghlu/status/1152147899360403456",""
"raymondofoghlu","2019-07-19 09:48","0","0","Thanks. So I see it has the highest emission but why is that not compensated by sequestration due to net afforestation (assuming the wood/biomass is sourced in europe).  @johnwenger9","","@johnwenger9","","1152138065919524864","https://twitter.com/raymondofoghlu/status/1152138065919524864",""
"MikeHoit","2019-07-18 10:00","1","3","This is incredible. Just think about the scale of the simultaneous emergence of all that insect biomass, and how many ants it must be... @Buzz_dont_tweethttps://twitter.com/SimonOKing/status/1151448175372357632 …","","@Buzz_dont_tweethttps","","1151778744413163520","https://twitter.com/MikeHoit/status/1151778744413163520",""
"john003","2019-07-17 23:22","0","0","Biomass produces more CO2 than coal....ESB is in process of bringing tons of lumber all the way from Australia to burn in power station....That is considered carbon neutral....https://www.desmog.co.uk/2019/07/04/creative-carbon-accounting-how-industry-and-government-make-burning-wood-look-climate-solution?amp&__twitter_impression=true …","","","","1151618159637651463","https://twitter.com/john003/status/1151618159637651463",""
"john003","2019-07-16 21:31","0","2","Biomass produces more CO2 than coal....Need to plant more trees not cut them down and bring then 12000 miles to Ireland...https://www.desmog.co.uk/2019/07/04/creative-carbon-accounting-how-industry-and-government-make-burning-wood-look-climate-solution?amp&__twitter_impression=true …","","","","1151227760595152896","https://twitter.com/john003/status/1151227760595152896",""
