"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"ConorMcAleavey","2019-09-20 06:50","0","0","Raisin Bank looks to bring market-beating deposit rates (via @IrishTimes)https://www.irishtimes.com/business/personal-finance/raisin-bank-looks-to-bring-market-beating-deposit-rates-1.4024182 …","","@IrishTimes","","1174923805736587266","https://twitter.com/ConorMcAleavey/status/1174923805736587266",""
"kfurlong45","2019-08-13 19:42","0","4","Yea ye have the bank holiday at the end of the month , when I go back the schools in Scotland will be back so I’ll be busy . I’ll prob be down at the house I’d say , I’ll bring Charlie to the cinema etc","","","","1161347305213255680","https://twitter.com/kfurlong45/status/1161347305213255680",""
"RGBmusic58","2019-08-01 20:36","1","2","Looking forward to playing at The Ballyshannon Folk and Traditional Festival on this Bank Holiday Sun 4th August. We'll be on the Gables Stage at 4.30pm. Bring your dancing shoes! #Ballyshannon #FolkFestival #Livemusic #folkmusicpic.twitter.com/AgNOJudnEt","","","#Ballyshannon #FolkFestival #Livemusic #folkmusicpic","1157012304694845440","https://twitter.com/RGBmusic58/status/1157012304694845440",""
"louloubloom","2019-07-09 19:41","0","0","Nope, I wouldn't bank on that. They will probably charge you extra for a second bag. You will have book 2 X checked bags if you want to bring 2 home in the cabin! @Ryanair #ryanairshisters","","@Ryanair","#ryanairshisters","1148663448320073728","https://twitter.com/louloubloom/status/1148663448320073728",""
"tierneykevin1","2019-06-20 09:30","1","0","Hope he can bring that to the Bank eh ??","","","","1141624382391013376","https://twitter.com/tierneykevin1/status/1141624382391013376",""
"GlasgowBhoy","2019-06-06 17:16","0","0","Only contention to that is Israel would never unilaterally leave west Bank. They have hundreds of thousands of settlers there. There was uproar when a few hundred settlers were brought out of Gaza. First thing I'd do is bring in UN peacekeeping force immediately.","","","","1136668247313571840","https://twitter.com/GlasgowBhoy/status/1136668247313571840",""
"Glasha_Fitness","2019-05-30 12:54","0","0","Schedule to bring us to Bank Holiday    Thursday    19.00 Pilates with @megzomahony  20.00 Pregnancy Pilates with @megzomahony    Friday   19.00 TRX Combo with Mike    Saturday  10.00 Spin & Circuits with John    No classes on… https://www.instagram.com/p/ByFfI7ThXt8/?igshid=1ugqba5xj8l1g …","","@megzomahony @megzomahony","","1134065508830126080","https://twitter.com/Glasha_Fitness/status/1134065508830126080",""
"chelsmahon95","2019-05-24 14:06","0","0","So buzzing for the bank holiday cos I'm not working it😍 bring it on! https://twitter.com/GemmaReacts/status/1131906177158340608 …","","","","1131909314346672128","https://twitter.com/chelsmahon95/status/1131909314346672128","😍"
"ronanodea_","2019-05-06 12:29","1","7","Bank holidays bring out the worst in me","","","","1125361989692416003","https://twitter.com/ronanodea_/status/1125361989692416003",""
"moattheatre","2019-05-06 11:59","0","0","Need a little time for yourself after a hectic Bank Holiday Weekend? Join us for #CreativeJournaling with Cathy from artbeatireland.     Every Tuesday from 12 to 1pm. Just bring your notebook, journal, diary or… https://www.instagram.com/p/BxHl1yLhsAl/?igshid=kjgl3c9qcnhs …","","","#CreativeJournaling","1125354514641383425","https://twitter.com/moattheatre/status/1125354514641383425",""
