"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"Dermopj","2019-09-24 21:11","0","0","Wtf is a carbon credit ?","","","","1176589898805104655","https://twitter.com/Dermopj/status/1176589898805104655",""
"clonfarmer","2019-09-03 09:14","0","6","Who will get the carbon credit for these trees. Energy sector or farming??? What about farming getting credit for hedgerows and soil sequestration?? What about  #Mercosur??  Talk to @IFAmedia.......","","@IFAmedia","#Mercosur","1168799389709721600","https://twitter.com/clonfarmer/status/1168799389709721600",""
"john003","2019-08-27 01:23","0","3","Technically Canada has millions of trees if they were all given a carbon credit....Then Canada would also be carbon negative...","","","","1166144274070736897","https://twitter.com/john003/status/1166144274070736897",""
"john003","2019-06-29 12:06","0","0","So you are agreeing there is no carbon credit for grass....and it does sequester csrbon...Any link to more  accurate calculation of how much grass sequesteres carbon..","","","","1144925073276579840","https://twitter.com/john003/status/1144925073276579840",""
"john003","2019-06-29 00:35","0","0","Amazingly farmers get no carbon credit for grass...It is not calculated in the carbon footprint for farmers...However we all know from  school grass takes in CO2 and releases  oxygen.. It sequesteres carbon...  .","","","","1144751120843182080","https://twitter.com/john003/status/1144751120843182080",""
"john003","2019-06-28 23:47","0","0","Farmers get no carbon credit for grass...really they don't... pic.twitter.com/pRh8igGztM","","","","1144739195950419969","https://twitter.com/john003/status/1144739195950419969",""
"john003","2019-06-28 22:27","0","0","However no carbon credit is given to sequesting of carbon by grass... pic.twitter.com/WvbzE64yN0","","","","1144719071616876544","https://twitter.com/john003/status/1144719071616876544",""
"john003","2019-06-27 23:11","0","0","Shipping and aviation fuel are not calculated as part of a countries CO2 emissions under Paris agreement.....For some strange reason agriculture does not get a carbon credit for grass...","","","","1144367626539413510","https://twitter.com/john003/status/1144367626539413510",""
"john003","2019-06-18 23:44","1","3","#TonightVMTV No allowance is given for grass sequestering CO2 to the farmers....They should have a carbon credit for it.... pic.twitter.com/tCg5L8rrUv","","","#TonightVMTV","1141114435551076352","https://twitter.com/john003/status/1141114435551076352",""
"john003","2019-06-18 01:40","0","0","Very unfair that grass sequestration of CO2 is not measured in calculating CO2 emissions for agriculture....Woodland is....It is a fact that grass takes in CO2 out of the atmosphere....Should get a carbon credit for it....","","","","1140781409440845824","https://twitter.com/john003/status/1140781409440845824",""
"cionnai","2019-06-17 16:59","1","2","Just wondering how much carbon credit has Slab Murphy for his Diesel refineries in South Armagh? What percentage of Louth County Council’s annual budget was spent on their Environment Directorate over the past 10yrs as against comparators. The past never happened for SF. Deny etc","","","","1140650130099593217","https://twitter.com/cionnai/status/1140650130099593217",""
"clonfarmer","2019-04-22 18:05","0","1","Doesn't count as far as farming is concerned. Carbon credit given to energy sector. Not any of these beauties found in Co. Mercia forests!! . Hedgerows don't count either apparently. Otherwise, fine example of what must be done.","","","","1120373140524236803","https://twitter.com/clonfarmer/status/1120373140524236803",""
