"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"Padraig_McCann","2019-09-22 20:33","0","0",".@WMO report indicates that #ClimateChange accelerating in past five years, with Carbon Dioxide levels increasing, sea levels rising & ice sheets melting faster than ever before. #ClimateActionNow #ClimateActionhttps://www.rte.ie/news/world/2019/0922/1077531-climate-warning-wmo/ …","","@WMO","#ClimateChange #ClimateActionNow #ClimateActionhttps","1175855633603731459","https://twitter.com/Padraig_McCann/status/1175855633603731459",""
"kilkeal","2019-09-21 22:40","0","0","Isn't it wonderful we can actually change the weather just a bit of carbon dioxide and where https://twitter.com/TheEconomist/status/1175035439134257153 …","","","","1175525151292690437","https://twitter.com/kilkeal/status/1175525151292690437",""
"john003","2019-09-20 23:41","0","0","The global aviation industry produces around 2% of all human-induced carbon dioxide (CO2)emissions. Cows are much bigger problem than Ryanair....","","","","1175178099551604736","https://twitter.com/john003/status/1175178099551604736",""
"john003","2019-08-20 14:11","0","0","volcanoes, both on land and undersea, generate about 200 million tons of carbon dioxide (CO2) annually,  Manmade CO2 emissions are 37 billion tons CO2...Leaves do not release that much CO2...","","","","1163800841154904066","https://twitter.com/john003/status/1163800841154904066",""
"maerkelig","2019-08-06 20:37","1","2","""Carbon dioxide levels hit a record peak in May 2019, reaching 414.8 parts per million (ppm). This was 3.5 ppm higher than the previous year’s monthly average, and the second-highest annual rise on record."" #ClimateEmergency https://www.wri.org/blog/2019/07/month-climate-science-primate-extinctions-ice-free-greenland-dengue-explosion … via @worldresources","","@worldresources","#ClimateEmergency","1158824427603333121","https://twitter.com/maerkelig/status/1158824427603333121",""
"IRISHINSAFIAN","2019-08-05 17:38","51","141","One tree can absorb 20kg of dust annually, and swallow up 80kg of suspensions containing toxic metals such as mercury, lithium, lead etc. One tree cleans & purifies around 100,000 m2 of polluted air each year, creates 700kg of oxygen & absorbs 20 tons of carbon dioxide. pic.twitter.com/vQx5Sop1kc","","","","1158416978824048640","https://twitter.com/IRISHINSAFIAN/status/1158416978824048640",""
"john003","2019-07-07 13:24","1","1","Not all of the carbon dioxide we emit ends up in the atmosphere. About 40% actually gets absorbed in the ocean...Government could say our atmospheric carbon footprint is actually 36Mt CO2... Could scientifically say to the EU we have actually met our 2030 CO2 goal early in 2019.","","","","1147843901832749056","https://twitter.com/john003/status/1147843901832749056",""
"glykosymoritis","2019-07-07 09:23","0","0","Massive forest restoration could greatly slow global warming -    The right trees, planted in the right locations, could store 205 gigatons of carbon dioxide https://glykosymoritis.blogspot.com/2019/07/massive-forest-restoration-could.html … #globalwarming #environment #forestationpic.twitter.com/PTomaMNdfc","","","#globalwarming #environment #forestationpic","1147783096651190273","https://twitter.com/glykosymoritis/status/1147783096651190273",""
"brencooney","2019-07-06 20:03","0","1","As Irish #agriculture currently contributes approximately 20.45 mt of carbon dioxide (CO2) equivalents per annum, that leaves another 20mt. It's something, definitely something but a lot more needs to be done. #timetochange #beef #dairy #farming @agriculture_ie @IFAmedia @icmsa","","@agriculture_ie @IFAmedia @icmsa","#agriculture #timetochange #beef #dairy #farming","1147581784156180481","https://twitter.com/brencooney/status/1147581784156180481",""
"LTovander","2019-07-01 11:55","0","0","Medical groups issue ignorant call for Carbon Dioxide reductions https://www.cfact.org/2019/06/30/medical-groups-issue-ignorant-call-for-carbon-dioxide-reductions/ …","","","","1145647193803636736","https://twitter.com/LTovander/status/1145647193803636736",""
