"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"aobaoill","2019-09-30 10:22","0","0","Roughly ½ Irish electricity comes from gas, ¼ from coal and peat. 27% of electrical carbon emissions come from gas, 54% from coal and peat.    Replacing coal and peat with gas  should reduce carbon from electricity by ⅓. Replacing it with renewables reduces it by 55%.","","","","1178600921896501248","https://twitter.com/aobaoill/status/1178600921896501248",""
"LeitrimARC","2019-09-26 17:35","3","4","Imagine the reduction in carbon emissions if women didn't need to fly for abortion care. #Maltapic.twitter.com/btfArGXVb9","","","#Maltapic","1177260454630084608","https://twitter.com/LeitrimARC/status/1177260454630084608",""
"eoghans","2019-09-25 11:58","1","2","Excited to attend #oc6 in @oculus Venues on Quest later. I think virtual conferencing is a great way to lower carbon emissions. Who will I meet?","","@oculus","#oc6","1176813102236651521","https://twitter.com/eoghans/status/1176813102236651521",""
"davydublin47","2019-09-23 20:56","0","3","A younger generation getting dropped to school, flights, phones takeaways, new clothes every few months pointing the finger at a generation who had no influence whatsoever on carbon emissions. Great seeing kids wanting change but they dont think they contribute to the problem","","","","1176223780512960512","https://twitter.com/davydublin47/status/1176223780512960512",""
"olivergburke","2019-09-20 07:43","0","1","The Irish Cattle Breeding Federation (#ICBF) has created a proof-of-concept based on Oracle’s blockchain to provide greater insight into cattle DNA in a bid to boost sustainability and reduce carbon emissions. #Blockchain #blockchaintechnologyhttps://www.itpro.co.uk/business-operations/34453/icbf-looks-to-make-beef-supply-chain-more-sustainable-and-trackable-using …","","","#ICBF #Blockchain #blockchaintechnologyhttps","1174937171830001664","https://twitter.com/olivergburke/status/1174937171830001664",""
"CarthyRobbie","2019-09-19 23:23","0","5","Jesus I cant believe I'm saying this but I actually agree with Ivan 😱😱😱 what ireland does regarding carbon emissions isnt gonna save the planet and let's be honest just cos we do it doesnt mean America or China will do it #TonightVMTV","","","#TonightVMTV","1174811239190618112","https://twitter.com/CarthyRobbie/status/1174811239190618112","😱 😱 😱"
"LiamJIrwin","2019-09-19 00:30","1","1","It seems incredible. He must be the only head of state in the world who actually has higher carbon emissions as a policy goal. So much about that man depresses me.","","","","1174465660438634502","https://twitter.com/LiamJIrwin/status/1174465660438634502",""
"moranjohna1","2019-09-14 15:33","10","68","Could not agree more. The solution to carbon emissions is redesign of the way the next 2million of people living on our Island live not new electric versions of the toys the car industry and lobby want to sell us. https://twitter.com/BrendanM56/status/1172880429134880768 …","","","","1172881084436008966","https://twitter.com/moranjohna1/status/1172881084436008966",""
"Aily_NC","2019-09-14 12:43","0","0","For me environmental focus is important here too and that means we ban imports on beef and other agricultural produce we have here. Lower Carbon emissions by using Irish produce 🤷‍♀️ https://twitter.com/LmkCountySocDem/status/1172836761640284161 …","","","","1172838217114161152","https://twitter.com/Aily_NC/status/1172838217114161152","🤷‍♀️"
"LiamJIrwin","2019-09-14 02:55","1","20","Became leader in the world in dirty carbon emissions threatening the survival of the planet, but stuck to FakeFactsTrump denials in the face of overwhelming scientific evidence.","","","","1172690352408616960","https://twitter.com/LiamJIrwin/status/1172690352408616960",""
