"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"CarrieGrif","2019-09-27 23:56","0","1","@corkcitycouncil what time is construction work supposed to stop?! Still hearing jackhsmmersat nearly midnight, Cork Nrth Central/Wellington Rd #noisepollution","","@corkcitycouncil","#noisepollution","1177718596920840193","https://twitter.com/CarrieGrif/status/1177718596920840193",""
"tradheart","2019-09-22 10:34","0","0","Brilliant,the hardshaw trying to stop him,and then complains to the plod...hardly going to do him for noise pollution or public nuisance,with that racket going on in the background😂😂😂","","","","1175705006504325120","https://twitter.com/tradheart/status/1175705006504325120","😂 😂 😂"
"TomTDowling","2019-09-15 09:58","0","1","Limerick has come long way if we talking about groups of people eating outside in the city centre as 'noise pollution'. Imagine if we had more of that on O'Connell St?","","","","1173159118934294528","https://twitter.com/TomTDowling/status/1173159118934294528",""
"TomTDowling","2019-09-15 09:56","2","3","Limerick has come long way if we talking about groups of people eating outside in the city centre as 'noise pollution'. Imagine if we had more of that on O'Connell St?","","","","1173158586165465088","https://twitter.com/TomTDowling/status/1173158586165465088",""
"Powdy88","2019-08-12 21:50","0","1","A week of roadworks in a residential area in Thomastown from 7pm to 7am. Absolutely disgusted. Should not be an option. Easy know whoever signed off on it is not living beside this noise pollution. @KilkennyNoticespic.twitter.com/VzwDxCUFQ3","","@KilkennyNoticespic","","1161017223252758528","https://twitter.com/Powdy88/status/1161017223252758528",""
"RobertBohan","2019-08-02 11:03","0","4","Have you considered noise pollution:   http://www.dublincity.ie/main-menu-services-water-waste-and-environment-air-quality-monitoring-and-noise-control/noise …pic.twitter.com/UCGFfVhZUH","","","","1157230544767389697","https://twitter.com/RobertBohan/status/1157230544767389697",""
"chriswilsonie","2019-07-30 20:08","0","0","Can you do you for noise pollution?","","","","1156280357878214659","https://twitter.com/chriswilsonie/status/1156280357878214659",""
"SarahDunleavy1","2019-07-23 17:12","1","0","I’m beginning to think people should be required to take an exam to own a dog. A lovely sunny afternoon in the garden is being ruined by our neighbours “rascal’s” constant yapping! #noisepollution #responsibledogowner","","","#noisepollution #responsibledogowner","1153699426004852736","https://twitter.com/SarahDunleavy1/status/1153699426004852736",""
"FionanCoughlan","2019-07-09 13:50","0","1","Air pollution? Noise pollution? Carcinogenic fumes ? Spatially inefficient? Environmentally inefficient? Ideally cars should be used for regional journeys not metropolitan commuting/shopping @philipnolan1","","@philipnolan1","","1148575215036829701","https://twitter.com/FionanCoughlan/status/1148575215036829701",""
"ScienceSpinning","2019-06-20 10:01","0","3","Did a pre-record piece on noise pollution with @BreakfastNT this AM. It’s moving towards live sound maps for our towns and cities via sound readings from our smartphones. might impact house prices as most people, prob don’t want to live on noisy streets & risk stress/ill health","","@BreakfastNT","","1141632063839383552","https://twitter.com/ScienceSpinning/status/1141632063839383552",""
"ScienceSpinning","2019-06-19 13:51","0","0","@jpkrooney hi - are you working on noise pollution research?","","@jpkrooney","","1141327519586672640","https://twitter.com/ScienceSpinning/status/1141327519586672640",""
"ScienceSpinning","2019-06-19 13:41","4","1","Ireland based scientists - anyone working on noise pollution in our towns and cities? Please get in touch.","","","","1141325246575906816","https://twitter.com/ScienceSpinning/status/1141325246575906816",""
"NoiseHealth","2019-05-23 14:33","2","4","Prof. Enda Murphy, PI @NoiseHealth @noiseadapt will be talking noise pollution on @NewstalkFM (FM: 106-108 MHz) THIS AFTERNOON at 16:40 #IvanNTpic.twitter.com/UIOXxPoPL3","","@NoiseHealth @noiseadapt @NewstalkFM","#IvanNTpic","1131553774760337409","https://twitter.com/NoiseHealth/status/1131553774760337409",""
"jadeswilson","2019-05-21 23:27","0","4","All jokes aside, noise pollution actually impacts on human health too. So 🤷🏼‍♀️ https://twitter.com/LilFeekyB/status/1130962095229624326 …","","","","1130963375968653313","https://twitter.com/jadeswilson/status/1130963375968653313","🤷🏼‍♀️"
