"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"john003","2019-08-08 11:28","0","1","Very true that the rain forest needs to be protected expecially in Brazil and Indonesia....and using land to grow biofuels is a waste of land that could be used for human food...However don't think people in the world will stop eat eating meat and become vegetarians.... pic.twitter.com/zHnDGqhoP3","","","","1159411033871716354","https://twitter.com/john003/status/1159411033871716354",""
"JerryDMurphy66","2019-07-16 12:33","13","19","#PhD position in @scienceirel @MaREIcentre @eriucc @UCC on advanced liquid and gaseous #biofuels for #haulage #aviation & #maritime. Supervised by @JerryDMurphy66 (http://orcid.org/0000-0003-2120-1357 …) and Piet Lens (https://orcid.org/0000-0002-5825-878X …) @nuigalway.pic.twitter.com/VOs9myf8td","","@scienceirel @MaREIcentre @eriucc @UCC @JerryDMurphy66 @nuigalway","#PhD #biofuels #haulage #aviation #maritime","1151092490541457408","https://twitter.com/JerryDMurphy66/status/1151092490541457408",""
"LTovander","2019-07-05 09:19","1","0","EU destroys 700,000 hectares of rainforest for biofuels https://www.rainforest-rescue.org/petitions/908/eu-destroys-700000-hectares-of-rainforest-for-biofuels?t=361 … via @RainforestResq","","@RainforestResq","","1147057461230284806","https://twitter.com/LTovander/status/1147057461230284806",""
"kv_ofarrell","2019-07-05 08:17","0","0","This subset of actions from the overall DTTS ones fall under NTA remitt of public transport & active travel. Biofuels would remain under DTTS. As DTTS controls NTA's budgets, its a subsidiary with limited powers. This vague list may largely go implemented as per track record.","","","","1147041843647078401","https://twitter.com/kv_ofarrell/status/1147041843647078401",""
"john003","2019-06-27 00:13","0","2","Biofuels not great idea....There is electricity plant in Mayo getting timber all.the way from the US....https://www.nrdc.org/resources/our-forests-arent-fuel?utm_source=twad&utm_medium=fnfpage&utm_campaign=BioMassNC …","","","","1144020808743968769","https://twitter.com/john003/status/1144020808743968769",""
"kv_ofarrell","2019-06-25 18:36","0","7","Maria, future isn't very hopeful either with #ClimatePlan2019 downgrading active travel & public transport in favor of tech bias with EVs and biofuels. Sorry to break it to you but this outdated business as usual approach to transport is very much influenced by Fine Gael mindset.","","","#ClimatePlan2019","1143573645719195649","https://twitter.com/kv_ofarrell/status/1143573645719195649",""
"kv_ofarrell","2019-06-20 08:40","2","3","Thanks for that! It summarises so well transport in the Irish government climate plan that was published this week, which is dominated by EVs and biofuels. Tech gets priority across all sectors as there's a heavy influence of McKinsey MACC.","","","","1141611679039610881","https://twitter.com/kv_ofarrell/status/1141611679039610881",""
"JerryDMurphy66","2019-06-09 19:49","0","2","I used to visualise Maillard compounds (which inhibit biological conversion to biofuels) as burnt toast. The picture above is great. Will not think of over roasted celeriac!! https://www.sciencedirect.com/science/article/pii/S0196890417312049?via%3Dihub …pic.twitter.com/NBlq0BpygQ","","","","1137793932769841152","https://twitter.com/JerryDMurphy66/status/1137793932769841152",""
"irish2witter","2019-05-14 11:41","1","1","Ex piece on why adopting a time bound net zero target is pivotal.  Eg policies to lower does not equal policies to eliminate and may be at best sticking plasters. (Biofuels directive, etc) https://twitter.com/_richardblack/status/1127946322718466050 …","","","","1128248956088143872","https://twitter.com/irish2witter/status/1128248956088143872",""
"irish2witter","2019-05-03 16:57","0","0","the target for UK is net zero, incl new land use sequestration.   tech solutions to both are obviously distant but not unsolvable. Solutions are being explored for biofuels/elec for flights and H for shipping.","","","","1124342322555248640","https://twitter.com/irish2witter/status/1124342322555248640",""
"john003","2019-04-29 13:38","0","1","They mention biofuels as being bad....One of the reasons for destruction of rain forest is to grow palm oil as a bio fuel diesel addictive...Yet it is measured as a sustainable fuel...","","","","1122842619774668800","https://twitter.com/john003/status/1122842619774668800",""
