"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"Seanycam","2019-09-26 18:43","0","0","🙈u missed the point! It was a ref to his carbon footprint he talks about change & fair play to him but his footprint at his age will never be carbon neutral! My point is he like us all need to actually do rather than talk! But his fleet of planes and cars don’t add vale to CC!","","","","1177277406215884800","https://twitter.com/Seanycam/status/1177277406215884800","🙈"
"annablanaba","2019-09-26 18:22","13","84","When we were in school they just reduced their carbon footprint by not burning oil and keeping the heat off xx pic.twitter.com/q4CIUUkLf6","","","","1177272213986258944","https://twitter.com/annablanaba/status/1177272213986258944",""
"CasingShow","2019-09-25 20:40","0","1","Reading this article I see that I fall into the category of the 10% most frequent flyers in England who count for  more than half of all international flights in 2018.   I need to retire soon as my carbon footprint is embarrassing 😣","","","","1176944666379530240","https://twitter.com/CasingShow/status/1176944666379530240","😣"
"Knightsatire","2019-09-24 17:55","2","6","I don't buy the complete #ClimateChange package, reducing emissions/ carbon footprint & other common sense stuff is logical but don't bully a teenage girl for her belief in a better world, perhaps it's  naive, perhaps not  Can't turn the clock backwards but Govs will use it €£¥$! https://twitter.com/ed_solomon/status/1176453545320747008 …","","","#ClimateChange","1176540619713499141","https://twitter.com/Knightsatire/status/1176540619713499141",""
"BensonHenderson","2019-09-24 17:17","1","7","Did you know that a year's worth of household electricity is the same as the emissions of driving 19,638 miles in a car??? Go solar and reduce your home's carbon footprint...  #TeamEarth  #TheOnceAndFutureKing  https://www.erusenergy.com/henderson/   @Erus_Energy","","@Erus_Energy","#TeamEarth #TheOnceAndFutureKing","1176531106025414656","https://twitter.com/BensonHenderson/status/1176531106025414656",""
"john003","2019-09-24 13:37","0","0","Ireland needs a cultural revolution like Mao launched....Being living bourgeoisie life using fossil fuel long enought...Cheap electricity and motor fuel...food from every country...Need to go back to 1950's carbon footprint..A much happier country then..","","","","1176475726654169091","https://twitter.com/john003/status/1176475726654169091",""
"Blarney_NS","2019-09-23 11:56","4","16","Reducing our carbon footprint by walking, scooting and cycling to school,  Whilst staying happy, healthy and fit.  #CommunityOfLearning  #FridaysForFuture #climatestrike #GlobalGoals #ClimateAction #ClimateEmergencypic.twitter.com/OuZTYiBjxy","","","#CommunityOfLearning #FridaysForFuture #climatestrike #GlobalGoals #ClimateAction #ClimateEmergencypic","1176087952830738432","https://twitter.com/Blarney_NS/status/1176087952830738432",""
"FoodSpaceIrl","2019-09-23 09:15","5","11","As FoodSpace takes further steps to reduce our carbon footprint and climate change we will mark this day with what we have already achieved with the help of YOU, our great customers and what our next plans are #noplanetB #foodspace #climateaction #summit2019pic.twitter.com/VuGUSOnWuT","","","#noplanetB #foodspace #climateaction #summit2019pic","1176047339158548481","https://twitter.com/FoodSpaceIrl/status/1176047339158548481",""
"CiaranLen","2019-09-22 13:19","0","6","Interesting in your video you refer to conventional systems as not sustainable? Would you know the carbon footprint, all in, per kg of organic beef?","","","","1175746320142876675","https://twitter.com/CiaranLen/status/1175746320142876675",""
"UrsusRob","2019-09-19 16:27","0","0","(1) Using http://carbonfootprint.com  I’ve just looked up my carbon footprint for my journey back to the UK. Drive to Dublin then ferry to Holyhead then drive to Birmingham. Including waiting times at the docks it averages out to around 11 hours of travel.","","","","1174706514940125186","https://twitter.com/UrsusRob/status/1174706514940125186",""
"dansheahans","2019-09-19 01:50","0","3","Working on our carbon footprint. pic.twitter.com/9VZB6QUDJX","","","","1174485811791847425","https://twitter.com/dansheahans/status/1174485811791847425",""
"Rorymon","2019-09-17 21:10","0","2","No chance of remote work at least a couple of days a week. It would be good for the Government to incentevize employers to provide remote work capabilities. Help mental well being, cost of living and reduce carbon footprint and traffic.","","","","1174052936151945219","https://twitter.com/Rorymon/status/1174052936151945219",""
"HerdPlus","2019-09-17 16:45","4","6","""We're trying to increase the value of output for the farmers, breeding healthier animals that have a lower carbon footprint on the environment that are more fertile and produce more valuable milk."" @Siobhan__Ring speaking with @farmersjournal @aidan_bren & Jack Kennedy @NPAIEpic.twitter.com/mXG5jT0EPJ","","@Siobhan__Ring @farmersjournal @aidan_bren @NPAIEpic","","1173986395209326592","https://twitter.com/HerdPlus/status/1173986395209326592",""
"luinwe3","2019-09-17 15:31","0","0","@RichardbrutonTD Dear minister, how we can reduce the carbon footprint if people does not even have safe footpath to walk to nearby train stations and town centers at this day and age. The options are drive the road or risk your life walking on a busy main road... @ireland_actionhttps://twitter.com/luinwe3/status/1173891397000343552 …","","@RichardbrutonTD @ireland_actionhttps","","1173967696238645249","https://twitter.com/luinwe3/status/1173967696238645249",""
"Evie_Nevin","2019-09-17 13:41","0","4","Exactly. There is no support for farmers who want to switch. Going from cattle to crop is like changing careers completely. But, saying that importing beef would also create a larger carbon footprint. We need to be supporting the small, local farmers. They are suffering the most.","","","","1173939972191264768","https://twitter.com/Evie_Nevin/status/1173939972191264768",""
"ofenton","2019-09-15 09:35","0","0","400 miles - low carbon footprint - well done👍👍👍 https://twitter.com/AravaipaRunning/status/1172904157231112195 …","","","","1173153474437160961","https://twitter.com/ofenton/status/1173153474437160961","👍 🤟 👍"
"john003","2019-09-08 22:20","0","0","Tell them need to reduce central heating carbon footprint starting today.....","","","","1170809088009285632","https://twitter.com/john003/status/1170809088009285632",""
"PatCarrollTouch","2019-09-07 10:57","4","16","Limerick to take part in EU pilot project on reducing carbon footprint of cities https://www.irishtimes.com/news/environment/limerick-to-take-part-in-eu-pilot-project-on-reducing-carbon-footprint-of-cities-1.4010319 …","","","","1170274888281726976","https://twitter.com/PatCarrollTouch/status/1170274888281726976",""
"emily_hosford","2019-09-06 14:02","2","3","I'm so proud of @VitaIreland and all my committed, creative colleagues. We've been shortlisted for @IrishTimesBiz Innovation Award in sustainability category for our not-for-profit, high-impact way to offset your carbon footprint!! 😃😃 https://twitter.com/VitaIreland/status/1169642504934887425 …","","@VitaIreland @IrishTimesBiz","","1169959154427060224","https://twitter.com/emily_hosford/status/1169959154427060224","😃 🌍"
"CathalTaaffe","2019-09-03 13:41","0","4","How about drinking actual milk. More nutritious, better traceability and less of a carbon footprint https://twitter.com/bkjuni/status/1168591950070595584 …","","","","1168866704472072193","https://twitter.com/CathalTaaffe/status/1168866704472072193",""
"BScotTanner","2019-09-03 07:59","0","0","An underground subway system would create #Irish #jobs and have less #pollution reducing our #carbonfootprint in #Dublin","","","#Irish #jobs #pollution #carbonfootprint #Dublin","1168780443556204544","https://twitter.com/BScotTanner/status/1168780443556204544",""
"pmobsligo","2019-08-28 10:19","0","0","And what? We don’t buy produce with a high carbon footprint. So, we have to weigh up carbon footprint, nutritional details, price, etc... 😱","","","","1166641374260879360","https://twitter.com/pmobsligo/status/1166641374260879360","😱"
"NickCotter100","2019-08-27 23:46","0","0","What an absolutely rubbish, outdated, inaccurate, biased piece of anti Ag propaganda. I'm really beginning to wonder the motives of folk who 'believe' these anti Ag pieces, esp when we know that going Vegan has v little impact on reducing our carbon footprint.","","","","1166482108036108288","https://twitter.com/NickCotter100/status/1166482108036108288",""
"karl806n","2019-08-25 10:37","0","0","No to mention increasing our carbon footprint traveling to work 😊","","","","1165558854962356225","https://twitter.com/karl806n/status/1165558854962356225","😊"
"AtlanticAll","2019-08-24 15:22","1","4","Ever heard of a @saildrone? They’re unmanned sea surface vehicles - here’s a picture of one 👇 the orange contraptions beside the whale - they have no carbon footprint 👇#AtlanticAll #AtlanticYouthpic.twitter.com/WITY32qewm","","@saildrone","#AtlanticAll #AtlanticYouthpic","1165268124616351744","https://twitter.com/AtlanticAll/status/1165268124616351744","👇 👏"
"emily_hosford","2019-08-24 12:40","2","3","I became an #AgentOfChange at @CoolPlanetExp and pledged to reduce my carbon footprint. Lifestyle changes that individuals make are important but what we really need is system change. ""The bigger your carbon footprint - the bigger your moral duty."" - #GretaThunberg #ClimateActionhttps://twitter.com/VitaIreland/status/1164920625594609664 …","","@CoolPlanetExp","#AgentOfChange #GretaThunberg #ClimateActionhttps","1165227417440530432","https://twitter.com/emily_hosford/status/1165227417440530432",""
"CiaranLen","2019-08-23 21:47","3","63","Irish farmers are cutting down rainforests now are they? Are you aware of the carbon footprint differences between Irish and Brazilian beef production systems?","","","","1165002546496319488","https://twitter.com/CiaranLen/status/1165002546496319488",""
"AgriAware","2019-08-21 14:17","0","4","These cattle here are apart of @DevenishNutri ‘s research into the worlds first carbon balance sheet - measuring and managing the carbon footprint on the farm! #HeritageWeek #LandsatDowthpic.twitter.com/IqQIdDOBSP","","@DevenishNutri","#HeritageWeek #LandsatDowthpic","1164164671286448130","https://twitter.com/AgriAware/status/1164164671286448130",""
"Jocser99","2019-08-19 17:24","0","15","Attending a workshop on reducing your organisation's carbon footprint with @chiversdanny organised by @trocaire & @SCC_Ireland - @forsa_union_ie are determined to develop a robust carbon reduction and sustainability strategy as mandated by conference #ClimateAction #ClimateCrisis","","@chiversdanny @trocaire @SCC_Ireland @forsa_union_ie","#ClimateAction #ClimateCrisis","1163487024072052742","https://twitter.com/Jocser99/status/1163487024072052742",""
"PeterPo79848289","2019-08-17 15:50","0","0","How many media people are traveling to New York to cover a speech written by ghostwriters leaving a carbon footprint the size of hundreds of Yetis?  That waffle could have been done by Video?link. What’s the carbon footprint of the Yacht owner?","","","","1162738356247322624","https://twitter.com/PeterPo79848289/status/1162738356247322624",""
"Mary4Tipperary","2019-08-17 10:25","21","89","Irish farmers feed ~50m people, not just the ~5m on our island.  The dilemma remains that if we reduce agri production here, food will be produced elsewhere, with higher carbon footprint. #global perspective requiredhttps://twitter.com/EcofactEcology/status/1162650214706143232 …","","","#global","1162656613892796416","https://twitter.com/Mary4Tipperary/status/1162656613892796416",""
"john003","2019-08-17 08:54","1","3","How many trees are cut down to print the Sunday Independent every week?..Are they from Norway how long does replacement take..Trees are needed to sequester carbon..According to Greta tipping point 2030..Stop using trees to print news thrown away a day later..High carbon footprint","","","","1162633806211428352","https://twitter.com/john003/status/1162633806211428352",""
"onein7bn","2019-08-16 09:24","0","0","Congratulations Mike keep it up. Kingspan do have a huge opportunity to recycle lots of plastic and lead the way in your industry.  Many whenimproving carbon performance of their houses will start look at carbon footprint of the materials too 😊😊😊","","","","1162279060292038658","https://twitter.com/onein7bn/status/1162279060292038658","😊 🌱 🌳"
"john003","2019-08-16 08:25","0","0","Off grid wind up radio...An example to us all...Her carbon footprint must be very low...","","","","1162264068054343688","https://twitter.com/john003/status/1162264068054343688",""
"Kristin60253509","2019-08-15 10:04","1","2","What a wanker.  ‘Eco-warrior’ Prince Harry slammed for flying Meghan Markle to Ibiza in private jet with massive carbon footprint – The Sun https://www.thesun.co.uk/fabulous/9724858/prince-harry-megan-markle-private-jet-ibiza-carbon-footprint/ …","","","","1161926705558294529","https://twitter.com/Kristin60253509/status/1161926705558294529",""
"john003","2019-08-15 00:02","0","0","You might not of heard of carbon footprint...It means divide the total distance travelled over life of boat by the CO2 released in its manufacture...Same is done for cars....It has a diesel engine which would add to the carbon footprint however it won't be used on this trip...","","","","1161775009754505216","https://twitter.com/john003/status/1161775009754505216",""
"voteTimLombard","2019-08-14 22:35","0","2","Two English teams playing in #Istanbul from the #UEFASuperCupFinal . What’s the carbon footprint of this game, teams and fans all traveling to #Istanbul. Surely there’s better way. #UEFASuperCup","","","#Istanbul #UEFASuperCupFinal #Istanbul #UEFASuperCup","1161753330349170689","https://twitter.com/voteTimLombard/status/1161753330349170689",""
"Mark1975s","2019-08-14 22:10","0","0","She'd collapse if she saw your Carbon footprint ffs 😂😂😂😂😂😂😂😂😂😂😂","","","","1161746942352875522","https://twitter.com/Mark1975s/status/1161746942352875522","😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂"
"martinlawlor","2019-08-14 21:28","0","4","Am still trying to work out what point you are http://making.Is  it that you are wealthy enough to afford a winter holiday,or carbon footprint doesn’t concern you or that climate disaster activists get up your nose or maybe it’s all three.?Very asinine in any event.","","","","1161736479099555840","https://twitter.com/martinlawlor/status/1161736479099555840",""
"john003","2019-08-14 10:43","0","0","Lets do a more simple example an electric car...Let's say the car is zero emissions like the boat crossing the Atlantic..Making the car and battery releases CO2 same an making a boat from man made materials..Divide this by distance travelled over lifetime of car carbon footprint","","","","1161574005255618560","https://twitter.com/john003/status/1161574005255618560",""
"john003","2019-08-14 10:36","0","1","CO2 is released in manufacturing process of a racing Yacht same as in a performance F1 car..Fibre glass...carbon fibre hull and mad made sail all release CO2 in their manufacture..Boat is all man made.Have to divide this figure by lifetime distance same as carbon footprint of car","","","","1161572362527133699","https://twitter.com/john003/status/1161572362527133699",""
"john003","2019-08-14 10:19","0","1","However in any carbon footprint calculation also have to take into account carbon used in manufacturing process...Average it over lifetime of craft....Most of the materials in racing craft and mad made materials using carbon from oil....","","","","1161568103706349569","https://twitter.com/john003/status/1161568103706349569",""
"fgaletic","2019-08-12 09:02","0","1","Oh please, man, it's not healthy to have holy cows, take my word ;) And ever heard of sense of humor? Or does that create too much of a carbon footprint?","","","","1160823944896794625","https://twitter.com/fgaletic/status/1160823944896794625",""
"M_J_Lyons","2019-08-12 07:44","0","0","The Independent: Everything you thought about the carbon footprint of imported food is wrong, says top professor.  http://www.independent.co.uk/news/food-miles-carbon-footprints-climate-change-sustainability-a9050406.html …    via @GoogleNews","","@GoogleNews","","1160804112595922944","https://twitter.com/M_J_Lyons/status/1160804112595922944",""
"Mark1975s","2019-08-11 11:21","0","1","Ended up watchin Attenborough increase his Carbon footprint in kenya","","","","1160496335629557760","https://twitter.com/Mark1975s/status/1160496335629557760",""
