"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"Seanycam","2019-09-26 18:43","0","0","🙈u missed the point! It was a ref to his carbon footprint he talks about change & fair play to him but his footprint at his age will never be carbon neutral! My point is he like us all need to actually do rather than talk! But his fleet of planes and cars don’t add vale to CC!","","","","1177277406215884800","https://twitter.com/Seanycam/status/1177277406215884800","🙈"
"ChambersIreland","2019-09-26 15:49","0","0","Nur Bernhardt of @Microsoftirl  Microsoft has been carbon neutral since 2012, internally we have a carbon trading system, my travel budget for the year was hit when I flew here,  this money was reinvested in renewable projects   #powerthefuture","","@Microsoftirl","#powerthefuture","1177233838243799040","https://twitter.com/ChambersIreland/status/1177233838243799040",""
"SED_Co","2019-09-19 19:22","0","1","Therefore we invite and encourage everyone to drop their pens & switch off their computer and to go out and be loud for our joint future! We unfortunately won't be able to reply to your E-Mails and calls (unless they're about presenting us ideas towards a carbon neutral future).","","","","1174750595313557506","https://twitter.com/SED_Co/status/1174750595313557506",""
"TeilHardest","2019-09-09 20:27","0","5","No , think it's pretty carbon neutral ... if we grow trees to replace the wood.","","","","1171143042331529216","https://twitter.com/TeilHardest/status/1171143042331529216",""
"Keoghsfarm","2019-09-04 20:25","0","2","At Keogh’s, we are proudly Carbon Neutral 🌱 Have you read up on our journey with Vita to Southern Ethiopia? #keoghsfarmpic.twitter.com/JWpsq0sWh7","","","#keoghsfarmpic","1169330674341490688","https://twitter.com/Keoghsfarm/status/1169330674341490688","🌱"
"boggywood","2019-08-30 09:53","2","4","Hi Fiona! no, I don't believe we've blown it with the climate at all!  - & even if the West went 'carbon neutral' by next year? it wouldn't make a grain of sands difference to the climate ,worst of all for *us* is the fact that China & India's heavy use of fossil fuels won't","","","","1167359633079582722","https://twitter.com/boggywood/status/1167359633079582722",""
"liamyj","2019-08-21 22:07","0","2","Aint she beautiful  .  .  .  And, carbon neutral!  #conventioncenter #dublin #ireland #architecturelovers #spencerdock #riverliffey #visitdublin #irish #dublincity #dublinireland #dublife #colour #light #shadows #photography #citylife #picofthedaypic.twitter.com/nCR3Z27r8W","","","#conventioncenter #dublin #ireland #architecturelovers #spencerdock #riverliffey #visitdublin #irish #dublincity #dublinireland #dublife #colour #light #shadows #photography #citylife #picofthedaypic","1164282842421104641","https://twitter.com/liamyj/status/1164282842421104641",""
"KevGeo2011","2019-08-20 07:06","0","0","So Elton John paid for the flights and contributed to a carbon neutral charity. So why the criticism. I don’t see any criticism for William and Kate and family long haul flight and ridiculously expensive holiday.","","","","1163693672946372608","https://twitter.com/KevGeo2011/status/1163693672946372608",""
"john003","2019-08-15 12:02","0","0","Boat Greta Thunberg is travelling on..Building this type of racing boat needs three tonnes of carbon fibre, moulds for hull and deck, a number of construction materials and various resins...Synthetic sail....Cost over a €3million to build...Not sure it its carbon neutral....","","","","1161956221534003201","https://twitter.com/john003/status/1161956221534003201",""
"john003","2019-08-15 11:35","1","15","building this type of racing boat needs three tonnes of carbon fibre, moulds for hull and deck, a number of construction materials and various resins...Synthetic sail....Cost over a €3 million to build...Not sure it is carbon neutral....","","","","1161949538086789120","https://twitter.com/john003/status/1161949538086789120",""
"john003","2019-08-13 14:28","0","0","Thanks for update....We have reached peak madness this is all carbon neutral...","","","","1161268202845999104","https://twitter.com/john003/status/1161268202845999104",""
"john003","2019-08-13 13:49","0","0","Did the crazy plan to being wood chipping from Australia a semi desert country 12000 miles to burn in these power stations....Pass  EPR standards...Think they would have seen it as carbon neutral...Did thoes Australian wood chipping ever arrive??","","","","1161258388610867200","https://twitter.com/john003/status/1161258388610867200",""
"davidcullinane","2019-08-08 19:56","11","33","Afforestation is central to Ireland becoming carbon neutral. But we need to do it right. #nativewoodlands  #treeplanting #ClimateActionNow #ClimateJusticepic.twitter.com/ygTVRcLwEM","","","#nativewoodlands #treeplanting #ClimateActionNow #ClimateJusticepic","1159538856175104000","https://twitter.com/davidcullinane/status/1159538856175104000",""
