"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"waltlacey7","2019-09-30 18:53","0","9","Carbon Tax is not the answer. It will achieve nothing only increase our taxes","","","","1178729654674509827","https://twitter.com/waltlacey7/status/1178729654674509827",""
"baldoyle55","2019-09-29 12:55","1","1","Great to see @triciakeilthy of @SVP on @rtetwip talk about carbon tax and energy poverty @RoisinShortall @OisinCoghlan @think_or_swim @SCC_Ireland @CathClimateMvmt @climatecaseire @gold_lgold","","@triciakeilthy @SVP @rtetwip @RoisinShortall @OisinCoghlan @think_or_swim @SCC_Ireland @CathClimateMvmt @climatecaseire @gold_lgold","","1178277020716937216","https://twitter.com/baldoyle55/status/1178277020716937216",""
"waltlacey7","2019-09-28 23:01","0","2","True and Leo’s Carbon Tax will be just that, A Tax. It will not make an iota of difference only screw the rest of us @LeoVaradkar","","@LeoVaradkar","","1178067180266631168","https://twitter.com/waltlacey7/status/1178067180266631168",""
"waltlacey7","2019-09-28 09:44","0","0","Between them they’re going to screw us with a Carbon Tax that will not make an iota of difference to climate change. @LeoVaradkar @Paschald","","@LeoVaradkar @Paschald","","1177866776589324289","https://twitter.com/waltlacey7/status/1177866776589324289",""
"dulsel14","2019-09-26 09:24","0","0","Good responsible Gov should  balance tax on ability to pay I am of the opinion that most of this carbon tax should be shouldered by big corporations who are responsible for poor air quality. Motorist are going to be hit you can get rid of the car and use P, transport or go elect https://twitter.com/rtenews/status/1176891011466977280 …","","","","1177136844674412544","https://twitter.com/dulsel14/status/1177136844674412544",""
"KeithMillsD7","2019-09-25 23:45","1","6","Where will the millions raised in carbon tax go? Down the back of the sofa of out of conttol public spending.  Where should the carbon tax go? Into providing low/no cost, efficient, reliable, public transport.  https://www.thesun.ie/news/4579384/what-carbon-tax-how-much-when-introduced/ …","","","","1176991218514968576","https://twitter.com/KeithMillsD7/status/1176991218514968576",""
"HangBlaa","2019-09-25 09:51","0","0","Dónal, were there no windmills, solar panels, electric cars, passive houses, carbon tax, cars raced on emissions, etc,etc, before these pesky kids started marching?    If they’re being exploited, who is exploiting them, and how?    Kids are capable of thinking for themselves.","","","","1176781269792952320","https://twitter.com/HangBlaa/status/1176781269792952320",""
"ChrisCurran_IRE","2019-09-24 22:37","0","0","So just for clarification the Green Party are using the exception (millionaires) as the rule and ignoring the needs of the majority of families who live in houses?    So with this and Carbon Tax, the greens will be the party of increasing taxation?    Just asking.....","","","","1176611649941360640","https://twitter.com/ChrisCurran_IRE/status/1176611649941360640",""
"waltlacey7","2019-09-24 21:37","0","0","@fiannafailparty @MichealMartinTD @mmcgrathtd Leo Vradkar’s intention to increase Carbon Tax is in my opinion only a Tax, a very unfair tax that will achieve nothing only penalise the elderly and those less well off. Please do not support this tax.","","@fiannafailparty @MichealMartinTD @mmcgrathtd","","1176596579505119233","https://twitter.com/waltlacey7/status/1176596579505119233",""
"Dermopj","2019-09-24 21:08","0","0","Any tax is a bad tax when it's a gravy train tax like carbon tax .","","","","1176589232237924352","https://twitter.com/Dermopj/status/1176589232237924352",""
"Knightsatire","2019-09-24 17:21","0","4","Wait until they add the carbon tax too!🙄","","","","1176531991401046017","https://twitter.com/Knightsatire/status/1176531991401046017","🙄"
"kcimbyrne","2019-09-24 10:53","0","1","What has been done with the money that has already been collected by the carbon tax already.","","","","1176434440224104448","https://twitter.com/kcimbyrne/status/1176434440224104448",""
"Taraustralis","2019-09-24 07:02","0","15","Bring back the carbon tax.","","","","1176376287142830081","https://twitter.com/Taraustralis/status/1176376287142830081",""
"dixie1916","2019-09-23 19:43","0","1","So Greta Thinberg, the acclaimed climate activist is backed by the One Foundation, who are they? Well none other than George Sorus, yet again his dirty money is behind attempts to intimidate the gullible, time for people to wake up, climate hoax, carbon tax, target the poor !","","","","1176205503254413312","https://twitter.com/dixie1916/status/1176205503254413312",""
"gold_lgold","2019-09-23 14:07","4","7","Any Irish #carbontax targeting individuals needs to be accompanied by an end to #FossilFuels subsidies AND a tax on high carbon corporate profits.https://twitter.com/Cath_Dev/status/1176033410499928065 …","","","#carbontax #FossilFuels","1176121009512091649","https://twitter.com/gold_lgold/status/1176121009512091649",""
"ChambersIreland","2019-09-23 10:40","0","1","Carbon tax and a carbon tariffs at the border will be the quickest way to shift global production away from CO2 emitting fuels #LiveElectric2019","","","#LiveElectric2019","1176068847822082048","https://twitter.com/ChambersIreland/status/1176068847822082048",""
"LTovander","2019-09-23 10:22","0","0","Majority of Irish Voters Oppose Doubling Of Carbon Tax, Poll Reveals - The Global Warming Policy Forum (GWPF) https://www.thegwpf.com/majority-of-irish-voters-oppose-doubling-of-carbon-tax-poll-reveals/ …","","","","1176064334021189634","https://twitter.com/LTovander/status/1176064334021189634",""
"Patrick25079631","2019-09-23 09:37","0","2","And yet their answer is raising carbon tax to €80 a ton! That's not being proactive! It's hitting the taxpayer in the wallet:-( we need to plant millions of trees and create more wetlands, and I don't mean planting sterile fir trees 🌲 we need indigenous trees like oak 🌲","","","","1176052889615314944","https://twitter.com/Patrick25079631/status/1176052889615314944","🌲 🌳"
"fergaljordan","2019-09-23 08:50","0","0","New revenues or new #taxes from carbon tax to help tackle climate change. The money will be used to fund the transformation of #transport","","","#taxes #transport","1176041175301677056","https://twitter.com/fergaljordan/status/1176041175301677056",""
"RTENewsPaulC","2019-09-23 05:48","4","9","The Taoiseach @LeoVaradkar to tell UN #Climate Action Summit that he will ring-fence all new revenues from #carbon tax to fund green imitatives. More from @BrianOD_News on @morningireland","","@LeoVaradkar @BrianOD_News @morningireland","#Climate #carbon","1175995275070119936","https://twitter.com/RTENewsPaulC/status/1175995275070119936",""
"OisinCoghlan","2019-09-22 13:28","1","4","It would have been really interesting if @SunTimesIreland had asked @banda_ie to poll the public’s preference for whether to invest carbon tax revenue in a #JustTransition or to share it equally with every person and ensure no negative distributional / social impacts. #Budget2020","","@SunTimesIreland @banda_ie","#JustTransition #Budget2020","1175748707586891776","https://twitter.com/OisinCoghlan/status/1175748707586891776",""
"OisinCoghlan","2019-09-22 13:25","0","2","The poll question also made no mention of the stated intention of all parties that they carbon tax revenue won’t go into the general exchequer. The debate is about how to recycle the revenue: a ring-fenced fund for the transition to zero carbon or an equal rebate to every person?","","","","1175747826250387456","https://twitter.com/OisinCoghlan/status/1175747826250387456",""
"OisinCoghlan","2019-09-22 12:55","0","0","The @SunTimesIreland didn’t publish the exact question on the carbon tax as far as I can see in the print edition. That would have been handy / helpfully transparent @FrankSunTimes. Here’s the carbon tax findings table from @banda_ie website. #Budget2020pic.twitter.com/sKGYLMu2Ps","","@SunTimesIreland @FrankSunTimes @banda_ie","#Budget2020pic","1175740381813772288","https://twitter.com/OisinCoghlan/status/1175740381813772288",""
"OisinCoghlan","2019-09-22 12:48","4","5","Interesting poll by @banda_ie for @SunTimesIreland on the carbon tax. A few observations though as we head into public and political debate for #Budget2020https://twitter.com/SunTimesIreland/status/1175709490420879360 …","","@banda_ie @SunTimesIreland","#Budget2020https","1175738692469698562","https://twitter.com/OisinCoghlan/status/1175738692469698562",""
"louisajanemoss","2019-09-22 12:10","5","7","No point imposing additional carbon tax without cutting subsidies to environmentally damaging industries. This is about doing the right thing for all of us not just rejecting a tax hike #govegan #SundayThoughts @mcenaneytom @thesundaytimeshttps://twitter.com/louisajanemoss/status/1175691547213537280 …","","@mcenaneytom @thesundaytimeshttps","#govegan #SundayThoughts","1175728992068018176","https://twitter.com/louisajanemoss/status/1175728992068018176",""
"PierceKennedy","2019-09-22 10:13","0","0","All this #ClimateChange #ClimateAction does in #Ireland is give FG/FF the excuse to increase the cost of living; hiking fuels, engery costs and #carbontax in #budget2019 ... 😱  #ClimateActionSummit","","","#ClimateChange #ClimateAction #Ireland #carbontax #budget2019 #ClimateActionSummit","1175699675866980353","https://twitter.com/PierceKennedy/status/1175699675866980353","😱"
"Mark1975s","2019-09-20 17:35","0","4","The Great Carbon Tax Swindle #ClimateStrike","","","#ClimateStrike","1175085964785520641","https://twitter.com/Mark1975s/status/1175085964785520641",""
"jkbhoy67","2019-09-20 08:20","0","0","@IrelandAMVMTV carbon tax very unfair for people living in unemployment black spots with piss poor public transport to get to jobs in neighbouring towns and cities","","@IrelandAMVMTV","","1174946539195682816","https://twitter.com/jkbhoy67/status/1174946539195682816",""
"barryde78","2019-09-19 23:18","0","2","On the environmental crisis I’m all on for more recycling, electric cars etc ... carbon tax, lowing emissions, it’s to late ... but it’s all to little to late the planet is over populated is anyone brave enough to talk about it? #TonightVMTV @IvanYatesNT @TonightVMTV @cooper_m","","@IvanYatesNT @TonightVMTV @cooper_m","#TonightVMTV","1174810073954168832","https://twitter.com/barryde78/status/1174810073954168832",""
"DylanCarrig","2019-09-19 23:17","0","3","Carbon tax needs to be ringfenced for the further development of public transport and renewable energy,  #TonightVMTV","","","#TonightVMTV","1174809767010869249","https://twitter.com/DylanCarrig/status/1174809767010869249",""
"mellowedface","2019-09-19 10:08","0","2","Surprised by Blackrock College re the Global Climate Strike? Just wait till you see how the well off react to a carbon tax. Diesel Range Rovers will be badges of honour..","","","","1174611257888055297","https://twitter.com/mellowedface/status/1174611257888055297",""
"jkbhoy67","2019-09-16 17:22","0","0","@NewstalkFM carbon tax only hurts people living in unemployment black spots which have poor public  transport when it comes to getting to work in neighbouring towns and cities therefore these citizens need a car to get to work","","@NewstalkFM","","1173633336226529282","https://twitter.com/jkbhoy67/status/1173633336226529282",""
"john003","2019-09-16 15:55","0","0","Does that mean the increase in the petrol and diesel carbon tax is postponed for another year....","","","","1173611406559780864","https://twitter.com/john003/status/1173611406559780864",""
"Ocionnaith","2019-09-16 12:25","1","1","Ms Smith says while studies say 28% of the population suffers from some form of fuel poverty, this figure is out of date.    She says a carbon tax without a fuel poverty review would be asking ""working people to bear the brunt"" of environmental costs instead of oil and gas firms.","","","","1173558518340829184","https://twitter.com/Ocionnaith/status/1173558518340829184",""
