"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"boggywood","2019-09-29 20:11","0","1","For Shame woman, she has feelings & stuff and can read what's put in front of her & has feelings & stuff & I almost forgot-  angst! LOTS of that & feelings ya don't need an education when you can see CO2 Got it ? 😂😂 pic.twitter.com/nTxbEpm7Hr","","","","1178386763359952897","https://twitter.com/boggywood/status/1178386763359952897","😂 🤣"
"boggywood","2019-09-29 17:26","0","2","It's just 'regional' though, right? order otherwise it would mean everyone is CO2 fatter than everyone, everywhere else .Or something pic.twitter.com/jyuKx8ehNP","","","","1178345393207287816","https://twitter.com/boggywood/status/1178345393207287816",""
"paulmknally","2019-09-28 08:33","0","1","Fine Gael solve Climate Emergency! Back to business as usual, promoting CO2 dependant tourism and travel https://twitter.com/IrishEmbJapanEN/status/1177775343211433984 …","","","","1177848885366153217","https://twitter.com/paulmknally/status/1177848885366153217",""
"Squarzelfitz","2019-09-27 20:19","0","0","Fact: There is no empirical evidence linking CO2 to global climate change     https://www.heartland.org/multimedia/videos/nir-shaviv-iccc13-panel-1-scientific-observations …","","","","1177663991482654720","https://twitter.com/Squarzelfitz/status/1177663991482654720",""
"john003","2019-09-26 08:17","0","0","Did he mention China....28% of global CO2 emissions come from China and increasing.... pic.twitter.com/6QxoX3uZ15","","","","1177119867423657984","https://twitter.com/john003/status/1177119867423657984",""
"A_lee_see_ahh","2019-09-25 14:41","4","27","Will I live to see the day people stop blaming individuals for climate change and realise that 100 of the world’s biggest companies emit 70% of CO2 emissions?","","","","1176854248111443969","https://twitter.com/A_lee_see_ahh/status/1176854248111443969",""
"john003","2019-09-25 11:52","0","2","I think what confuses people about climate science is they think it is all settled...Actually IPCC depend on complex climate models to predict out to 2030 and 2050....They might be too sensitive to the measured CO2 rise.... pic.twitter.com/FWdyTI1qeF","","","","1176811592740200450","https://twitter.com/john003/status/1176811592740200450",""
"Squarzelfitz","2019-09-25 09:12","0","1","You need only one question    Show me the empirical evidence proving CO2 as the driving force behind global climate","","","","1176771542140764160","https://twitter.com/Squarzelfitz/status/1176771542140764160",""
"Squarzelfitz","2019-09-25 09:11","0","2","So, let’s see an article showing the empirical evidence proving CO2 as the driving force behind global climate change then.     Shouldn’t be a problem for you if it exists.    But you won’t because it doesn’t exist.    But who cares about little things like facts?","","","","1176771117886971905","https://twitter.com/Squarzelfitz/status/1176771117886971905",""
"Squarzelfitz","2019-09-25 09:10","0","2","So, let’s see an article showing the empirical evidence proving CO2 as the driving force behind global climate change then.     Shouldn’t be a problem for you to print it if it exists.    But you won’t because it doesn’t exist.    But who cares about little things like facts?","","","","1176770837623562240","https://twitter.com/Squarzelfitz/status/1176770837623562240",""
"TwistedIdiot","2019-09-24 09:24","0","1","So @LeoVaradkar won't rebate people who cut their CO2 emissions just add another tax to the people of Ireland. But he will allow burning of tyres, drilling for fossil fuels and continuing to cut down trees for bus routes. Yeah he really cares about the #climate #ClimateChange","","@LeoVaradkar","#climate #ClimateChange","1176411951393640449","https://twitter.com/TwistedIdiot/status/1176411951393640449",""
"cpbyrne","2019-09-23 21:48","0","0","Her life style and her family’s should be put under themicroscope to see how they live and contribute yo CO2. https://twitter.com/griptmedia/status/1176199626246021120 …","","","","1176236890233724929","https://twitter.com/cpbyrne/status/1176236890233724929",""
"CorkCyclingCrew","2019-09-23 17:31","6","21","These are just the CO2 and space consumption effects.    Health effects?  A 45% reduced risk of developing cancer and heart disease if regularly cycle for starters.    Love it or hate it, but the bike has a super strong evidence base. https://twitter.com/danobrien20/status/1176097941003603969 …","","","","1176172228389593089","https://twitter.com/CorkCyclingCrew/status/1176172228389593089",""
