"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"SeanRoddy2","2019-09-17 20:11","0","3","Anyone after poor quality Silage. Made from the wildflower gradens. I have no need for it or desire for it. It will be turned into compost otherwise. #Composting pic.twitter.com/3cnrsRcrRL","","","#Composting","1174038145576427524","https://twitter.com/SeanRoddy2/status/1174038145576427524",""
"shacklej","2019-07-24 16:31","1","20","My first lil compost windrow is a go 😎 @cozzie45 is that what you advised?! 😎 #composting #fym #woodchippic.twitter.com/gUmoBAa2l1","","@cozzie45","#composting #fym #woodchippic","1154051585342943233","https://twitter.com/shacklej/status/1154051585342943233","😎 😂"
"EcoActiveEvents","2019-07-20 23:45","0","3","Ooh exciting! Have also been busy at my #composting pic.twitter.com/pqrIWu405O","","","#composting","1152711100414222336","https://twitter.com/EcoActiveEvents/status/1152711100414222336",""
"chrissycurtin","2019-07-10 23:59","0","2","They’re pretty tough to digest tho so they’d add too much to the methane output. Best to hurl them off the planet and into space. ☝️ We can claim the remains then for composting later.","","","","1149090839928496129","https://twitter.com/chrissycurtin/status/1149090839928496129","☝️"
"FreelanceWebDev","2019-06-09 21:32","0","0","You're not composting?","","","","1137819667190505472","https://twitter.com/FreelanceWebDev/status/1137819667190505472",""
"StoneybatterPoP","2019-06-06 17:10","1","6","Hey @EWBIreland, see y'all great at  #stoneybatterfestival 👍.  All, @Bi_URBAN with @EWBIreland & Farm Social are holding a free DIY Urban Sustainability workshop on Sat 22 June 11-1pm.  Find out more about composting, rainwater harvesting & #biochar  Deets: https://bit.ly/2ZbKNia https://twitter.com/EWBIreland/status/1136550693957984256 …","","@EWBIreland @Bi_URBAN @EWBIreland","#stoneybatterfestival #biochar","1136666761057710081","https://twitter.com/StoneybatterPoP/status/1136666761057710081","👍"
"laxkra","2019-05-27 18:33","0","13","▫️reduced pricing of public transport   ▫️investments into pedestrian/cycling infrastructure   ▫️free composting facilities   ▫️public drinking fountains   ▫️wind/solar power   ▫️energy efficient housing for everyone https://twitter.com/KittyHollandIT/status/1132955000076996608 …","","","","1133063797055401986","https://twitter.com/laxkra/status/1133063797055401986","▫️ ▫️ ▫️ ▫️ ▫️ ▫️"
"stritchj","2019-05-25 15:01","0","2","Love it.  It’s either gonna be composting or an @InfinityBurial mushroom suit for me 🤓","","@InfinityBurial","","1132285529452679175","https://twitter.com/stritchj/status/1132285529452679175","🤓"
"SimonJohnPalmer","2019-05-22 09:48","0","0","Today's missing word round: ""Washington becomes the first U.S. state to make ________ composting legal"". First correct guess wins.","","","","1131119675377627137","https://twitter.com/SimonJohnPalmer/status/1131119675377627137",""
"KateStapleton_","2019-05-20 14:44","0","1","But did you sort through it to see if anything could be salvaged for recycling/composting? #FauxGreen","","","#FauxGreen","1130469254866907137","https://twitter.com/KateStapleton_/status/1130469254866907137",""
"Ruairi44","2019-04-20 10:33","0","3","Human Composting Bill Passes in Washington State https://www.thestranger.com/slog/2019/04/19/39962696/human-composting-bill-passes-in-washington-state …","","","","1119534523610533888","https://twitter.com/Ruairi44/status/1119534523610533888",""
"ACHorseRacing","2019-04-08 18:04","31","143","Tractor? Transformer? Tank?!     Kildangan Stud’s Topturn rapid composting machine helps break down manure and straw into compost to grow nourishing grass for future generations of strong, healthy horses.    Great to see horse racing at the forefront of ecological innovation. 🍃 pic.twitter.com/RO5C2JRUcb","","","","1115299378414022656","https://twitter.com/ACHorseRacing/status/1115299378414022656","🍃"
"gar_sherry","2019-04-02 23:33","0","0","Happy Birthday to this head wrecker timmy_sherry7 ! 8 years eating everything in the gaff, composting 💩the back garden, killing starlings, non stop barking, all… https://www.instagram.com/p/BvxSIcUgjgTM_pYzy79dexdbeJZUYNdZvOTOGo0/?utm_source=ig_twitter_share&igshid=oea0ideb1t3g …","","","","1113207751478349829","https://twitter.com/gar_sherry/status/1113207751478349829","💩"
"Sea_stainable","2019-03-22 11:22","1","1","Alas #Springtime is finally upon us and it’s  T I M E  T O  G R O W 🌱 Join us soon on http://Seastainability.com/diy  for a three part blog post series dedicated to growing your own food, composting & the global epidemic that is #foodwaste.  #growyourown #springequinox #composting pic.twitter.com/Tg6EZIkdBr","","","#Springtime #foodwaste #growyourown #springequinox #composting","1109052724044357632","https://twitter.com/Sea_stainable/status/1109052724044357632","🌱"
"thegoldenbean","2019-03-16 17:02","0","2","New #composting station. Recycling #thegoldenbean #coffeegrounds #silverskin #compostables #useeveryscrap @d2ematerials @ Ballycotton https://www.instagram.com/p/BvE6yiBDw2-/?utm_source=ig_twitter_share&igshid=10shpyie5izla …","","@d2ematerials @","#composting #thegoldenbean #coffeegrounds #silverskin #compostables #useeveryscrap","1106963972085833728","https://twitter.com/thegoldenbean/status/1106963972085833728",""
"SiobhanLydon","2019-03-15 11:04","0","0","This morning I had to explain to a man in his 20's about composting.  That uncooked fruit / veg. goes in the tray to go into the compost.  Isnt' this standard in every house? #SchoolsStrike4Climate","","","#SchoolsStrike4Climate","1106511446446407680","https://twitter.com/SiobhanLydon/status/1106511446446407680",""
"SiobhanLydon","2019-03-13 18:56","0","0","I've rented rooms to many 20somethings in the past number of years.  I've had to explain recycling, composting and energy efficiency to them.  There must be no peer pressure in these areas #Striking4Climate","","","#Striking4Climate","1105905379978952704","https://twitter.com/SiobhanLydon/status/1105905379978952704",""
