"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"keating_s","2019-09-29 11:01","0","0","Plenty of scientists have noted climate change is due to axial tilt and other theories. The bigger issue here really is the ecological systems under threat, the deforestation, plastic etc. Preservation a better word imo","","","","1178248470332891136","https://twitter.com/keating_s/status/1178248470332891136",""
"eyre_mella","2019-09-20 17:05","12","17","Massive forest fires in Indonesia that have caused a toxic haze to spread as far as Singapore and peninsular Malaysia are also seriously affecting endangered orangutans and their habitat, a rescue foundation said on Tuesday   #deforestation #pollution  https://str.sg/JoQt pic.twitter.com/yFy8nsfp2g","","","#deforestation #pollution","1175078620454359046","https://twitter.com/eyre_mella/status/1175078620454359046",""
"phad32","2019-09-04 00:07","0","0","This is the same George Clooney who advertises @Nestle products.  The same Nestle whose environmental record on deforestation is appalling. So just a touch of #hypocrisy here.   #dumbfuckery","","@Nestle","#hypocrisy #dumbfuckery","1169024055896412160","https://twitter.com/phad32/status/1169024055896412160",""
"john003","2019-08-31 14:13","0","1","Brazil deforestation is down 80% since early 2000's but was going up under current president....Palm oil from Indonesia used as diesel green additive in the EU is also causing deforestation... pic.twitter.com/3cjJrBiz4J","","","","1167787509792813057","https://twitter.com/john003/status/1167787509792813057",""
"john003","2019-08-29 14:32","0","0","Deforestation is 80% down on early 2000's However starting to go up again.... pic.twitter.com/ga6Z2KpXXK","","","","1167067504654655488","https://twitter.com/john003/status/1167067504654655488",""
"john003","2019-08-28 12:29","0","0","To be fair under socialist government in Brazil deforestation was reduced by 80%.... pic.twitter.com/FeXM35ttQ1","","","","1166674159046418432","https://twitter.com/john003/status/1166674159046418432",""
"brnamelo","2019-08-28 09:16","0","3","From ESA: “the unprecedented increase is reported to come from both legal and illegal deforestation which allows land to be used for agricultural purposes “  http://m.esa.int/Our_Activities/Observing_the_Earth/Copernicus/Sentinel-3/Fires_ravage_the_Amazon …","","","","1166625496194605056","https://twitter.com/brnamelo/status/1166625496194605056",""
"john003","2019-08-26 16:58","0","0","80% reduction in deforestation since early 2000's..... pic.twitter.com/PoRYoT3G4O","","","","1166017078178013184","https://twitter.com/john003/status/1166017078178013184",""
"john003","2019-08-26 16:21","0","1","The area  of deforestation is also down 80% since early 2000's.... pic.twitter.com/nohY05FyLS","","","","1166007777346641920","https://twitter.com/john003/status/1166007777346641920",""
"john003","2019-08-26 01:17","0","0","80% reduction in deforestation in last 15 years.... pic.twitter.com/rVz0hVPyAw","","","","1165780355066093568","https://twitter.com/john003/status/1165780355066093568",""
"john003","2019-08-26 00:31","0","3","Deforestation had come down dramatically bug going up under current president.... pic.twitter.com/HrqDVcbbBH","","","","1165768794536665089","https://twitter.com/john003/status/1165768794536665089",""
"john003","2019-08-25 20:35","0","0","The rates of deforestation had dropped 80% in Brazil since early 2000's....However under current president they have started creeping up again.... pic.twitter.com/a0spAe02ZP","","","","1165709303568879618","https://twitter.com/john003/status/1165709303568879618",""
"john003","2019-08-25 11:17","1","1","Higher level of deforestation in 1990's and early 2000's.... pic.twitter.com/PNBTDkk2W7","","","","1165568974748356610","https://twitter.com/john003/status/1165568974748356610",""
"john003","2019-08-24 22:02","0","0","Rate of deforestation was higher in past but still very high.... pic.twitter.com/15xkvNGAEV","","","","1165368840836067328","https://twitter.com/john003/status/1165368840836067328",""
"john003","2019-08-24 21:59","0","0","Rate of deforestation was higher in the 1990's and early 2000's but still very high.... pic.twitter.com/IYmKN9kxXz","","","","1165368172708552704","https://twitter.com/john003/status/1165368172708552704",""
"john003","2019-08-24 21:09","0","4","Deforestation and burning  also in Malaysia and Indonesia  for Palm Oil....https://www.thegwpf.com/eu-destroys-700000-hectares-of-rainforest-for-biofuels/ …","","","","1165355366512758784","https://twitter.com/john003/status/1165355366512758784",""
"rte","2019-08-24 13:04","2","5","The dramatic scale of this year's fires is the result of a significant acceleration of deforestation https://bit.ly/2MCDBJU ","","","","1165233467057233925","https://twitter.com/rte/status/1165233467057233925",""
"TheJivemaster","2019-08-23 20:40","1","6","Bellator's @alejazulara using the weigh-ins to raise awareness for deforestation. Great to see. #Bellator225  📸: Lucas Noonanpic.twitter.com/MVfy8AT21B","","@alejazulara","#Bellator225","1164985725093339137","https://twitter.com/TheJivemaster/status/1164985725093339137","📸"
