"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"conormcafee","2019-09-29 11:11","0","0","😂😂😂! I’m fully trapped within the Apple ecosystem 😂","","","","1178250986055507969","https://twitter.com/conormcafee/status/1178250986055507969","😂 😂 😂 😩"
"AkwyZ","2019-09-27 19:23","4","4","The lines between IT and OT are blurring and a new type of professionals are about to emerge to lead the transformation.   However, organisations won’t last without a solid IT Foundation - internal or via a partnership ecosystem.","","","","1177649858997637120","https://twitter.com/AkwyZ/status/1177649858997637120",""
"Ceeict","2019-09-24 14:43","8","18","Launch of @FOUNDATION_EU Project! 🇪🇺    @Ceeict presents the regional politics and technological ecosystem of @regiondemurcia as one of the 9 countries exchanging experiences & knowledge on how to prepare their economies resiliently for impact of large-scale industrial job lossespic.twitter.com/Fit2Hsl41S","","@FOUNDATION_EU @Ceeict @regiondemurcia","","1176492357023346688","https://twitter.com/Ceeict/status/1176492357023346688","🇪🇺"
"dulsel14","2019-09-24 10:39","0","2","Rage as 'vibrant' ecosystem in south Dublin wetlands 'destroyed overnight' https://www.dublinlive. Scottya.l     Its our L Authority who has destroyed and killed every living creature and insect in sight on these wetlands Yet nothing will happen to bring the Council to Court.","","","","1176430954199560192","https://twitter.com/dulsel14/status/1176430954199560192",""
"nessmul18","2019-09-23 19:21","1","3","Last week thousands marched for more action to be taken around #climatechange today @GretaThunberg made an emotional statement to the UN. In the last few weeks a whole ecosystem of #tallaght wetlands were completely destroyed  Environmental vandalism..... pic.twitter.com/xYTf7sz0XL https://twitter.com/WIRED/status/1176166230425780224 …pic.twitter.com/TzxhGrvFTN","","@GretaThunberg","#climatechange #tallaght","1176200026428727298","https://twitter.com/nessmul18/status/1176200026428727298",""
"RebelDublin","2019-09-23 11:23","0","1","“Like The Surface Of The Moon”: Heartbroken to find tallaghts wetlands completely destroyed today. This was a vibrant multilayered ecosystem, home to protected Newts, Frogs, Bats & critically endangered European eels. @sdublincoco assured us this area &… http://dlvr.it/RDh2tH pic.twitter.com/c54hXz9RNp","","@sdublincoco","","1176079520853450752","https://twitter.com/RebelDublin/status/1176079520853450752",""
"genemurphy","2019-09-22 16:40","0","2","#NatalieKnowsBest when it comes to all things tech startup and ecosystem related and again she’s right on the money here with her tweet 👍👍👍","","","#NatalieKnowsBest","1175796898101415936","https://twitter.com/genemurphy/status/1175796898101415936","👍 👍 👍"
"SuzanneDoyleSDC","2019-09-22 08:18","0","0","Shame on you @sdublincoco Protect the #environment Protect the #ecosystem #ClimateAction #environmentalvandalism 😢https://twitter.com/HerpSocIreland/status/1175391629097754625 …","","@sdublincoco","#environment #ecosystem #ClimateAction #environmentalvandalism","1175670751044804608","https://twitter.com/SuzanneDoyleSDC/status/1175670751044804608","😢"
"IRISHINSAFIAN","2019-09-21 20:51","19","59","#Kashmir ecosystem & indigenous people have reached the brink of extinction due to 🇮🇳occupation, politicians and their imperialism. #Kashmiris rights, lands, water, other resources have been exploited, causing irreversible #ClimateChange  #StandWithKashmir at #ClimateStrikepic.twitter.com/TkIrQVgYlP","","","#Kashmir #Kashmiris #ClimateChange #StandWithKashmir #ClimateStrikepic","1175497753381756928","https://twitter.com/IRISHINSAFIAN/status/1175497753381756928","🇮🇳"
"genemurphy","2019-09-21 14:06","0","1","“Europe needs to build a stronger startup ecosystem” https://sifted.eu/articles/failure-startups-europe-nicolas-colin/ …","","","","1175395999969419264","https://twitter.com/genemurphy/status/1175395999969419264",""
"TheBoxsideOut","2019-09-21 01:26","0","5","Great work! A natural hedge, crafted properly; is a boost to the ecosystem.  So much more can grow within and around it; than when hawthorns are left to their own behaviour of incessantly stretching toward the sky.","","","","1175204627278643200","https://twitter.com/TheBoxsideOut/status/1175204627278643200",""
"michaelkeane","2019-09-20 18:35","2","3","Trailblazer Webinar Panelist’s sharing some great advice on career paths in the Salesforce ecosystem #Trailhead, #SalesforceOhana, #AwesomeAdminpic.twitter.com/ABKCTEE8DP","","","#Trailhead #SalesforceOhana #AwesomeAdminpic","1175101076883869700","https://twitter.com/michaelkeane/status/1175101076883869700",""
"OrlaBFagan","2019-09-20 18:04","0","1","Florida's Santa Fe River ecosystem is home to rare turtles, but its water levels are already declining. We can't let Nestlé suck 1.1 million gallons per day from this fragile habitat! http://sumof.us/513929892t?referring_akid=61847.6496577.ST5u6u&referring_source=fwd …","","","","1175093407016001537","https://twitter.com/OrlaBFagan/status/1175093407016001537",""
"raymondofoghlu","2019-09-16 20:26","0","5","loca hedgerows. It gives me great pleasure now to walk amongst the emergent willow, ash, alder, oak and birch and observing a little ecosystem developing. The ash, willow and alder thrive and are around 8 foot on average. The oak does well where the soil is better.","","","","1173679533314252800","https://twitter.com/raymondofoghlu/status/1173679533314252800",""
"HugoFitzpatrick","2019-09-11 23:25","1","5","We should be building artificial islands in Dublin bay as nature habitats so that we have an additional seasonal flood defence that is self repairing and good for the coastal ecosystem","","","","1171912775590973442","https://twitter.com/HugoFitzpatrick/status/1171912775590973442",""
"olivergburke","2019-09-11 18:33","1","0","The crop that’s gobbling up a vast Brazilian ecosystem.  Brazil’s Cerrado is a tropical savanna covering 200m ha. Soya-bean fields replaced 22% of the native vegetation that was cleared in the #Cerrado between 2003 and 2014.  https://www.nature.com/articles/d41586-019-02606-4 …pic.twitter.com/ovSRey5mGK","","","#Cerrado","1171839254714101761","https://twitter.com/olivergburke/status/1171839254714101761",""
"davidtobin100","2019-09-10 20:44","1","2","While not iPadOS specific I’ve found that the Apple ecosystem for me as an SEN teacher is allowing me to go fully paperless this year. There’s a strong link between iPhone, iPad and Mac as tools when teaching small SEN groups. Better integration with iPadOS just makes it easier.","","","","1171509651977822214","https://twitter.com/davidtobin100/status/1171509651977822214",""
"TCDTangent","2019-09-05 09:51","2","6","Tangent is at the heart of Dublin's tech and startup ecosystem #TCDTangentpic.twitter.com/x7wQUKIncN","","","#TCDTangentpic","1169533590100742144","https://twitter.com/TCDTangent/status/1169533590100742144",""
"TCDTangent","2019-09-05 09:15","6","10","Provost @pjprendergast  said ""Tangent is a bespoke innovation space for all Trinity students, staff, and wider ecosystem"" #TCDTangentpic.twitter.com/hcp62lsqKR","","@pjprendergast","#TCDTangentpic","1169524369636413441","https://twitter.com/TCDTangent/status/1169524369636413441",""
"EamonLeonard","2019-09-02 21:54","0","1","Success is personally defined. Being “known” only matters in a defined cohort / circle / setting / ecosystem.","","","","1168628267622047745","https://twitter.com/EamonLeonard/status/1168628267622047745",""
"eddiemac3356","2019-08-30 23:33","2","33","If there is anyone who genuinely cares about him they’ll try to help him. Guys like this are hard to reach.   Rich. Powerul. Insecure. A whole ecosystem of parasitic sycophants and enablers. No one is with the gumption to call him out.","","","","1167565947055595521","https://twitter.com/eddiemac3356/status/1167565947055595521",""
"ConnorPM","2019-08-30 07:35","0","26","The power of the network means ... that once you share data on that ‘VC’ with thousands of founders and MDs all over the world in Connect (our internal system) ... they should rightly see dealflow evaporate and help protect the whole ecosystem.","","","","1167325059557421062","https://twitter.com/ConnorPM/status/1167325059557421062",""
"jeni_houser","2019-08-28 06:06","2","6","Yes #Cincinnati has a great entrepreneurial spirit. This is another reason why I pursued my master's in #entrepreneurship. I am excited to be part of this start up ecosystem on my return with the best skills and knowledge from @tcddublin @TCDBusiness #Entrepreneur #startup #cincyhttps://twitter.com/StartupCincy/status/1166084915752034304 …","","@tcddublin @TCDBusiness","#Cincinnati #entrepreneurship #Entrepreneur #startup #cincyhttps","1166577763039490049","https://twitter.com/jeni_houser/status/1166577763039490049",""
"MulliganEddie","2019-08-24 13:22","2","10","A great insight by Alan Walshe & the members #Belle #Lake Trust into their work at the old #Water Treatment Plant on preserving a #freshwater #ecosystem 💚 Caught myself a #dragonfly 💚 On till 3pm today as part of @HeritageWeek #Waterfordpic.twitter.com/YwQ6kkGMf2","","@HeritageWeek","#Belle #Lake #Water #freshwater #ecosystem #dragonfly #Waterfordpic","1165238063913734146","https://twitter.com/MulliganEddie/status/1165238063913734146","💚 😊"
"AtlanticAll","2019-08-24 09:56","6","17","Our global youth ambassadors share what they are hoping to get from the inaugural All-Atlantic Ocean Youth Ambassador Summer School “The ecosystem of the ocean is the key of life” #AtlanticYouth #AtlanticAll @AllAtlanticOpic.twitter.com/w4jtrPV0qL","","@AllAtlanticOpic","#AtlanticYouth #AtlanticAll","1165186209448124416","https://twitter.com/AtlanticAll/status/1165186209448124416",""
"raymondofoghlu","2019-08-23 10:50","0","0","unrealistic...also unnecessary outside an absolutist view of the environment. Where it is causing problem it should be removed and in situations where it can exist within a vibrant ecosystem there should not be barriers placed","","","","1164837341413777408","https://twitter.com/raymondofoghlu/status/1164837341413777408",""
