"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"cormacDublin","2019-09-30 23:52","0","2","#Dublin's future #Transport should have free public transport 24 hours a day,  with the option of private travel in your own personal Electric vehicle if you prefer, public transport should be more desirable, safer, reliable & very fast service, unlike today’s public transport!","","","#Dublin #Transport","1178804867881717761","https://twitter.com/cormacDublin/status/1178804867881717761",""
"checkonchef","2019-09-26 14:25","1","5","So it takes a petrol van with a diesel generator to start a electric vehicle  ...... pic.twitter.com/mzFgFNM3af","","","","1177212602415550469","https://twitter.com/checkonchef/status/1177212602415550469",""
"stephenride","2019-09-21 18:55","0","6","The only electric vehicle I own is my body","","","","1175468638750609409","https://twitter.com/stephenride/status/1175468638750609409",""
"NewElectricIRL","2019-09-21 09:49","1","11","Can 'scrap' Lexus/Toyota hybrid parts provide a low cost power controller for electric vehicles thanks to #opensource?    Imagine a dual/triple inverter, DC-DC, and single/three phase battery charger in a single liquid cooled package for €150 😎😎    #EV #ElectricVehicle #upcyclehttps://twitter.com/OpenInverter/status/1175328583012798464 …","","","#opensource #EV #ElectricVehicle #upcyclehttps","1175331177680576513","https://twitter.com/NewElectricIRL/status/1175331177680576513","😎 👇"
"NewElectricIRL","2019-09-19 08:56","3","3","Amazing what you can do with #opensource 😎😎😎    https://youtu.be/zcZvJIx1wQo   #EV #ElectricVehicle #ElectricCar #Recycle #upcycle #circulareconomy #ClimateAction","","","#opensource #EV #ElectricVehicle #ElectricCar #Recycle #upcycle #circulareconomy #ClimateAction","1174593035373600768","https://twitter.com/NewElectricIRL/status/1174593035373600768","😎 👍 👏"
"NewElectricIRL","2019-09-16 19:42","2","21","delighted to hear that the participants in last weeks course have setup a WhatsApp group and several #ElectricVehicle conversions are underway 😎😎😎😎    #ClimateChange #ClimateActionpic.twitter.com/QtD0wIYcYT","","","#ElectricVehicle #ClimateChange #ClimateActionpic","1173668622155358211","https://twitter.com/NewElectricIRL/status/1173668622155358211","😎 👍 👏 🌍"
"NewElectricIRL","2019-09-12 14:28","5","18","Rapid charging options for #ElectricVehicle conversions - CHAdeMO, CCS, AC, Tesla 😀    #EV #ElectricCar #recycle #upcycle #circulareconomy #ClimateChangepic.twitter.com/1E14sp2FOO","","","#ElectricVehicle #EV #ElectricCar #recycle #upcycle #circulareconomy #ClimateChangepic","1172139947144466435","https://twitter.com/NewElectricIRL/status/1172139947144466435","😀"
"BScotTanner","2019-09-12 12:38","0","0","#EU News: #angelamerkel opens #InternationalMotorShow with #climate #Warning  https://p.dw.com/p/3PT4D  #ClimateChange #cars #carshow #vehicles #vehiculoselectricos #ElectricVehicle #ElectricCar #ElectricVehicles #environment","","","#EU #angelamerkel #InternationalMotorShow #climate #Warning #ClimateChange #cars #carshow #vehicles #vehiculoselectricos #ElectricVehicle #ElectricCar #ElectricVehicles #environment","1172112195443990528","https://twitter.com/BScotTanner/status/1172112195443990528",""
"NewElectricIRL","2019-09-12 11:40","1","6","#Tesla powered BMW and VW under discussion on today's course 😎    #EV #ElectricVehicle #recycle #upcycle #ClimateChangepic.twitter.com/P4QZJYJw8d","","","#Tesla #EV #ElectricVehicle #recycle #upcycle #ClimateChangepic","1172097695856713729","https://twitter.com/NewElectricIRL/status/1172097695856713729","😎"
"NewElectricIRL","2019-09-11 16:07","1","5","testing #ElectricVehicle batteries 😎 pic.twitter.com/cVCeZAeQoK","","","#ElectricVehicle","1171802325159202818","https://twitter.com/NewElectricIRL/status/1171802325159202818","😎"
"NewElectricIRL","2019-09-11 12:48","1","9","DC motor, Toyota Prius transaxle, electric heat/cool, and power steering/brakes for budget #ElectricVehicle conversions 😀    #EV #customized #recycled #upcycling #green #circulareconomypic.twitter.com/y9iQYIpVA4","","","#ElectricVehicle #EV #customized #recycled #upcycling #green #circulareconomypic","1171752300454514688","https://twitter.com/NewElectricIRL/status/1171752300454514688","😀"
"NewElectricIRL","2019-09-11 09:24","3","10","moving onto #ElectricVehicle AC motors and control today 😎😎    #EV #electronics #opensource #ElectricVehicles #electricity #Trainingpic.twitter.com/bNApyvoqLR","","","#ElectricVehicle #EV #electronics #opensource #ElectricVehicles #electricity #Trainingpic","1171701077185630208","https://twitter.com/NewElectricIRL/status/1171701077185630208","😎 👍"
"NewElectricIRL","2019-09-09 17:30","3","12","busy first day teaching electric vehicle conversion techniques... tomorrow we start dissecting @EvBmw's 1,000 euro electric BMW 😎😎😎    #EV #Tesla #Leaf #recycle #upcycle #ClimateChange #ClimateCrisis #GreenNewDealpic.twitter.com/y6mPWvCOCv","","@EvBmw","#EV #Tesla #Leaf #recycle #upcycle #ClimateChange #ClimateCrisis #GreenNewDealpic","1171098558600228864","https://twitter.com/NewElectricIRL/status/1171098558600228864","😎 👍 🌍"
"KevinSharpe59","2019-09-07 15:58","17","49","Amazing what you can do with a €50 Prius battery and @EvBmw @OpenInverter open source controllers 😋    #ElectricVehicle #opensource #EV #Recycle #Upcycled #circulareconomy #ClimateCrisispic.twitter.com/fd1zy2WazK","","@EvBmw @OpenInverter","#ElectricVehicle #opensource #EV #Recycle #Upcycled #circulareconomy #ClimateCrisispic","1170350714016686080","https://twitter.com/KevinSharpe59/status/1170350714016686080","😋"
"nextecocar","2019-09-07 15:20","0","2","Productive morning at the #KBC Hub in #Stillorgan spreading the word about driving electric 😎#Ireland #Dublin #EV #EVs #electriccar #electriccars #electricvehicle #electricvehicles #evlife #zeroemissions #carsforsale #renaultzoe #nissanleaf #driveelectric @KBCBankIrelandpic.twitter.com/zTuAJu16nD","","@KBCBankIrelandpic","#KBC #Stillorgan #Ireland #Dublin #EV #EVs #electriccar #electriccars #electricvehicle #electricvehicles #evlife #zeroemissions #carsforsale #renaultzoe #nissanleaf #driveelectric","1170341117939916802","https://twitter.com/nextecocar/status/1170341117939916802","😎"
"KevinSharpe59","2019-08-25 10:18","0","4","It cost 1,000 euros to buy this car and convert it from diesel to electric drive with 38 miles range 😎😎    https://twitter.com/EvBmw/status/1153953245963984896?s=19 …  #EV #ElectricVehicle #ClimateChange #ClimateEmergency #recycling #upcycled #circulareconomy","","","#EV #ElectricVehicle #ClimateChange #ClimateEmergency #recycling #upcycled #circulareconomy","1165554043319652352","https://twitter.com/KevinSharpe59/status/1165554043319652352","😎 🌍"
"KevinSharpe59","2019-08-25 10:14","12","32","Time to think seriously about #upcycling our existing vehicles to electric drive 💪💪    #EV #ElectricVehicle #recycling #ClimateChange #ClimateEmergency #ClimateActionNowhttps://twitter.com/NewElectricIRL/status/1141320558551937024 …","","","#upcycling #EV #ElectricVehicle #recycling #ClimateChange #ClimateEmergency #ClimateActionNowhttps","1165552944240050176","https://twitter.com/KevinSharpe59/status/1165552944240050176","💪 🌍"
"CarltonDAirport","2019-08-23 14:52","0","1","Sustainable Meetings at Carlton Dublin Airport    https://www.carltondublinairport.com/en/conference-venue/ …  #guestservice #meetings #conferences #dublin #dublinairport #electricvehicle #gocarireland #carltonhoteldublinairport #meetingrooms  #sustainablemeetings #gogreen #gogreenin2019 #environment #makethechange","","","#guestservice #meetings #conferences #dublin #dublinairport #electricvehicle #gocarireland #carltonhoteldublinairport #meetingrooms #sustainablemeetings #gogreen #gogreenin2019 #environment #makethechange","1164898295220789255","https://twitter.com/CarltonDAirport/status/1164898295220789255",""
"Shane_RossTD","2019-08-16 16:32","20","126","Charging my new fully electric vehicle in Dundrum today🔌🔌 #ev #climateactionplanpic.twitter.com/eigk3KmQj4","","","#ev #climateactionplanpic","1162386617631481856","https://twitter.com/Shane_RossTD/status/1162386617631481856","🔌 🚘"
"NewElectricIRL","2019-08-16 15:32","2","2","Lots fun in the workshop today 😀 Lookout for @EvBmw next video where the 'Grey Goose' goes for a drive 😀😀😀    #EV #ElectricVehicle #Upcycle #recycling #ClimateEmergency #ClimateActionhttps://twitter.com/EvBmw/status/1162303030458572800 …","","@EvBmw","#EV #ElectricVehicle #Upcycle #recycling #ClimateEmergency #ClimateActionhttps","1162371674811109376","https://twitter.com/NewElectricIRL/status/1162371674811109376","😀 😎 👍 👏"
"NewElectricIRL","2019-08-10 12:32","4","12","Looks like @EvBmw is going to be busy with some more budget #ElectricVehicle and #EnergyStorage projects 😀    If you want to know more visit the @OpenInverter forum where we share knowledge as #opensource 😀😀😀    #EV #SOLAR #ClimateAction #Recycle #upcycledpic.twitter.com/godDYzjCR0","","@EvBmw @OpenInverter","#ElectricVehicle #EnergyStorage #opensource #EV #SOLAR #ClimateAction #Recycle #upcycledpic","1160151851213496321","https://twitter.com/NewElectricIRL/status/1160151851213496321","😀 😎 👍 🌍"
"NewElectricIRL","2019-08-10 10:33","0","3","We have one space left on our September #ElectricVehicle conversion course... want to join us? 😎😎    #EV #electriccars #green #upcycle #recycle #circulareconomy #dieselgatehttps://twitter.com/NewElectricIRL/status/1141320558551937024 …","","","#ElectricVehicle #EV #electriccars #green #upcycle #recycle #circulareconomy #dieselgatehttps","1160121915408900096","https://twitter.com/NewElectricIRL/status/1160121915408900096","😎 👇"
"NewElectricIRL","2019-08-07 11:31","9","14","Getting closer to an #opensource VCU that will control #Leaf, #Tesla and other OEM electric car parts 😎    All knowledge and designs are shared on the @OpenInverter  forum 😎    If you want ultra low cost #ElectricVehicle's then #upcycling existing vehicles is the way forward 😎😎https://twitter.com/NewElectricIRL/status/1158070776483995649 …","","@OpenInverter","#opensource #Leaf #Tesla #ElectricVehicle #upcycling","1159049323436486656","https://twitter.com/NewElectricIRL/status/1159049323436486656","😎 💪 👍 👏"
