"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"john003","2019-10-01 00:24","0","0","Not sure the Irish 60 million tons of emissions will make much difference.... pic.twitter.com/6eYuXsz8hF","","","","1178812862740992000","https://twitter.com/john003/status/1178812862740992000",""
"olivergburke","2019-09-30 21:07","0","1","Dutch chemical maker DSM sees strong demand for methane-reducing cow feed.  Bovaer cuts methane emissions when mixed into a cow’s feed by inhibiting an enzyme in the digestion process which normally causes the release of the gas.  https://uk.reuters.com/article/us-climate-change-dsm/chemical-maker-dsm-sees-strong-demand-for-methane-reducing-cow-feed-additive-idUKKBN1WF1E8 …pic.twitter.com/8m9ex3Uohp","","","","1178763302769438721","https://twitter.com/olivergburke/status/1178763302769438721",""
"aobaoill","2019-09-30 10:22","0","0","Roughly ½ Irish electricity comes from gas, ¼ from coal and peat. 27% of electrical carbon emissions come from gas, 54% from coal and peat.    Replacing coal and peat with gas  should reduce carbon from electricity by ⅓. Replacing it with renewables reduces it by 55%.","","","","1178600921896501248","https://twitter.com/aobaoill/status/1178600921896501248",""
"olivergburke","2019-09-30 08:12","1","0","Oxford's Citizens Assembly on Climate meets for the first time.  With Oxford University being the highest single contributor of the city's total emissions, will be interested to see the outcomes.     https://www.witneygazette.co.uk/news/17935507.oxfords-citizens-assembly-climate-meets-first-time/?ref=twtrec …","","","","1178568302223908864","https://twitter.com/olivergburke/status/1178568302223908864",""
"LNBDublin","2019-09-30 07:46","15","25","""Focusing only on the point of combustion produces confusion and misinformation about natural gas’s ability to reduce greenhouse gas emissions, or serve as a “bridge fuel”  https://www.sightline.org/2019/02/12/calling-natural-gas-a-bridge-fuel-is-alarmingly-deceptive/ …","","","","1178561698053201922","https://twitter.com/LNBDublin/status/1178561698053201922",""
"maryfoleyc","2019-09-29 15:33","0","0","Jeremy Clarkson, super spoilt brat, who has owned 25 super cars. This has not helped the environment with the impact of fuel emissions. Take heed of Greta Thunbergs advice for climate change. https://bit.ly/2mNIHYk ","","","","1178316856115040256","https://twitter.com/maryfoleyc/status/1178316856115040256",""
"breffnilennon","2019-09-29 09:29","0","4","Properly functioning public transport network = lower emissions, less particulate pollution etc. How are people meant to switch from private to public transport when the public options are just as, or more, expensive? Locking people into false choice economies don't work.","","","","1178225385802272768","https://twitter.com/breffnilennon/status/1178225385802272768",""
"john003","2019-09-27 09:48","0","2","Electric cars are not Zero emissions... pic.twitter.com/9ubRMw9U1r","","","","1177505191584616449","https://twitter.com/john003/status/1177505191584616449",""
"HugoFitzpatrick","2019-09-27 07:47","0","0","Frankly the whole world should down tools on Fridays until the government does something!    Might actually lower some emissions...","","","","1177474921489780741","https://twitter.com/HugoFitzpatrick/status/1177474921489780741",""
"foodiedelights","2019-09-26 19:42","10","24","Textiles now responsible for more emissions than aviation or shipping! Students enjoyed fast fashion workshop exploring life cycle of clothes/possible solutions to how we can become more #sustainable with our choices #homeeconomics Thanks LK @ECOUNESCO for facilitating workshop👍pic.twitter.com/PUHG2AkW3p","","@ECOUNESCO","#sustainable #homeeconomics","1177292308577947648","https://twitter.com/foodiedelights/status/1177292308577947648","👍"
