"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"vision_comm","2019-09-20 14:42","2","3","👩🏽‍💻Second day in Dublin with @heatnet_nwe. 👩🏽‍💻  👩🏽‍💻 #comm4action for #energyefficiency and #greeneconomy! 👩🏽‍💻pic.twitter.com/ijlD79K2jw","","@heatnet_nwe","#comm4action #energyefficiency #greeneconomy","1175042466237558784","https://twitter.com/vision_comm/status/1175042466237558784","👩🏽‍💻 👨🏻‍💻 📢 🌍"
"DerrenBrady1","2019-09-18 15:41","2","5","#DublinMidWestSF Continuing where we left off with the Home Energy Efficiency Newsletter..    Just back in after completing all Woodview Heights & Airlie Heights in @LucanSinnFein with this oul trooper! @DublinSinnFeinpic.twitter.com/2ENy2FicmR","","@LucanSinnFein @DublinSinnFeinpic","#DublinMidWestSF","1174332684472115201","https://twitter.com/DerrenBrady1/status/1174332684472115201",""
"koresystem","2019-09-13 10:25","2","5","New Build or Retrofit we are here to answer your questions this weekend at @selfbuildire Citywest, Dublin. Come say hi at stand J5! #EnergyEfficiency #retrofit #newbuildpic.twitter.com/XR5c1nRlgL","","@selfbuildire","#EnergyEfficiency #retrofit #newbuildpic","1172441216668954632","https://twitter.com/koresystem/status/1172441216668954632",""
"CruiseRoomEire","2019-09-12 18:18","2","5","RELEASE FROM CLIA SHOWING LENGTHS CRUISE LINES ARE GOING TO, TO REDUCE ENVIRONMENTAL IMPACT!    🌎 26 LNG powered ships on order    🌎 88% of new ships will be fitted with shore side electricity systems    🌎 $22bn invested in new energy efficiency technologies & cleaner fuel!  @CLIAUKpic.twitter.com/TeXMLpEpcO","","@CLIAUKpic","","1172197847057469440","https://twitter.com/CruiseRoomEire/status/1172197847057469440","🌎 🌍 🌏"
"DerrenBrady1","2019-09-10 16:22","2","8","Largest of the residential housing estates completed today with the local @DublinSinnFein Mid-West 'Home Energy Efficiency Funding' newsletters from @EOBroin TD here in @LucanSinnFeinpic.twitter.com/EttHsrE9kg","","@DublinSinnFein @EOBroin @LucanSinnFeinpic","","1171443791703601153","https://twitter.com/DerrenBrady1/status/1171443791703601153",""
"GerryMongey","2019-08-31 08:08","0","1","Thank you for the kind words. always a pleasure to work with such dedicated people to the cause of sustainability and energy efficiency.","","","","1167695670385479680","https://twitter.com/GerryMongey/status/1167695670385479680",""
"DerrenBrady1","2019-08-30 14:10","4","9","Out today with Cllr @willocareyd22 & Baz, tackling St John's in Sruleen in @SFClondalkin with our newsletter #energyefficiency #betterhomespic.twitter.com/pMSC5m54c2","","@willocareyd22 @SFClondalkin","#energyefficiency #betterhomespic","1167424239407915008","https://twitter.com/DerrenBrady1/status/1167424239407915008",""
"DerrenBrady1","2019-08-27 18:09","1","2","Another commited #DublinMidWestSF crew back out today with our home energy efficiency newsletter & update on the council's tree maintenance programme of works for St Andrews /Bewley estates here in @LucanSinnFein     Between elections & after the dust settles mattering most!pic.twitter.com/kr7jzcA3mO","","@LucanSinnFein","#DublinMidWestSF","1166397396168740864","https://twitter.com/DerrenBrady1/status/1166397396168740864",""
"DerrenBrady1","2019-08-26 17:33","3","3","#DublinMidWestSF team out with  Ashwood & Alpine residents today to distrubute our 'Home Energy Efficiency' newsletter & a spot leaflet on the individual tree estate maintenance schedule of works for this area, from @EOBroin TD & @SFClondalkin Cllrs @Wardy1916 @willocareyd22pic.twitter.com/QJPzXS3yCG","","@EOBroin @SFClondalkin @Wardy1916 @willocareyd22pic","#DublinMidWestSF","1166025926582386688","https://twitter.com/DerrenBrady1/status/1166025926582386688",""
"Herdwatch","2019-08-14 15:28","1","2","Catch us at #EnergyAg2019 next Tuesday 20th August 📅    This free event aims to provide practical information for farmers about the various renewable energy and energy efficiency options available for farm businesses📅 https://twitter.com/EnergyinAgri/status/1161643443145326594 …","","","#EnergyAg2019","1161645655250690049","https://twitter.com/Herdwatch/status/1161645655250690049","📅 👌"
