"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"RhyanRomaine","2019-09-24 20:00","0","0","Flora and fauna of the day in The Burren. pic.twitter.com/3hkpb8VHYH","","","","1176572028083671045","https://twitter.com/RhyanRomaine/status/1176572028083671045",""
"RobertBohan","2019-09-18 19:32","0","1","I was trained for many years as a scientist & practised scientific graphic techniques. As a result I illustrated plant biology books to help pay for my studies. I often use that practise to inspire my own imaginary flora. pic.twitter.com/LoGa6bQkq5","","","","1174390771815997441","https://twitter.com/RobertBohan/status/1174390771815997441",""
"bonnertravel","2019-09-16 20:22","0","0","Contrast @araninfo #MondayMotivation #50shadesofgray #flora pic.twitter.com/cTO5wJqoJx","","@araninfo","#MondayMotivation #50shadesofgray #flora","1173678461002629123","https://twitter.com/bonnertravel/status/1173678461002629123",""
"anjabakker","2019-09-15 12:55","0","1","#GoodMorningWorld up late, check on the spider in my @WearetheArk1 and wow! An expanded web and the weird angle worked for there's a wasp all wrapped and ready to eat. And another spider moved in. Had to put in some of the beautiful flora around their home.    #WestCork #Clonakiltypic.twitter.com/etNILn0amD","","@WearetheArk1","#GoodMorningWorld #WestCork #Clonakiltypic","1173203726129160194","https://twitter.com/anjabakker/status/1173203726129160194",""
"candyangel88","2019-09-15 07:53","0","0","Nails ✅✅ #Ireland #CountyDublin #flower #nature #love #beautiful #hand #summer #manicure #nailsaddict #nailart #polish #nailpolish #instanail #mani #bright #flora #wedding #finger #floral #garden #nail #leaf #closeup… https://www.instagram.com/p/B2bCnHHIcle/?igshid=1adctdtq7h7n …","","","#Ireland #CountyDublin #flower #nature #love #beautiful #hand #summer #manicure #nailsaddict #nailart #polish #nailpolish #instanail #mani #bright #flora #wedding #finger #floral #garden #nail #leaf #closeup","1173127795637014528","https://twitter.com/candyangel88/status/1173127795637014528","✅ ✔"
"RobertBohan","2019-09-14 13:02","1","1","I was trained for many years as a scientist & practised scientific graphic techniques. As a result I illustrated plant biology books to help pay for my studies. I often use that practise to inspire my own imaginary flora. pic.twitter.com/54o9CCtVKP","","","","1172842942584823808","https://twitter.com/RobertBohan/status/1172842942584823808",""
"RobertBohan","2019-09-13 20:12","1","2","I was trained for many years as a scientist & practised scientific graphic techniques. As a result I illustrated plant biology books to help pay for my studies. I often use that practise to inspire my own imaginary flora. pic.twitter.com/2RIvbCpvO7","","","","1172588991041953797","https://twitter.com/RobertBohan/status/1172588991041953797",""
"RobertBohan","2019-09-13 12:58","0","3","In 1749 Ramsay completed a number of portraits of women including Flora MacDonald (proud of her Highland tartan) & a moving image of Rosamond Sargent. His wife, Anne, is from 1739. The rich, subtle & sympathetic evolution of his vision is clear by comparison between years pic.twitter.com/moWBEEtwDQ","","","","1172479699399925761","https://twitter.com/RobertBohan/status/1172479699399925761",""
"RobertBohan","2019-09-12 21:03","0","0","I enjoy the idea of movement - here’s a semi-humorous drawing of Hermes, a relaxed spring flora & a Figure accepting. pic.twitter.com/BbDCgnXo4Q","","","","1172239389147172866","https://twitter.com/RobertBohan/status/1172239389147172866",""
"RobertBohan","2019-09-12 11:03","1","0","I was trained for many years as a scientist & practised scientific graphic techniques. As a result I illustrated plant biology books to help pay for my studies. I often use that practise to inspire my own imaginary flora. pic.twitter.com/mpKcaFaRbn","","","","1172088451178668032","https://twitter.com/RobertBohan/status/1172088451178668032",""
"RobertBohan","2019-09-11 23:23","1","3","An alternative flora feeds a humming bird, a mind reaches out to perceive & a mind on fire. pic.twitter.com/3kVRsCIVPQ","","","","1171912101398568960","https://twitter.com/RobertBohan/status/1171912101398568960",""
"RobertBohan","2019-09-11 23:22","1","3","I trained for many years as a scientist & practised scientific graphic techniques. I often use that study to create my own imaginary flora. pic.twitter.com/ypaRyU5MJ5","","","","1171912006091399169","https://twitter.com/RobertBohan/status/1171912006091399169",""
"BumblebeeFarm_","2019-09-11 10:12","9","29","Lovely image of our 'flora,fauna & food event from last Saturday as part of @atasteofwestcor weather Angel's were on side 😁 food was incredible thanks to @EAttwell and the drinks pairings to accompany each course so thoughtfully prepared by Michael 😁 #spoilt #bumblebeefarmpic.twitter.com/ldXAaIi4kd","","@atasteofwestcor @EAttwell","#spoilt #bumblebeefarmpic","1171713154067390464","https://twitter.com/BumblebeeFarm_/status/1171713154067390464","😁 😁"
"RobertBohan","2019-09-09 20:13","6","21","Less well known are Klimt’s landscapes & seascapes.  These works glow & sparkle with light & colour.  He had an innate understanding of trees & other flora & these works are some of the greatest landscapes in Western art. pic.twitter.com/UGvouAa62B","","","","1171139486740353025","https://twitter.com/RobertBohan/status/1171139486740353025",""
"MakeupbySuky","2019-09-07 09:34","0","1","I went to smell it and it's nice but smells like Gucci Flora and there is something in that one that really bothers me 😭 ended up with @YSL Libre.. it's gorgeous","","@YSL","","1170253908654080000","https://twitter.com/MakeupbySuky/status/1170253908654080000","😭"
"PhoTangoIrl","2019-09-02 09:32","0","9","This is a money making racket dressed up as green. 70% coniferous will do untold damage to biodiversity and native flora and fauna, it will make good profit though. Plant 90% deciduous and bring back natural forests and stop thinking profit first for our children's sake!","","","","1168441578102415360","https://twitter.com/PhoTangoIrl/status/1168441578102415360",""
"PhoTangoIrl","2019-09-02 09:25","0","0","@RTERadio1 the great forest plan is nothing more than profiteering dress up as green. 70% coniferous that's the money, the rest is the sop. Conifers kill biodiversity and will not improve the chances of flora and fauna being supported. @ExtinctRebelsIE","","@RTERadio1 @ExtinctRebelsIE","","1168439708734693377","https://twitter.com/PhoTangoIrl/status/1168439708734693377",""
