"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"pounderexpress","2019-09-30 17:44","0","1","Yet another reason to rid ourselves of our dependance on fossil fuels... https://twitter.com/IrishTimesWorld/status/1178650216041312258 …","","","","1178712161847259136","https://twitter.com/pounderexpress/status/1178712161847259136",""
"john003","2019-09-29 10:57","0","1","Ireland UK and the EU may well phase out fossil fuels by 2050....However the rest of the world won't..... pic.twitter.com/ElN02VGq8Q","","","","1178247503294148608","https://twitter.com/john003/status/1178247503294148608",""
"Dermopj","2019-09-26 10:26","0","0","If we didn't have and use fossil fuels we would not have the industrial revolution and massive innovations which have led  to prolonging life and making life more comfortable .The climate has always changed we are miniscule in what we do to it .","","","","1177152394561560576","https://twitter.com/Dermopj/status/1177152394561560576",""
"keithcairns","2019-09-25 15:28","0","0","A bit simplistic. In those days we couldn’t burn enough fossil fuels!","","","","1176865943739346944","https://twitter.com/keithcairns/status/1176865943739346944",""
"Dermopj","2019-09-24 22:03","0","1","Explain how you're not .Developing nations need the same technology , fossil fuels , logistics to become developed .But ye cultist believe these things should be curtailed or stopped completely.","","","","1176603183004704770","https://twitter.com/Dermopj/status/1176603183004704770",""
"TwistedIdiot","2019-09-24 09:24","0","1","So @LeoVaradkar won't rebate people who cut their CO2 emissions just add another tax to the people of Ireland. But he will allow burning of tyres, drilling for fossil fuels and continuing to cut down trees for bus routes. Yeah he really cares about the #climate #ClimateChange","","@LeoVaradkar","#climate #ClimateChange","1176411951393640449","https://twitter.com/TwistedIdiot/status/1176411951393640449",""
"mojonaut","2019-09-24 08:02","0","2","...renewable energy now. All that tells me is that the industry behind traditional fossil fuels is worried. They know their days are numbered. Gullible people can still be manipulated for a big push for revenue. Then the companies pivot.","","","","1176391463657201664","https://twitter.com/mojonaut/status/1176391463657201664",""
"cpbyrne","2019-09-23 20:11","0","0","@LeoVaradkar @simoncoveney @MichealMartinTD If everyone switched away from fossil fuels in the next few years Ireland doesnt have the electricity generation to support that. We have a few hydo stations. Meanwhile France has 11 on one river. Our Gov are piss artists.","","@LeoVaradkar @simoncoveney @MichealMartinTD","","1176212542647128064","https://twitter.com/cpbyrne/status/1176212542647128064",""
"gold_lgold","2019-09-23 14:07","4","7","Any Irish #carbontax targeting individuals needs to be accompanied by an end to #FossilFuels subsidies AND a tax on high carbon corporate profits. https://twitter.com/Cath_Dev/status/1176033410499928065 …","","","#carbontax #FossilFuels","1176121009512091649","https://twitter.com/gold_lgold/status/1176121009512091649",""
"vickysfeir","2019-09-22 23:19","0","0","It’s all but impossible for most of us to stop using fossil fuels immediately, especially since, in many places, the fossil-fuel& utility industries have made it difficult& expensive to install solar panels on your roof. But it’s both simple& powerful to switch your bank account. https://twitter.com/NewYorker/status/1175889581872439297 …","","","","1175897331801174016","https://twitter.com/vickysfeir/status/1175897331801174016",""
"bardseyobs","2019-09-22 21:41","5","5","We are looking for support to help us stop using fossil fuels and for us to go completely green and produce all our electron solar. https://www.gofundme.com/f/tnee5s-bardsey-bird-observatory-is-trying-to-go-green?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cp+share-sheet …","","","","1175872808351600640","https://twitter.com/bardseyobs/status/1175872808351600640",""
"gold_lgold","2019-09-20 14:28","31","82","This one's for you @billmckibben.... Maynooth kids say it like it is!     Get Up  Get Down  Leave #FossilFuels   IN THE GROUND    #ClimateStrikepic.twitter.com/s64OZMdZmd","","@billmckibben","#FossilFuels #ClimateStrikepic","1175039088522649600","https://twitter.com/gold_lgold/status/1175039088522649600",""
"Bubblenoma","2019-09-20 12:33","2","30","Absolutely fuck the sign that says Burn Calories Not Fossil Fuels","","","","1175010018778894337","https://twitter.com/Bubblenoma/status/1175010018778894337",""
"JohnCTP","2019-09-19 16:28","0","0","Though @AXA pays lip service to fossil fuel divestment and to respecting human rights, it still invests in fossil fuels and over $91 million in Israeli apartheid. #climatestrike #BDS  @AXA, divest now! http://bit.ly/2L9uIXA pic.twitter.com/mFSqz7yyyb","","@AXA @AXA","#climatestrike #BDS","1174706945636339712","https://twitter.com/JohnCTP/status/1174706945636339712",""
