"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"kilkeal","2019-09-28 18:08","0","0","Salesman of the year goes to the Man who sold global warming to everybody https://twitter.com/Piers_Corbyn/status/1177086667368386560 …","","","","1177993528510701569","https://twitter.com/kilkeal/status/1177993528510701569",""
"FrankPentangel1","2019-09-28 14:41","0","0","Are you paddling your own canoe to Santiago Mick. Or will you use your special status as an MEP to contribute to “global warming” by filling the sky with jet fuel burn off? Ask Clare to tell you the difference. I think she’s in Harrods. She does so love the huge MEP salary. Ciao!","","","","1177941415197843456","https://twitter.com/FrankPentangel1/status/1177941415197843456",""
"bucks777","2019-09-28 09:46","0","5","Sad to see how global warming affects these beautiful places, the decline of the glaciers above the Chamonix valley 😢 If anyone wants to see a devastating consequence of global warming then visit the Mer de Glace glacier in Cham. https://twitter.com/JonFielden/status/1177838218387042304 …","","","","1177867088913940480","https://twitter.com/bucks777/status/1177867088913940480","😢"
"LynnMoo01068579","2019-09-27 15:00","0","3","Fucking global warming I was lovely and toastie in my trackie this morning in the cold and the rain and I’m here sweating my bollox off in it now AND I’ve to get on a sweat infested bus now","","","","1177583829453852676","https://twitter.com/LynnMoo01068579/status/1177583829453852676",""
"stpatscavangsc","2019-09-26 20:01","0","0","Links:    https://act.globalclimatestrike.net/event/globalclimatestrike_attend/24715 …  https://www.facebook.com/events/2281591315302172/?ti=cl …    Hashtags:    #fridaysforfuture #GreenSchools #ireland #school #environment #eco #climatechange #recycle #earth #climateaction #savetheplanet #cavan #climateaction #climatestrike #pollution #noplanetb #globalwarming","","","#fridaysforfuture #GreenSchools #ireland #school #environment #eco #climatechange #recycle #earth #climateaction #savetheplanet #cavan #climateaction #climatestrike #pollution #noplanetb #globalwarming","1177297223111061505","https://twitter.com/stpatscavangsc/status/1177297223111061505",""
"eoin88","2019-09-26 12:06","1","17","Is there a way to block that fucking global warming child from coming up on my feed?!","","","","1177177532107563010","https://twitter.com/eoin88/status/1177177532107563010",""
"MariuPaz7","2019-09-23 21:37","0","0","... Nature is striking back with fury... #GlobalWarming #ClimateActionSummit #ClimateEmergencyhttps://twitter.com/UN/status/1176155114719064066 …","","","#GlobalWarming #ClimateActionSummit #ClimateEmergencyhttps","1176234277018710017","https://twitter.com/MariuPaz7/status/1176234277018710017",""
"MariuPaz7","2019-09-23 21:06","0","2","Bravo Greta!!!!! 👏👏👏👏 #ClimateAction .... We, as adults; should all be ashamed of ourselves. A child was giving us a lecture on how we've been so destructive and selfish... #GlobalWarming https://twitter.com/dwnews/status/1176156267687141376 …","","","#ClimateAction #GlobalWarming","1176226411209797636","https://twitter.com/MariuPaz7/status/1176226411209797636","👏 👏 👏 👏"
"LTovander","2019-09-23 10:22","0","0","Majority of Irish Voters Oppose Doubling Of Carbon Tax, Poll Reveals - The Global Warming Policy Forum (GWPF) https://www.thegwpf.com/majority-of-irish-voters-oppose-doubling-of-carbon-tax-poll-reveals/ …","","","","1176064334021189634","https://twitter.com/LTovander/status/1176064334021189634",""
"LTovander","2019-09-23 10:20","0","0","St. Greta Spreads the Climate Gospel - The Global Warming Policy Forum (GWPF) https://www.thegwpf.com/st-greta-spreads-the-climate-gospel/ …","","","","1176063848786399233","https://twitter.com/LTovander/status/1176063848786399233",""
