"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"agriculture_ie","2019-09-17 15:50","1","5","John Muldowney from our Climate Change division discusses reducing greenhouse gases, afforestation and green energy on farms pic.twitter.com/4qH7laQdBG","","","","1173972406974779392","https://twitter.com/agriculture_ie/status/1173972406974779392",""
"tiffaquinn","2019-08-31 16:24","0","1","Yes eat local vegetables and plants! Animal Ag is responsible for 33% of Ireland greenhouse gases 🙈 https://www.irishtimes.com/news/environment/irish-farming-under-pressure-to-reduce-carbon-emissions-1.3527011 …pic.twitter.com/HoJKZpOJwt","","","","1167820485624848385","https://twitter.com/tiffaquinn/status/1167820485624848385","🙈"
"petermannion","2019-08-02 11:40","0","1","It’s pretty obvious where we can reduce greenhouse gases on a sectoral level - but our policital class,led by the self proclaimed leaders of rural Ireland, are clearly under the thumb of sectoral lobbyists     (InfoGraphic EPA 2017) pic.twitter.com/8PQnK9SOlq","","","","1157239633194995712","https://twitter.com/petermannion/status/1157239633194995712",""
"donaloc","2019-07-02 21:59","0","1","#FODCUpdate: Just referenced need for a Socialist, democratically-planned economy as the only way to deal with climate change. 100 companies have contributed 71% of all greenhouse gases. There’s no chance of avoiding catastrophe without ending the capitalist mode of production","","","#FODCUpdate","1146161380610969602","https://twitter.com/donaloc/status/1146161380610969602",""
"criodanomurchu","2019-05-29 18:58","0","0","Cancer is natural. Does that mean it's right? We need to stop adding greenhouse gases, like CO2, to our atmosphere now. We do not have time for a ""transition period"" and fossil fuels are not the answer regardless!  No one is gaining from this at all.   #ClimateEmergencyhttps://twitter.com/johndodwyer/status/1133757202542546946 …","","","#ClimateEmergencyhttps","1133794806638030849","https://twitter.com/criodanomurchu/status/1133794806638030849",""
"jadeswilson","2019-05-22 14:16","2","7","Meat and dairy have the largest impact. Livestock accounts for 14.5% greenhouse gases per year","","","","1131186966245105665","https://twitter.com/jadeswilson/status/1131186966245105665",""
"jadeswilson","2019-05-22 14:15","12","57","The world’s food system is responsible for about one quarter of the planet warming greenhouse gases that humans generate each year. So yes, what you eat has an effect on climate change.","","","","1131186884548399106","https://twitter.com/jadeswilson/status/1131186884548399106",""
"JoeRyanWex","2019-05-19 22:59","0","1","#rtept @wallacemick during the boom construction was one of the largest contributors of greenhouse gases to the atmosphere, up there with agriculture & aviation","","@wallacemick","#rtept","1130231649868898304","https://twitter.com/JoeRyanWex/status/1130231649868898304",""
"eoinneylon","2019-05-14 08:57","0","0","I've been talking of our need to build up for over a decade yet so many in this city still haven't copped top this yet. It's the only sustainable model for a city of third population. 25% of greenhouse gases we pump out in Dublin is via private cars because of poor planning.","","","","1128207670983393281","https://twitter.com/eoinneylon/status/1128207670983393281",""
"Markkipper","2019-05-04 10:32","0","1","Aviation causes 2% greenhouse gases but farming causes 22%, so if I order the steak off the menu followed by cheese I will be at 24%! #nolaughingmatter","","","#nolaughingmatter","1124607791224840197","https://twitter.com/Markkipper/status/1124607791224840197",""
"john003","2019-05-01 10:39","0","2","What about climate breakdown by 2030.....30% of greenhouse gases generated by agriculture....","","","","1123522246490886144","https://twitter.com/john003/status/1123522246490886144",""
"john003","2019-04-30 00:02","0","0","Do you have a date for Ireland to be carbon nutural....European parliment voted for 55% reduction by 2030...Do you support this crazy motion....SF are totally behind it....As agriculture is 30% of greenhouse gases that would mean dramatic reduction in herd numbers...","","","","1122999671591510016","https://twitter.com/john003/status/1122999671591510016",""
"eosfuturedesign","2019-04-03 08:59","0","2","This report will be a game changer for biochar in Ireland - and for the successful reduction of greenhouse gases and  sequestration of C in soil for Irish agriculture https://twitter.com/BBiochar/status/1113032371555786754 …","","","","1113350330832576514","https://twitter.com/eosfuturedesign/status/1113350330832576514",""
"polly_galway","2019-03-21 15:57","1","1","US judge halts hundreds of #drilling projects in groundbreaking #climatechange ruling  #greenhousegases  https://www.theguardian.com/environment/2019/mar/20/judge-halts-drilling-climate-change-trump-administration?CMP=Share_AndroidApp_Tweet …","","","#drilling #climatechange #greenhousegases","1108759625183252480","https://twitter.com/polly_galway/status/1108759625183252480",""
"cosaingalway","2019-03-13 09:45","0","0","""It is thought that autonomous vehicles will improve efficiency of the transport infrastructure, traffic management and mobility while at the same time reducing greenhouse gases.""    We already have the solutions: public transport and active travel. https://twitter.com/EmergTechEthics/status/1051061836211281920 …","","","","1105766757506183168","https://twitter.com/cosaingalway/status/1105766757506183168",""
