"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"JustNoli1","2019-09-29 23:11","0","0","Insulation","","","","1178432076976214017","https://twitter.com/JustNoli1/status/1178432076976214017",""
"artboxhill","2019-09-27 08:08","0","0","There is such a thing as retrofit one-upmanship and I can confirm it’s perpetuated by men.   - Are you dry-lining?  - Yes. 50mm.  - We did 100. Attic insulation?   - Yes, going to do rock wool I think   - ☹️☹️☹️ we did the soft hair of a Himalayan goats rump     ☹️☹️ #GAAlastnight","","","#GAAlastnight","1177480007523827712","https://twitter.com/artboxhill/status/1177480007523827712","☹️ 👎 🌎 🤐 🤐"
"koresystem","2019-09-26 13:14","1","1","@KoreAndrew Kicking off our CPD with @StoLtd in Dublin today. Meeting and Exceeding #nZEB with KORE’s Expanded Polystyrene Insulation solutions, and STO’s External Wall Insulation Render. #togetherwithKOREpic.twitter.com/9fbI9e029O","","@KoreAndrew @StoLtd","#nZEB #togetherwithKOREpic","1177194672390909952","https://twitter.com/koresystem/status/1177194672390909952",""
"koresystem","2019-09-23 08:53","0","1","Join KORE’s southern sales representative Leon at @McMahonsBP Limerick this morning. Discover our suite of #insulation solutions that can help you exceed #nZEB. Leon’s there till 2pm, so make sure to drop by and say hello.pic.twitter.com/zS6CUTZSg6","","@McMahonsBP","#insulation #nZEB","1176042005178257413","https://twitter.com/koresystem/status/1176042005178257413",""
"koresystem","2019-09-14 10:13","1","1","Day 2 of @selfbuildire at Citywest, Dublin. We are at stand J5, ready to answer all your new build and retrofit insulation questions 🏡 #selfbuild #koreinsulationpic.twitter.com/fAn5OfNLod","","@selfbuildire","#selfbuild #koreinsulationpic","1172800627476488197","https://twitter.com/koresystem/status/1172800627476488197","🏡"
"koresystem","2019-09-13 14:22","1","5","We are here till 6pm this evening, and back from 10am-6pm all weekend. Drop by stand J5 and we can assist with any insualtion questions you may have. #insulation @selfbuildirepic.twitter.com/Td1S7RqDcL","","@selfbuildirepic","#insulation","1172500758144663553","https://twitter.com/koresystem/status/1172500758144663553",""
"koresystem","2019-09-11 13:28","3","4","Starting off today’s #cpd Roadshow is KORE’s Technical Development Manager @KoreAndrew. Discussing all things #nZEB and exceeding #partl with KORE’s Insulation solutions. #sligocpdpic.twitter.com/E4eg8dOAfl","","@KoreAndrew","#cpd #nZEB #partl #sligocpdpic","1171762533470023680","https://twitter.com/koresystem/status/1171762533470023680",""
"EdwardTreanor","2019-09-10 21:16","0","3","Perfect. Gonna started into fixing mine up next week 🤞🏻Just before the autumn cows calf🤞🏻Thinking about making a wooden box around mine and filling the cavity with insulation form to keep milk warm longer.","","","","1171517833051693059","https://twitter.com/EdwardTreanor/status/1171517833051693059","🤞🏻 👎🏼"
"QuinnSchoolUCD","2019-09-10 08:45","1","6","Did you know that our Irish grown green roof not only promote urban biodiversity but improves stormwater management by reducing rainwater runoff. It also reduces dust and air pollutants and provides heat insulation! 🐝 🐝 #Biodiversityhttps://twitter.com/summeratUCD/status/1171321416731582464 …","","","#Biodiversityhttps","1171328933826093057","https://twitter.com/QuinnSchoolUCD/status/1171328933826093057","🐝 🌱"
"EdwardTreanor","2019-09-05 10:28","0","0","Many of them boiler bird houses put insulation in the floors?","","","","1169542811940728832","https://twitter.com/EdwardTreanor/status/1169542811940728832",""
