"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"JessCaitReid","2019-09-24 09:48","1","8","No patience for the flood of #mantrums we will hear today, may they all be smothered slowly in a giant landfill and then incinerated in the dying flames of capitalism 🔥 https://twitter.com/Berlinnaeus/status/1176410913345327104 …","","","#mantrums","1176418088486653952","https://twitter.com/JessCaitReid/status/1176418088486653952","🔥"
"liamdobrien","2019-09-21 13:01","0","0","Well done @dublinmarathon. Great to see you working so hard to reduce landfill waste!! 👏👏👏","","@dublinmarathon","","1175379419743117313","https://twitter.com/liamdobrien/status/1175379419743117313","👏 👏 👏"
"Taraustralis","2019-09-20 15:08","2","11","Have you heard about Zuzana Čaputová? She’s Slovakia's first female President and knows #ClimateAction needs to happen. She also successfully closed a toxic landfill in her home town!     The world is gaining a bunch of new badasses every day and it’s awesome!     What a legend! 😎 https://twitter.com/ZuzanaCaputova/status/1174971037542309888 …pic.twitter.com/IyJUiCmhN2","","","#ClimateAction","1175049033003483136","https://twitter.com/Taraustralis/status/1175049033003483136","😎"
"rosietrouble","2019-09-19 19:54","0","1","They're win win win. Reduces landfill, better quality products, maybe even a profit for the charity","","","","1174758663833227264","https://twitter.com/rosietrouble/status/1174758663833227264",""
"mrstidytowns","2019-09-14 23:08","2","7","Great to see #Castleblayney #TidyTowns facilitating the likes of this. Why throw your crisp packets in the landfill bin when they can be recycled via @TerraCycle. #Reduce #Reuse #Recyclepic.twitter.com/REkcXHSuY0","","@TerraCycle","#Castleblayney #TidyTowns #Reduce #Reuse #Recyclepic","1172995561169047555","https://twitter.com/mrstidytowns/status/1172995561169047555",""
"CephalopodsRule","2019-09-13 14:17","1","8","""Promoted by H&M Ireland""    It's NOT guilt free of you don't address the very overconsumption your business model thrives on, its just green washing!    Clothes take up about 5% of all landfill space and the EU produces 5.8 Million tons of textiles every year!    It's simple: buy less https://twitter.com/ELLEUK/status/1172087458042744832 …","","","","1172499515275960320","https://twitter.com/CephalopodsRule/status/1172499515275960320",""
"JustineKinirons","2019-09-01 17:05","1","4","11 million items of clothing go to landfill every week. I’ve pledged to say no to new clothes for 30 days. You can too. Join #SecondHandSeptemberhttps://www.oxfamapps.org.uk/secondhandseptember/ …","","","#SecondHandSeptemberhttps","1168193268573773830","https://twitter.com/JustineKinirons/status/1168193268573773830",""
"genemurphy","2019-08-28 18:59","0","4","First up tonight and smelling fresh at #accentureLOT is #JustOne the refillable chemical free deodorant company pitching this evening. No more landfill for your old deodorant containers 🙌 pic.twitter.com/tWblVpA8hI","","","#accentureLOT #JustOne","1166772257731088386","https://twitter.com/genemurphy/status/1166772257731088386","🙌"
"ainesexyton","2019-08-28 18:38","8","82","Literally buy a roll of plastic bags for €1.50 in tesco!!you can put your wet/nasty clothes in them and not have your campsite looking like a landfill!! https://twitter.com/niamhworkman/status/1165981012817580032 …","","","","1166766992629620737","https://twitter.com/ainesexyton/status/1166766992629620737",""
"themadgiraffe80","2019-08-25 12:31","3","11","Fifa games should go the way of Atari E.T..nice little landfill","","","","1165587510862499845","https://twitter.com/themadgiraffe80/status/1165587510862499845",""
"2013_Sylvius","2019-08-17 11:25","0","0","The problem with plastic straws is that even if recyclable they usually aren’t recycled & end up in landfill and from there watercourses the sea etc where they last for years. Paper straws are biodegradable and rot away. Alternatively, try drinking from the glass like grown-ups.","","","","1162671740050378753","https://twitter.com/2013_Sylvius/status/1162671740050378753",""
"TweetsbySimone","2019-08-17 08:10","0","1","Same with the one person restaurant portions that feed three with no relevance to price. But the deep discomfort felt it you didn’t get more than you need. John Oliver is good on food grown for landfill - https://youtu.be/i8xwLWb0lLY ","","","","1162622818950868992","https://twitter.com/TweetsbySimone/status/1162622818950868992",""
"GhostAnneBoleyn","2019-08-14 22:34","0","0","She has to endure THIS now, but it’s better than ending up in landfill. pic.twitter.com/T6veJqTSEW","","","","1161752941855985666","https://twitter.com/GhostAnneBoleyn/status/1161752941855985666",""
"GannetFish","2019-08-13 13:59","1","1","Order just sent away for Gannet’s next consignment of bio-compostable carrier bags... Seventy five thousands of them.... Seventy five thousands less plastic carrier bags will end in landfill. Would other small food… https://www.instagram.com/p/B1GuMwjIG7A/?igshid=1hujzv0znbq5o …","","","","1161260960989925376","https://twitter.com/GannetFish/status/1161260960989925376",""
"gardenngather","2019-08-09 07:16","0","4","Love the colours. As over 50% of clothes bought end up in landfill this is a great example to set","","","","1159709986500567040","https://twitter.com/gardenngather/status/1159709986500567040",""
"MHMcGeehan","2019-08-07 20:06","6","52","I’m so proud to be part of a food program that NEVER used plastic bottles of water; with over 3 years making our own drinks such as lemonades, colas, kombucha & many more, we’ve saved hundreds of thousands of #plasticbottles from going into landfill!   #plasticwaste #plasticfreepic.twitter.com/v3npTHSG0m","","","#plasticbottles #plasticwaste #plasticfreepic","1159178926650003460","https://twitter.com/MHMcGeehan/status/1159178926650003460",""
