"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"davydublin47","2019-09-24 19:52","0","1","Her speech hasn't aged well. It was 27 years ago and she was terrified for the future of the planet. She also said she was afraid to go out in the Sun because of the hole in ozone layer. She said animals are going extinct every day. (What animal has gone extinct in that time)","","","","1176570063853371393","https://twitter.com/davydublin47/status/1176570063853371393",""
"ChelseaBuckley_","2019-09-24 00:48","0","5","Lying here can’t sleep thinking did hitler damage our ozone layer with all the gas chambers from the concentration camps","","","","1176282304915877888","https://twitter.com/ChelseaBuckley_/status/1176282304915877888",""
"yascaoimhin","2019-08-31 11:35","0","0","Do you believe were able to measure the hole in the Ozone layer?    Do you believe that by eliminating CFCs from aerosols, we allowed the hole to begin shrinking?","","","","1167747831656067074","https://twitter.com/yascaoimhin/status/1167747831656067074",""
"Atilathehun3","2019-08-10 17:28","0","0","By coincidence I was talking about this to my son, he think the same as you, but I think if we keep trying, for example we managed to control the ozone layer hole, surely we can control this to a manageable level?","","","","1160226350353002496","https://twitter.com/Atilathehun3/status/1160226350353002496",""
"Craig5thFloor","2019-08-03 13:02","0","20","Even seen some lunatic complaining that the pyro at Arcadia is putting a hole in the ozone layer. The sad thing about this is 99% of it wouldn't be posted if there was no traffic issues. The festival made a bollocks of that - move on and, don't try and turn this into a witchhunt.","","","","1157622838645403650","https://twitter.com/Craig5thFloor/status/1157622838645403650",""
"Daniela6114","2019-07-26 19:10","0","2","Yes  my frend..I know  the ozone layer is so thin..And we will have a hot summer.  And  we' ll be relaxing  on the weekend   We   deserve to  escape pic.twitter.com/tAAL44ACeS","","","","1154816254932324353","https://twitter.com/Daniela6114/status/1154816254932324353",""
"_sarah_dowd_","2019-07-21 23:11","1","1","Everyone: giving out about climate change and the ozone layer deteriorating   The sun: https://twitter.com/CaucasianJames/status/1153008923772936192 …","","","","1153064877965172744","https://twitter.com/_sarah_dowd_/status/1153064877965172744",""
"JohannaDeVere","2019-06-26 18:13","0","0","Save Earth’s Ozone Layer From Gas Emissions in China https://forcechange.com/535899/stop-obliterating-earths-ozone-shield-with-highly-corrosive-gas/ …","","","","1143930358339162113","https://twitter.com/JohannaDeVere/status/1143930358339162113",""
"warrensheehan1","2019-06-14 19:22","0","0","Please do not mock people's hair Ricky as you may offend someone.....and do not even start me on the Ozone Layer😁","","","","1139598921448271874","https://twitter.com/warrensheehan1/status/1139598921448271874","😁"
"kindazo","2019-06-11 23:17","42","196","ever wonder why there’s a hole in the ozone layer?  pic.twitter.com/3kbPK4uEQb","","","","1138570875689676800","https://twitter.com/kindazo/status/1138570875689676800",""
"MadaTrah","2019-06-06 13:52","0","0","Remember that show preppers, where lads would build a bunker and prepare for a cataclysmic event?     And you'd laugh at their craziness?    I ask as I wonder how much recycling I can do to fix the ozone layer.","","","","1136616951416070144","https://twitter.com/MadaTrah/status/1136616951416070144",""
"boggywood","2019-06-01 12:04","0","1","2/ Horror of the 1980s - (this followed 'the new ice age' of the 1970s & evil acid rain . . .) - My hairspray was personally responsible for the hole in the ozone layer, we were all told this day after day & we were all going to did early deaths because of it. Much later it was pic.twitter.com/NRkK0gfLIH","","","","1134777675959193600","https://twitter.com/boggywood/status/1134777675959193600",""
"boggywood","2019-06-01 11:59","1","1","One would have to be fiercely, scientifically skeptical about any claims made from the UN, unfortunately.Thwy have a shocking record of Junk science & falsifying data. In respect to the ozone layer(s) you bring up, it is a fascinating area! - but I recall very well the ozone","","","","1134776456326909952","https://twitter.com/boggywood/status/1134776456326909952",""
"JohnSodeau","2019-05-30 21:06","0","1","Here’s a bit more detail on Davy and laughing gas and farmers and depletion of the ozone layer. https://johnsodeau.svbtle.com/how-agriculture-can-clean-up-its-air …","","","","1134189361757597699","https://twitter.com/JohnSodeau/status/1134189361757597699",""
"OisinCoghlan","2019-05-26 19:50","0","2","You’re clearly trolling but I’ll indulge you. The 1986 Montreal Protocol phased out the CFCs damaging the Ozone Layer & the hole is slowly closing.   Taxes change the relative prices of things & people generally buy more of things that are cheaper and less of more expensive things","","","","1132720801462067202","https://twitter.com/OisinCoghlan/status/1132720801462067202",""
"johntruman9","2019-05-06 13:04","1","1","Be careful now you could be accused of damaging the ozone layer with all those aerosols 😂","","","","1125370709922975744","https://twitter.com/johntruman9/status/1125370709922975744","😂"
"Skjk03","2019-04-21 21:59","0","2","If Cow farts are the #1 threat the ozone layer then old men drinking Guinness is definitely #2 🤦🏻‍♂️🤦🏻‍♂️","","","#1 #2","1120069479118114819","https://twitter.com/Skjk03/status/1120069479118114819","🤦🏻‍♂️ 🤢"
"boggywood","2019-04-20 17:05","0","1","Well, my hairspray was totally responsible for the hole in the ozone layer in the 1980s.I still carry that guilt","","","","1119633140232916992","https://twitter.com/boggywood/status/1119633140232916992",""
"HangBlaa","2019-04-17 19:35","0","1","That’s another thing that’s gone out:  The annual hole in the Ozone layer.","","","","1118583899670577152","https://twitter.com/HangBlaa/status/1118583899670577152",""
"kedavra___","2019-04-17 14:09","0","2","I did learn though that the ozone layer is actually fixing itself, i literally thought we still had a gaping hole in the sky and everyone was jus like 🤷‍♀️","","","","1118501725072240640","https://twitter.com/kedavra___/status/1118501725072240640","🤷‍♀️"
"allovus","2019-04-12 10:02","0","0","Hence the damage to the ozone layer. Any animal fed #Farage will inevitably emit #noxiousfumes.","","","#Farage #noxiousfumes","1116627759248199680","https://twitter.com/allovus/status/1116627759248199680",""
"tradheart","2019-04-05 00:01","0","1","Scott Brown is responsible for the rapid acceleration of global warning.....the shite spilling out of 500 million fuming Huns is playing havoc with the ozone layer!","","","","1113939658373763077","https://twitter.com/tradheart/status/1113939658373763077",""
"Michelle_Byrne_","2019-03-29 07:09","0","7","During PE I demanded everyone stop using spray deodorants as we were burning a massive hole in the ozone layer and spoke to each person individually about alternatives. I was full sure the end was nigh.","","","","1111525674781683713","https://twitter.com/Michelle_Byrne_/status/1111525674781683713",""
"boggywood","2019-03-24 21:46","0","0","2/New ice age 1970s, acid rain & the hole in the ozone layer 1980s, global warming 1990 until the 2000s when it got embarrassing because there was no warming & the climate went on a pause or 'hiatus' for 17 yes - so then we got Climate change- which is in itself a nonsense becaus","","","","1109934523393941507","https://twitter.com/boggywood/status/1109934523393941507",""
