"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"Carolin32733009","2019-09-29 10:56","0","1","Ed and it starts with our home and when we work our doggies we should bring toilet paper to lift our dogs poo up instead of plastic bags that clog our sea water Why not bring back glass bottles for our milk delivery so we can recycle I use to love the glass  bottle milk 🎹🎹🎹🎹","","","","1178247244899708929","https://twitter.com/Carolin32733009/status/1178247244899708929","🎹 🎤 😀 🌺"
"dolanchap","2019-09-27 15:06","1","8","Listen you might be out here preaching reduce reuse recycle but my mam is about to RELUCTANTLY replace a hoover that she bought in 1996 because most of it still works, irish mams waste NOTHING","","","","1177585385884573702","https://twitter.com/dolanchap/status/1177585385884573702",""
"stpatscavangsc","2019-09-26 20:01","0","0","Links:    https://act.globalclimatestrike.net/event/globalclimatestrike_attend/24715 …  https://www.facebook.com/events/2281591315302172/?ti=cl …    Hashtags:    #fridaysforfuture #GreenSchools #ireland #school #environment #eco #climatechange #recycle #earth #climateaction #savetheplanet #cavan #climateaction #climatestrike #pollution #noplanetb #globalwarming","","","#fridaysforfuture #GreenSchools #ireland #school #environment #eco #climatechange #recycle #earth #climateaction #savetheplanet #cavan #climateaction #climatestrike #pollution #noplanetb #globalwarming","1177297223111061505","https://twitter.com/stpatscavangsc/status/1177297223111061505",""
"originalKL","2019-09-24 15:20","0","0","Cut down on plastic straws, avoid single use plastic bags as mch as i can &  recycle more items","","","","1176501748518805507","https://twitter.com/originalKL/status/1176501748518805507",""
"BrendanMcGrath8","2019-09-23 17:52","1","4","Well if we were able to put them in our municipal recycle bin we would, instead of having to trek into the nespresso shop in the city centre. Make the capsules properly recyclable","","","","1176177441620004865","https://twitter.com/BrendanMcGrath8/status/1176177441620004865",""
"OisinCoghlan","2019-09-22 13:25","0","2","The poll question also made no mention of the stated intention of all parties that they carbon tax revenue won’t go into the general exchequer. The debate is about how to recycle the revenue: a ring-fenced fund for the transition to zero carbon or an equal rebate to every person?","","","","1175747826250387456","https://twitter.com/OisinCoghlan/status/1175747826250387456",""
"brendamaynooth","2019-09-21 17:56","0","0","Priority should be : Reduce.  Then reuse.  Lastly recycle.  Too much plastic","","","","1175453729430093824","https://twitter.com/brendamaynooth/status/1175453729430093824",""
"Niallofcork","2019-09-21 13:37","0","3","Terrific option for those who want to recycle @bradleys_offlichttps://twitter.com/CorkBilly/status/1175328679179804672 …","","@bradleys_offlichttps","","1175388523198898177","https://twitter.com/Niallofcork/status/1175388523198898177",""
"NewElectricIRL","2019-09-20 23:32","0","2","fascinating update from @EvBmw 😎😎😎    #recycle #ElectricCarshttps://twitter.com/OpenInverter/status/1175166094006525957 …","","@EvBmw","#recycle #ElectricCarshttps","1175175867217121282","https://twitter.com/NewElectricIRL/status/1175175867217121282","😎 👍 👏"
"dLifeofStuff","2019-09-20 20:21","0","0","Oh I hear you. But I do believe that every little difference in a ‘normal’ persons daily life can help make an impact. I cut out fast fashion years ago, use LED lighting, recycle, reuse, upcycle. Grow some of my own food and go meat-free.","","","","1175127844445466626","https://twitter.com/dLifeofStuff/status/1175127844445466626",""
"BgiNNinGG","2019-09-20 19:11","0","1","That's what first produce them by spending lots, then dump them altogether and then employ poor people to pick them and segregate them. That's your employment.     The PET bottles would recycle only when firstly 90% goes into the correct bin properly.","","","","1175110157614886921","https://twitter.com/BgiNNinGG/status/1175110157614886921",""
"dLifeofStuff","2019-09-20 19:06","0","0","Now with littles of my own I’m paving the way for their understanding. Amongst other things in our daily lives we reuse, recycle, and upcycle. And  while on that ‘cycle’ note. This is our ‘second car’ #sustainableliving is the way forward ❤️pic.twitter.com/Ra0Yk3KjLA","","","#sustainableliving","1175109070447095810","https://twitter.com/dLifeofStuff/status/1175109070447095810","❤️"
"ImperialCork","2019-09-20 12:08","4","7","Thank you so much... we had quite a bit of work with @CorkZeroWaste to recycle and up cycle all of the furniture ! But it was worth it ! https://twitter.com/corkcitycentre/status/1174986956654206976 …","","@CorkZeroWaste","","1175003727276756993","https://twitter.com/ImperialCork/status/1175003727276756993",""
"JamesKavanagh_","2019-09-20 11:31","4","30","Recycling is easy, but there are some essential bits you need to be knowin’ in order to do it correctly. Join #RepakTeamGreen and see which plastics etc. you can recycle ♻️ https://repak.ie/teamgreen/  (ad)pic.twitter.com/PKM4a36Hqm","","","#RepakTeamGreen","1174994559681667073","https://twitter.com/JamesKavanagh_/status/1174994559681667073","♻️"
"NewElectricIRL","2019-09-19 08:56","3","3","Amazing what you can do with #opensource 😎😎😎    https://youtu.be/zcZvJIx1wQo   #EV #ElectricVehicle #ElectricCar #Recycle #upcycle #circulareconomy #ClimateAction","","","#opensource #EV #ElectricVehicle #ElectricCar #Recycle #upcycle #circulareconomy #ClimateAction","1174593035373600768","https://twitter.com/NewElectricIRL/status/1174593035373600768","😎 👍 👏"
