"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"phad32","2019-09-08 12:49","2","4","Please sign and RT. The @finegael reforestation plan is a farce. We need indigenous woodlands not quick turnover spruce. https://twitter.com/paulamkehoe/status/1170630413225779201 …","","@finegael","","1170665510402514946","https://twitter.com/phad32/status/1170665510402514946",""
"M_J_Lyons","2019-08-26 15:10","0","0","Ireland isn't exactly a shining example of reforestation but two wrongs don't make a right. The #Amazon burns. Some of us are critical but to others, a response to this is to say well, that's hypocrisy because the Irish haven't even got trees to burn. So there.🙄 #AmazonFires","","","#Amazon #AmazonFires","1165989824882515969","https://twitter.com/M_J_Lyons/status/1165989824882515969","🙄"
"VitaIreland","2019-07-24 00:35","0","1","Yes we have reforestation in Ethiopia &Eritrea. Vita’s reforestation progs are designed in harmony with our improved cookstove & clean water progs to deliver women & children from drudgery, create platforms for sustainable livelihoods, replenish the env. & reduce carbon emissions","","","","1153810820049952773","https://twitter.com/VitaIreland/status/1153810820049952773",""
"breffnilennon","2019-07-23 07:32","8","11","“What we do over the next 10 years will determine the future of humanity for the next 10,000 years.” Whatever else, massive reforestation (with proper thought given maximising biodiversity) should be the top priority.  https://e360.yale.edu/features/geoengineer-the-planet-more-scientists-now-say-it-must-be-an-option …","","","","1153553497738158080","https://twitter.com/breffnilennon/status/1153553497738158080",""
"maerkelig","2019-07-12 07:25","0","0","#reforestation to avert #climatebreakdown https://www.weforum.org/agenda/2019/07/reforest-an-area-the-size-of-the-us-to-help-avert-climate-breakdown/ … via @wef","","@wef","#reforestation #climatebreakdown","1149565536084213760","https://twitter.com/maerkelig/status/1149565536084213760",""
"shaunoconnor1","2019-07-05 19:52","0","3","'Many of the reforestation areas are currently grazed by livestock including, for example, large parts of Ireland...Without freeing up the billions of hectares we use to produce meat and milk, this ambition is not realisable.' #climatechangehttps://www.theguardian.com/environment/2019/jul/04/planting-billions-trees-best-tackle-climate-crisis-scientists-canopy-emissions …","","","#climatechangehttps","1147216573729509377","https://twitter.com/shaunoconnor1/status/1147216573729509377",""
"iPerrySimpson","2019-06-10 18:31","0","2","Gets my vote - I have, so far, 10 trees to plant out. These were free seeding sampling’s that I will plant our as part of my contribution to reforestation our planet.","","","","1138136682027466752","https://twitter.com/iPerrySimpson/status/1138136682027466752",""
"Munster_Tom","2019-06-08 11:15","1","1","There we must disagree ... I will never consider Kilkenny a city. It's a town at best, but I think it's an ideal location for reforestation or maybe a nice lake.","","","","1137302217659207680","https://twitter.com/Munster_Tom/status/1137302217659207680",""
"D9Herbs","2019-04-28 08:58","1","4","Mass reforestation can heal the planet, if we also stop damaging it. Chemical antibiotic intensive farming both animal & plant have 2stop. I agree with @nickykylegarden views on processed foods, & views on reducing meat consumption particularly after reading this #ecocidepic.twitter.com/TXx5X91KFg","","@nickykylegarden","#ecocidepic","1122409661720739840","https://twitter.com/D9Herbs/status/1122409661720739840",""
"MoetenaDesign","2019-04-02 11:56","0","0","It’s National Tree Week here in Ireland, but it’s always Tree week at Moetena because for every product you purchase online we donate a tree to reforestation projects around the… https://www.instagram.com/moetena/p/BvwCZBcHtap/?utm_source=ig_twitter_share&igshid=1bspct13dpkml …","","","","1113032411124826112","https://twitter.com/MoetenaDesign/status/1113032411124826112",""
"iClax","2019-03-23 19:10","0","0","Native tree planting #reforestation #nativetrees #environment #climatechange #flora #fauna #ecofriendly @ Moy hill community farm https://www.instagram.com/p/BvXLCienWwzwhWBpPFm7Vp_OmwvNmBZJymnD900/?utm_source=ig_twitter_share&igshid=7sg5mjov2e9j …","","@","#reforestation #nativetrees #environment #climatechange #flora #fauna #ecofriendly","1109532971793567744","https://twitter.com/iClax/status/1109532971793567744",""
