"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"olivergburke","2019-09-30 21:14","0","1","""Converting 1% land to renewable energy can provide EU's electricity consumption"" #JRC  Offshore wind offers vast potential, especially when floating turbines included. Expanding to water depth 1000m, top-5 countries are UK, Ireland, France, Sweden, Spain.  https://europa.eu/!fM83Ww pic.twitter.com/E9JUoUBvZN","","","#JRC","1178764982831517702","https://twitter.com/olivergburke/status/1178764982831517702",""
"reidjan","2019-09-30 11:01","2","3","Irish Minister Richard Bruton talking about commitments and trajectory to renewable energy and first RES auction for offshore at Q1 2020 #OEE2019 @OceanEnergyEUpic.twitter.com/nnH6hNVNPT","","@OceanEnergyEUpic","#OEE2019","1178610741412323328","https://twitter.com/reidjan/status/1178610741412323328",""
"mojonaut","2019-09-24 08:02","0","2","...renewable energy now. All that tells me is that the industry behind traditional fossil fuels is worried. They know their days are numbered. Gullible people can still be manipulated for a big push for revenue. Then the companies pivot.","","","","1176391463657201664","https://twitter.com/mojonaut/status/1176391463657201664",""
"DubLoony","2019-09-23 14:00","0","3","Increased use of bicycles - no emissions, fewer road fatalities, reduced obesity rate, better health, fewer car imports, massive reduction on fuel imports.   Renewable energy - replace coal, oil & gas imports with wind, solar, wave, hydroelectric power.   Solid economic case for.","","","","1176119030098403329","https://twitter.com/DubLoony/status/1176119030098403329",""
"TweetEco","2019-09-20 18:55","4","3","On the day of the #climatestrike Germany reveals €54 billion climate package! #renewableenergy #climatechange #climatebreakdown #thinkglobalactlocal #actnowhttps://www.ft.com/content/26e8d1e0-dbb3-11e9-8f9b-77216ebe1f17 …","","","#climatestrike #renewableenergy #climatechange #climatebreakdown #thinkglobalactlocal #actnowhttps","1175106152658608128","https://twitter.com/TweetEco/status/1175106152658608128",""
"DylanCarrig","2019-09-19 23:17","0","3","Carbon tax needs to be ringfenced for the further development of public transport and renewable energy,  #TonightVMTV","","","#TonightVMTV","1174809767010869249","https://twitter.com/DylanCarrig/status/1174809767010869249",""
"misskate_xo","2019-09-18 20:28","0","0","Had to decide earlier but ended up picking energia because it was the cheapest and 100% renewable energy! Thank you tho!","","","","1174404974090100737","https://twitter.com/misskate_xo/status/1174404974090100737",""
"CCEM_Group","2019-09-17 11:17","2","10","Check our latest work in collaboration with great scientists from @Stanford @SLAClab and @DTUtweet! It demonstrates selective CO2 to CO conversion on ceria-based electrodes well beyond the thermodynamic C-deposition threshold! #energy #energystorage #co2emissions #RenewableEnergy https://twitter.com/MGarcia_Melchor/status/1173900203423936512 …","","@Stanford @SLAClab @DTUtweet","#energy #energystorage #co2emissions #RenewableEnergy","1173903687976214528","https://twitter.com/CCEM_Group/status/1173903687976214528",""
"DubLoony","2019-09-12 12:18","0","2","Another reason to have rapid, significant investment in renewable energy generation of wind, wave & solar. #Brexit #climatechangehttps://twitter.com/Brexit/status/1172083198551035906 …","","","#Brexit #climatechangehttps","1172107222270300161","https://twitter.com/DubLoony/status/1172107222270300161",""
"kfmradio","2019-09-11 22:41","0","2","Tomorrow’s #KildareToday,  @IWEA no renewable energy on national grid for next 2 years.  @loreillysf new national maternity hosp.   @PMVTrust pre-budget submission.  Beef dispute update with @potooleifj.  @SAFEIreland Garda training for domestic violence cases.  Tune in from 9!pic.twitter.com/6f0emAtbYb","","@IWEA @loreillysf @PMVTrust @potooleifj @SAFEIreland","#KildareToday","1171901483144679431","https://twitter.com/kfmradio/status/1171901483144679431",""
"philkearney","2019-09-10 14:08","1","3","If the world isn’t careful, renewable energy could become as destructive as fossil fuels. https://foreignpolicy.com/2019/09/06/the-path-to-clean-energy-will-be-very-dirty-climate-change-renewables/ …","","","","1171410241197658112","https://twitter.com/philkearney/status/1171410241197658112",""
"tierneykevin1","2019-09-06 10:05","1","2","&Gas & Whisky& renewable energy & food &Water &  space tech & Game tech & tourism & a lot more besides eh","","","","1169899517807742977","https://twitter.com/tierneykevin1/status/1169899517807742977",""
