"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"CorkEnvForum","2019-09-30 21:42","3","6","Delighted to showcase preloved and vintage fashion at the Glitz & Glamour Reuse Month Fashion Show on 11th October 5.30pm - 7.30pm @StPetersCork with @preventwaste & @corkcitycouncil. Clothing has a huge water, energy and pollution footprint -slow your impulse for fast fashion. https://twitter.com/CAugustenborg/status/1178654557313884160 …pic.twitter.com/63oyPKkFuY","","@StPetersCork @preventwaste @corkcitycouncil","","1178772038351278086","https://twitter.com/CorkEnvForum/status/1178772038351278086",""
"ecoanniepooh","2019-09-29 17:31","0","1","Thanks Sligo for having me!! Great day had at #pregnancyandwellnessday I even had a couple of cloth Nappy converts!!! Next stop Limerick on 2 weeks!! #limerick #sligo #makeclothmainstream #reuse #zerowaste… https://www.instagram.com/p/B3AHyoanrAb/?igshid=y0dfhnp3de2f …","","","#pregnancyandwellnessday #limerick #sligo #makeclothmainstream #reuse #zerowaste","1178346462880653312","https://twitter.com/ecoanniepooh/status/1178346462880653312",""
"liamdunne","2019-09-29 13:52","0","1","You know you can reuse the filters more than twenty times or more? I didn’t at first, then I read an article with the inventor where he said that was part of the original design, and it BLEW MY MIND. Also, saved me loads on buying fresh filters.","","","","1178291361596022784","https://twitter.com/liamdunne/status/1178291361596022784",""
"ecoanniepooh","2019-09-29 11:48","0","1","All set up in Sligo!!! sligoparkhotel @sligotourism @KianEganWL #reuse #zerowaste #sligo #pregnancyandfamilywellnessday @ Sligo Park Hotel https://www.instagram.com/p/B2_gl3MH8JM/?igshid=1bsq2w1hw30f4 …","","@sligotourism @KianEganWL @","#reuse #zerowaste #sligo #pregnancyandfamilywellnessday","1178260266183790598","https://twitter.com/ecoanniepooh/status/1178260266183790598",""
"dolanchap","2019-09-27 15:06","1","8","Listen you might be out here preaching reduce reuse recycle but my mam is about to RELUCTANTLY replace a hoover that she bought in 1996 because most of it still works, irish mams waste NOTHING","","","","1177585385884573702","https://twitter.com/dolanchap/status/1177585385884573702",""
"D3ckster2008","2019-09-25 18:53","0","1","Of anyone is local to me in #Ballymun and has old unwanted clothes please message me I'll collect. It all goes to people who will reuse at our weekly soup run at Dublins GPO 8pm Fridays .check http://tasnuva.ie  for more info.. I've 3 bags left I bring one a wk @tsfireland","","@tsfireland","#Ballymun","1176917565618249734","https://twitter.com/D3ckster2008/status/1176917565618249734",""
"chrissycurtin","2019-09-25 17:03","0","1","I’d read your contract. Sometimes it says they can use it on their site again for whatever purpose. If it’s the same article just republished again I think it’s ok for them to reuse. I think.  If your contract was one time first use then they probably should have paid you.","","","","1176890037256036353","https://twitter.com/chrissycurtin/status/1176890037256036353",""
"brendamaynooth","2019-09-21 17:56","0","0","Priority should be : Reduce.  Then reuse.  Lastly recycle.  Too much plastic","","","","1175453729430093824","https://twitter.com/brendamaynooth/status/1175453729430093824",""
"dLifeofStuff","2019-09-20 20:21","0","0","Oh I hear you. But I do believe that every little difference in a ‘normal’ persons daily life can help make an impact. I cut out fast fashion years ago, use LED lighting, recycle, reuse, upcycle. Grow some of my own food and go meat-free.","","","","1175127844445466626","https://twitter.com/dLifeofStuff/status/1175127844445466626",""
"dLifeofStuff","2019-09-20 19:06","0","0","Now with littles of my own I’m paving the way for their understanding. Amongst other things in our daily lives we reuse, recycle, and upcycle. And  while on that ‘cycle’ note. This is our ‘second car’ #sustainableliving is the way forward ❤️pic.twitter.com/Ra0Yk3KjLA","","","#sustainableliving","1175109070447095810","https://twitter.com/dLifeofStuff/status/1175109070447095810","❤️"
