"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"andyboconnell","2019-09-28 18:35","0","0","Your spot on and city planners are the greatest treat to that sustainable development of my area. The have given greedy developers cart blanche on Student accommodation...the transient tenements of the future. https://twitter.com/RobCross247/status/1177676545571393540 …","","","","1178000279830183936","https://twitter.com/andyboconnell/status/1178000279830183936",""
"DLR_Chamber","2019-09-27 16:00","0","4","Chambers lead the way on Sustainable Development Goals. @DLRCommons @TalbotStill @royalmarine @ToyotaSandyford @RBKACC @OsborneRecruits @tboDublinSouth @CompDoors @AIBIreland @AirfieldEstatepic.twitter.com/POfmZ9H6Nr","","@DLRCommons @TalbotStill @royalmarine @ToyotaSandyford @RBKACC @OsborneRecruits @tboDublinSouth @CompDoors @AIBIreland @AirfieldEstatepic","","1177598871108816901","https://twitter.com/DLR_Chamber/status/1177598871108816901",""
"IRISHINSAFIAN","2019-09-27 13:24","23","111","Side event co-chaired by Prime Minister @ImranKhanPTI and PM @chedetofficial Mahathir Mohammed at the @UN on ‘Environmental Stewardship in Addressing Poverty to Achieve  Sustainable Development for All’ #UNGA2019 #PMIKInUSApic.twitter.com/Gu9I9gQI2F","","@ImranKhanPTI @chedetofficial @UN","#UNGA2019 #PMIKInUSApic","1177559639690551298","https://twitter.com/IRISHINSAFIAN/status/1177559639690551298",""
"BEinIreland","2019-09-24 22:49","0","1","#Belgium calls for ambition in implementing all 17 Sustainable Development Goals #GlobalGoals! #SDGSummit2019 #2030Agendahttps://twitter.com/BelgiumMFA/status/1176597210819170306 …","","","#Belgium #GlobalGoals #SDGSummit2019 #2030Agendahttps","1176614628417245191","https://twitter.com/BEinIreland/status/1176614628417245191",""
"YWIMeath","2019-09-20 15:13","0","0","Well done to those secondary school students protesting the #globalclimatestrike @ywimeath supports climate action and young people #sustainabledevelopment #sdg's @ Navan https://www.instagram.com/p/B2os1rxCN8d/?igshid=wby8v2lr12i0 …","","@ywimeath @","#globalclimatestrike #sustainabledevelopment #sdg","1175050256687476736","https://twitter.com/YWIMeath/status/1175050256687476736",""
"TweetEco","2019-09-20 14:25","0","1","In Dublin with @EducateTogether. Innovative teaching methods,  education for sustainable development, restorative education, inclusion, student-centred ethos and leaving ‘teaching to the test' behind. #educationforsustainabledevelopment #educationpic.twitter.com/2eCfLe3T4f","","@EducateTogether","#educationforsustainabledevelopment #educationpic","1175038322730778625","https://twitter.com/TweetEco/status/1175038322730778625",""
"dfatirl","2019-09-18 15:03","10","37","Tánaiste Simon Coveney is at #Ploughing19 today discussing online passport renewals, Ireland’s place in the EU, the Sustainable Development Goals, and preparing for Brexit.     #GovVillage | #NPC2019pic.twitter.com/aM1rI2G4we","","","#Ploughing19 #GovVillage #NPC2019pic","1174323099828965376","https://twitter.com/dfatirl/status/1174323099828965376",""
"OrdnanceIreland","2019-09-18 13:07","0","3","Want to know more about Sustainable Development Goals and  how we can help? Katie is on hand to give you some information at our stand #GovPloughing19 #GovVillage #OSi #SDGspic.twitter.com/3o5WA4Ius7","","","#GovPloughing19 #GovVillage #OSi #SDGspic","1174293768343826433","https://twitter.com/OrdnanceIreland/status/1174293768343826433",""
"dfatirl","2019-09-17 16:23","21","86","Minister Helen McEntee visited our #SDG space earlier here at #Ploughing2019 to explore the UN Sustainable Development Goals.     The #SDGs are 17 Goals to make our world a fairer, greener and more peaceful place by 2030.     #GovVillage | #NPC2019pic.twitter.com/UAKlyBonop","","","#SDG #Ploughing2019 #SDGs #GovVillage #NPC2019pic","1173980773457846273","https://twitter.com/dfatirl/status/1173980773457846273",""
"merrionstreet","2019-09-17 14:50","9","32","Keep an eye out for the Sustainable Development Goals across the #GovVillage at #Ploughing19. Visit all the exhibitors displaying a SDG card to collect all 17 SDG stickers. #SDGsIRL @Dept_CCAEpic.twitter.com/4plyvZ1kIl","","@Dept_CCAEpic","#GovVillage #Ploughing19 #SDGsIRL","1173957511176757249","https://twitter.com/merrionstreet/status/1173957511176757249",""
"DF_COS","2019-09-08 10:41","8","36","Thank you to @AmbRobinBarnett UK Ambassador to Ireland & Agnieszka for #Sustainability theme @BritEmbDublin Summer event this week. Normalizing progress in Sustainable Development Goals #SDGs, at individual, organization, state, & regional levels is essential for global security.pic.twitter.com/JChxyXgASL","","@AmbRobinBarnett @BritEmbDublin","#Sustainability #SDGs","1170633333883187200","https://twitter.com/DF_COS/status/1170633333883187200",""
"IRISHINSAFIAN","2019-09-06 01:35","1","12","@naeemul_haque Presiding over a meeting on Sustainable Development Goals @PTIofficialpic.twitter.com/sWTDAuZM9E","","@naeemul_haque @PTIofficialpic","","1169771104908566528","https://twitter.com/IRISHINSAFIAN/status/1169771104908566528",""
"orourke_darren","2019-09-04 18:46","0","1","Sorry, maybe I should’ve been more explicit (mea culpa). As far as I’m concerned if it doesn’t prioritise public transport and cycling then it’s not “sustainable development”. 👍","","","","1169305728504479744","https://twitter.com/orourke_darren/status/1169305728504479744","👍"
"MaryOShaughne16","2019-09-04 10:57","5","18","We’re looking forward to welcoming our @MSCActions @ActionRur ESRs to @UCC today for the first day of the @CUBSucc @BallyhouraDev PhD Autumn Skills Seminar on #SocEnt and #SustainableDevelopment #ruralpic.twitter.com/YWqMXqrOs2","","@MSCActions @ActionRur @UCC @CUBSucc @BallyhouraDev","#SocEnt #SustainableDevelopment #ruralpic","1169187702778019840","https://twitter.com/MaryOShaughne16/status/1169187702778019840",""
"IRISHINSAFIAN","2019-09-01 17:30","115","540","Deputy Speaker, National Assembly, @QasimKhanSuri on Sunday raised the Kashmir cause at Sustainable Development Goals, Summit and apprised the participants about the unconstitutional steps and atrocities being committed by Indian government on innocent people of IO J&K. #Kashmirpic.twitter.com/BXwj1Dyj3u","","@QasimKhanSuri","#Kashmirpic","1168199574726557697","https://twitter.com/IRISHINSAFIAN/status/1168199574726557697",""
"DaithiDoolan","2019-08-31 12:55","2","5","Hard at it! Campaigning for proper, sustainable development in Cherry Orchard. Demanding services, homes, schools & sports facilities @aosnodaigh @DublinSinnFeinpic.twitter.com/4tnFJOKtlR","","@aosnodaigh @DublinSinnFeinpic","","1167767895302168581","https://twitter.com/DaithiDoolan/status/1167767895302168581",""
"LiamLachs","2019-08-27 19:31","0","4","To young scientists, and those interested in sustainable development:    The science we produce doesn't stop after publication. We can take it the next step by communicating widely and through organisations like EMB who help translate it for policy makers to make real change!!","","","","1166417911940100097","https://twitter.com/LiamLachs/status/1166417911940100097",""
"anderskb_","2019-08-27 12:19","4","19","Well done @AtlanticAll @AllAtlanticO Youth Ambassadors for presenting creative and inspiring ideas to promote sustainable development and stewardship of the #AtlanticOcean   | #AtlanticAll #AtlanticYouth #oceanliteracy #SustainableOcean #sdg14pic.twitter.com/gG6ekV4by0","","@AtlanticAll @AllAtlanticO","#AtlanticOcean #AtlanticAll #AtlanticYouth #oceanliteracy #SustainableOcean #sdg14pic","1166309268338987008","https://twitter.com/anderskb_/status/1166309268338987008",""
"ei_LRogers","2019-08-22 12:33","9","18","Really insightful and inspiring morning listening to @EnactusTCD. Phenomenal work being done on social entrepreneurship projects to contribute to Sustainable Development Goals. Everyone @Entirl wishes you well in the @enactus #WorldCup in Silicon Valley ☘️pic.twitter.com/T2g2hMVgdp","","@EnactusTCD @Entirl @enactus","#WorldCup","1164500908790767616","https://twitter.com/ei_LRogers/status/1164500908790767616","☘️"
"da_sweetthin","2019-08-22 09:51","0","0","I desire sustainable development in this my life sha.","","","","1164460176130412545","https://twitter.com/da_sweetthin/status/1164460176130412545",""
"PEDeBauw","2019-08-12 19:26","1","5","Inspiration from #Belgium: challenging urban mobility schemes of the past is key to sustainable development and reducing CO2 emissions!  🇧🇪🇧🇪 Glad that Belgium and #Ireland join efforts in #ClimateAction within the #EU!  @Dept_CCAE @RichardbrutonTD @McMarghem https://twitter.com/BEinIreland/status/1160972078880829441 …pic.twitter.com/Q3QF6ld6F1","","@Dept_CCAE @RichardbrutonTD @McMarghem","#Belgium #Ireland #ClimateAction #EU","1160980967886139392","https://twitter.com/PEDeBauw/status/1160980967886139392","🇧🇪 🇮🇪"
"Franklya1","2019-07-31 13:15","0","2","Another reason to increase investment in the public transport sector in Ireland. These workers could meaningfully contribute to sustainable development & environment! “~1,500 jobs at risk at Ryanair as airline confirms cuts are unavoidable”  via @IrishTimeshttps://www.irishtimes.com/business/transport-and-tourism/up-to-1-500-jobs-at-risk-at-ryanair-as-airline-confirms-cuts-are-unavoidable-1.3972967 …","","@IrishTimeshttps","","1156538940855394304","https://twitter.com/Franklya1/status/1156538940855394304",""
