"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"DiddleyDMD","2019-09-30 22:27","0","0","Well done all👋👋Revealed: Glaslough, Co Monaghan wins this year's Tidy Towns competition    https://www.independent.ie/irish-news/news/revealed-glaslough-co-monaghan-wins-this-years-tidy-towns-competition-38547062.html …","","","","1178783557407387652","https://twitter.com/DiddleyDMD/status/1178783557407387652","👋 👋"
"Con_Keppel","2019-09-30 20:27","0","2","Glaslough for the Tidy Towns win.   Well deserved. How beautiful it is, along with Castle Leslie itself, was one of the reasons we married there","","","","1178753332862767104","https://twitter.com/Con_Keppel/status/1178753332862767104",""
"EglishNs","2019-09-30 20:27","3","11","Proud day!Thrilled to have won the Schools’ category of the National Tidy Towns Awards today in the Helix for outstanding outdoor work we do especially making our school bee 🐝 friendly. @PDSTPrimarySTEM @NCCAie @AshokaCMschools @Changemakers #outdoorlearning #wemakeadifferencepic.twitter.com/mCwZhMPQdG","","@PDSTPrimarySTEM @NCCAie @AshokaCMschools @Changemakers","#outdoorlearning #wemakeadifferencepic","1178753181716766721","https://twitter.com/EglishNs/status/1178753181716766721","🐝"
"VivianLambert59","2019-09-30 19:04","0","13","Many congratulations to Rosslare Tidy Towns on winning a silver medal this year, a fantastic result! 👏👏👏👏  #tidytowns19 #Rosslare","","","#tidytowns19 #Rosslare","1178732304442777600","https://twitter.com/VivianLambert59/status/1178732304442777600","👏 👏 😃 😃"
"sligoparkhotel","2019-09-30 18:44","2","5","Congrats to @SligoTidyTowns on their silver award for this year’s @SuperValuIRL Tidy Towns Competition, were delighted to work with the committee pic.twitter.com/3JdgKUoL9n","","@SligoTidyTowns @SuperValuIRL","","1178727325006999552","https://twitter.com/sligoparkhotel/status/1178727325006999552",""
"dLifeofStuff","2019-09-30 18:36","1","1","Well done @Carrickmacosscc - I hope this is rolled out nationwide. Big thumbs up for @MonaghanTourism too what with Glaslough winning Tidy Towns!   This is #mymonaghan  http://youtu.be/QYT1pLSg4LY https://twitter.com/rtenews/status/1178591717949415424 …","","@Carrickmacosscc @MonaghanTourism","#mymonaghan","1178725337515134982","https://twitter.com/dLifeofStuff/status/1178725337515134982",""
"ADoyleTD","2019-09-30 18:19","0","5","Well done to Co. Wicklow’s Tidy Towns Committees & volunteers for their commitment to making our county, towns & villages a better place to live, work and enjoy. Full results and reports are available   https://www.tidytown.ie  #lacken #Arklow @WicklowTownTeam #Wicklow #Aughrimpic.twitter.com/rdXtQdRY23","","@WicklowTownTeam","#lacken #Arklow #Wicklow #Aughrimpic","1178721132654014465","https://twitter.com/ADoyleTD/status/1178721132654014465",""
"MaryGMcG","2019-09-30 18:12","0","1","Well done Westport Tidy Towns & community https://twitter.com/radiomidwest/status/1178639188603871233 …","","","","1178719221515243522","https://twitter.com/MaryGMcG/status/1178719221515243522",""
"CoolmeenCranny","2019-09-30 17:07","0","0","We congratulate Cranny Tidy Towns group and the whole community on an excellent 2019 report. Cranny was awarded an additional 8 points this year.   The judges concluded ‘Evidence of your care and attention are abundant in your lovely village’    https://tidytowns.s3-eu-west-1.amazonaws.com/u_reports/2019/clare/2019-County-Clare-Cranny-65.pdf …","","","","1178702991009996800","https://twitter.com/CoolmeenCranny/status/1178702991009996800",""
"ClondegadParish","2019-09-30 16:58","1","7","Congratulations to Ballynacally Tidy Towns group and the whole community on an excellent result in the 2019 competition.  This year Ballynacally achieved an increase of 9 points compared to 2018.   Lots of positive observations and suggestions the report.    http://tidytowns.s3-eu-west-1.amazonaws.com/u_reports/2019 …","","","","1178700595450073089","https://twitter.com/ClondegadParish/status/1178700595450073089",""
"Edgillwhl","2019-09-30 16:53","2","4","Congratulations to everyone involved in the @TidyTownsIre   From the team @Mt_Briscoe   especially Pat and the team in #Geashill who have done amazing work here in #Offaly  #TidyTowns @offalycoco #visitoffalyhttps://twitter.com/offalycoco/status/1178679929891885056 …","","@TidyTownsIre @Mt_Briscoe @offalycoco","#Geashill #Offaly #TidyTowns #visitoffalyhttps","1178699373171167232","https://twitter.com/Edgillwhl/status/1178699373171167232",""
"MeathChambers","2019-09-30 16:16","2","6","🎉🎉 Thrilled to hear & see this news for #Trim. Tidy Towns is certainly a whole-of-community effort #supported by #business, #retailers, #community groups, sports clubs, residents association and many more #collaborating for mutual benefit. Congrats to all involved. #TeamMeathhttps://twitter.com/TrimTourismN/status/1044327059433115650 …","","","#Trim #supported #business #retailers #community #collaborating #TeamMeathhttps","1178690060721545216","https://twitter.com/MeathChambers/status/1178690060721545216","🎉 🎉"
