"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"gapireland","2019-09-27 15:50","1","7","A big thank you to @DubCityCouncil for awarding us 1st place for our Waste Management initiative during last night's award ceremony!  👏👏 We're delighted and well done to all involved!     #wastemanagement #community #awards #dublin #globalactionplan @DubCityEnviropic.twitter.com/SNwTqqkbIP","","@DubCityCouncil @DubCityEnviropic","#wastemanagement #community #awards #dublin #globalactionplan","1177596287883108353","https://twitter.com/gapireland/status/1177596287883108353","👏 😄"
"CatzStocker","2019-09-23 12:15","0","2","DCC having funding for homelessness services, cycle infrastructure, waste management etc is vital.","","","","1176092779761590274","https://twitter.com/CatzStocker/status/1176092779761590274",""
"boggywood","2019-09-20 16:41","0","0","Well, yes indeed I agree with you 100% Alternative energy makes perfect sense because we definitely will need it eventually anyway I'm all in about pollution & the glamorous waste management section to .But I think it is unforgivable to terrorize people like this ,about a","","","","1175072441510576128","https://twitter.com/boggywood/status/1175072441510576128",""
"eamonambrose","2019-08-31 09:59","0","0","As far as I know, according to the new waste management laws they just brought in it's not compulsory to have bins, provided you show proof of going to dump/recycling centres on a regular basis.","","","","1167723492726509568","https://twitter.com/eamonambrose/status/1167723492726509568",""
"briancarrickna1","2019-08-26 19:36","0","0","This is the way Fine Gael /Fianna Fáil operate in the interests of the Cartels ,the Waste Management Industry is the same ,they would have all the utilities in private ownership,to bleed you ,and then the non means tested Property Tax ,as for Labour their down the toilet https://twitter.com/unadunphy/status/1165967885350637568 …","","","","1166056954864766977","https://twitter.com/briancarrickna1/status/1166056954864766977",""
"daithidublin","2019-08-26 11:30","0","6","Delighted to be #goinggreen at work! Proper waste management is not only better for the planet but also frees up more resources allowing a better service ♻️ ♻️ @HSELive #ClimateChange #recycling #healthcare #nursing #environmentalawareness #reducewastepic.twitter.com/U8kDS3yALA","","@HSELive","#goinggreen #ClimateChange #recycling #healthcare #nursing #environmentalawareness #reducewastepic","1165934496232947712","https://twitter.com/daithidublin/status/1165934496232947712","♻️ 🏳️‍🌈"
"55Chrissyb","2019-08-24 14:33","0","8","Another hard day litter picking. water logged mattress super heavy removed from our beautiful river! #noexcuse #leavenotrace #lovewhereyoulive #litter #WasteManagement https://twitter.com/DodderMugs/status/1165255091953250304 …","","","#noexcuse #leavenotrace #lovewhereyoulive #litter #WasteManagement","1165255696092422145","https://twitter.com/55Chrissyb/status/1165255696092422145",""
"briancarrickna1","2019-08-19 20:38","0","0","A new Social Contract starting with a fair tax system where the  Multinationals pay their share based on EU norms,A ban on political donations from people not residing in the State .An end to the Cartels such as Waste Management ,Insurance ,Legal profession .more Social Housing https://twitter.com/DaireOCriodain/status/1163532331853983746 …","","","","1163535722017689602","https://twitter.com/briancarrickna1/status/1163535722017689602",""
"bodytonic","2019-08-08 10:56","1","2","Waste management eatyard wine & cheese festival, 4 bins types ( mainly) , please put the correct waste in the correct bins, we have ‘general’ ones too but we’re deliberately keeping them to a minimum so everyone… https://www.instagram.com/p/B05hRIdiHaM/?igshid=1rvrsqikbfdmd …","","","","1159402946653827073","https://twitter.com/bodytonic/status/1159402946653827073",""
"Wardy1916","2019-08-01 15:34","1","11","Sinn Féin at forefront of the campaign to return waste management to Council control. Fair play to @davidcullinane for acknowledging myself and also Dublin City Council in the article .    https://www.sinnfein.ie/contents/54533 ","","@davidcullinane","","1156936279566819329","https://twitter.com/Wardy1916/status/1156936279566819329",""
"monkeyfudge","2019-08-01 13:09","1","3","Some wonderful waste management from @keywaste1 staff here as they chuck their empty cans on the side of the road in my neighbourhood after finishing them.pic.twitter.com/LbWkaLrEj4","","@keywaste1","","1156899809716047873","https://twitter.com/monkeyfudge/status/1156899809716047873",""
"Wardy1916","2019-07-30 13:14","7","19","On Newstalk today Cllr Ward said,    ""The privatisation of domestic waste management services have failed the people of Dublin with poorer quality of service, increase costs, negative environmental impacts and increased illegal dumping""  @sinnfeinireland @SFClondalkin @sdublincocopic.twitter.com/oC4uwtQaWe","","@sinnfeinireland @SFClondalkin @sdublincocopic","","1156176322609201157","https://twitter.com/Wardy1916/status/1156176322609201157",""
"ProperFood_ie","2019-07-25 12:56","0","16","I'd be interested in finding out   - who their customer base is as it appears to be very expensive   - what's the environmental position in terms of single use plastic along with food waste management policy   - finally all about the food: provenance and seasonality.","","","","1154359865063747584","https://twitter.com/ProperFood_ie/status/1154359865063747584",""
"john003","2019-07-15 13:48","0","0","This is great idea especially for countries with no waste management......https://www.weforum.org/agenda/2018/06/90-of-plastic-polluting-our-oceans-comes-from-just-10-rivers/ …","","","","1150748888384622592","https://twitter.com/john003/status/1150748888384622592",""
"ShaneODonoghue","2019-07-10 08:33","0","1","Never said that there was a connection, Denis. Some have been comparing their swings alright, since Wolff did well at the Waste Management event, as an amateur.","","","","1148857860337668097","https://twitter.com/ShaneODonoghue/status/1148857860337668097",""
"Fubble365","2019-07-08 14:58","0","6","Barcelona have finally found an official waste management partner.","","","","1148229916099514368","https://twitter.com/Fubble365/status/1148229916099514368",""
"wouterpoortinga","2019-07-02 12:29","0","2","Really impressed with Workshop C trying to deal with the complexity of #CircularEconomy, #mining, material flows and #WasteManagement at the #RESTORESummerSchoolpic.twitter.com/Kpew57hNzG","","","#CircularEconomy #mining #WasteManagement #RESTORESummerSchoolpic","1146018069174726657","https://twitter.com/wouterpoortinga/status/1146018069174726657",""
