"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"ChambersIreland","2019-09-26 15:49","0","1","""90% of people back wind energy generation. Last year there were only 10 noisw complaints in Ireland, with a population of 40,000 people living within 2km of the wind farm - David Connolly @IWEA #powerthefuture","","@IWEA","#powerthefuture","1177233850084331520","https://twitter.com/ChambersIreland/status/1177233850084331520",""
"ChambersIreland","2019-09-26 15:49","0","0","""There's a gap in knowledge about the wind energy industry, we have had five projects start this year, as an  industry we can deliver the generation capacity"" -  David Connolly  @IWEA #powerthefuture","","@IWEA","#powerthefuture","1177233846049411072","https://twitter.com/ChambersIreland/status/1177233846049411072",""
"michaelquirk64","2019-09-13 18:57","0","2","If things stay as they are indicated.  Farmer involvement in this auction will be zero.  Community involved t in this auction zero.   Hope the changes needed come or the new technologies will go the way of of wind energy out of reach and out of acceptance","","","","1172569967360925696","https://twitter.com/michaelquirk64/status/1172569967360925696",""
"NoelCunniffeIE","2019-09-04 15:24","2","16","Delighted to attend the Lumcloon Energy turning the sod event this morning as construction on two new 100 MW storage plants gets underway in Co.Offaly - more #storage and other #flexibility service providers will be essential to supporting #windenergy in meeting 70% RES-E by 2030 pic.twitter.com/Y7JKXrqCMY","","","#storage #flexibility #windenergy","1169254826888314882","https://twitter.com/NoelCunniffeIE/status/1169254826888314882",""
"Oreilly1Peter","2019-08-20 15:41","0","0","The key thing is that it is powered by wind energy supplied by BoJo.","","","","1163823420871782402","https://twitter.com/Oreilly1Peter/status/1163823420871782402",""
"topgold","2019-08-16 16:26","0","0","More from an ignorant man who shouts at wind energy:   https://wapo.st/2OUkigZ pic.twitter.com/jmDsIwqo4c","","","","1162385095782744065","https://twitter.com/topgold/status/1162385095782744065",""
"valatad1","2019-07-19 14:28","0","1","Cisecure is #securingboundaries #pipelineireland #windenergy pic.twitter.com/wvo7Pkf8nU","","","#securingboundaries #pipelineireland #windenergy","1152208683734052865","https://twitter.com/valatad1/status/1152208683734052865",""
"eosfuturedesign","2019-07-08 08:33","0","1","Did you hear news today about Derrybrien and complete lack of SIA or remedies to destruction of environment  by state agency? Wind energy’s mostly rich elite investors has had a free ride in terms of its real environmental and social impacts for far too long.","","","","1148132902116503552","https://twitter.com/eosfuturedesign/status/1148132902116503552",""
"john003","2019-07-04 10:51","0","0","@TodaySOR Link for wind energy..In fairness today is calm day.... http://smartgriddashboard.eirgrid.com/#roi ","","@TodaySOR","#roi","1146718251721875456","https://twitter.com/john003/status/1146718251721875456",""
"BOGallachoir","2019-06-20 22:50","4","9","Very useful summary of offshore wind energy elements of @Dept_CCAE #ClimatePlan2019 from @davconnolly. @MaREIcentre @EirwindProjecthttps://twitter.com/IWEA/status/1141720936971943937 …","","@Dept_CCAE @davconnolly @MaREIcentre @EirwindProjecthttps","#ClimatePlan2019","1141825605933129732","https://twitter.com/BOGallachoir/status/1141825605933129732",""
