"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"AgriAware","2019-09-24 13:30","1","10","What a morning we’ve had with 3rd class from Gorey Central, our 2nd prize winners of #IncredibleEdibles     The pupils got to visit @CountryCrest wind turbine, cattle shed & antique tractors! They also received a talk all about bees and biodiversity!  🌱🌱🌱🌱🌱🌱 #FoodEducationpic.twitter.com/8gWhnuzOcE","","@CountryCrest","#IncredibleEdibles #FoodEducationpic","1176474060064268288","https://twitter.com/AgriAware/status/1176474060064268288","🌱 🍓 🥕 🥔 🚜 ♻️"
"AgriAware","2019-09-24 11:14","0","3","We’ve just arrived here at @CountryCrest for the second prize winners of #IncredibleEdibles; Gorey Central primary school’s VIP tour! 🥕🥕🥕    They will get to see the wind turbine onsite, as well as cattle and crops! 🥕  #foodeducation #farming #HealthyEatingpic.twitter.com/VVcvsJopWk","","@CountryCrest","#IncredibleEdibles #foodeducation #farming #HealthyEatingpic","1176439693396910080","https://twitter.com/AgriAware/status/1176439693396910080","🥕 🥔 🍓 🌱"
"LTovander","2019-09-17 09:30","0","0","How do you throw away a dead wind turbine? https://www.cfact.org/2019/09/16/how-do-you-throw-away-a-dead-wind-turbine/ …","","","","1173876880660979712","https://twitter.com/LTovander/status/1173876880660979712",""
"RJRW63","2019-08-29 17:59","0","0","Those are some neatly organised wind turbines and then they got bored and just started putting them anywhere 😂 #flying #windturbine @ On board Ryanair https://www.instagram.com/p/B1wWcy5hogY/?igshid=19a5rh5xwvkkw …","","@","#flying #windturbine","1167119699756425217","https://twitter.com/RJRW63/status/1167119699756425217","😂"
"LTovander","2019-08-22 10:41","0","0","Explaining Wind Turbine Lethality https://wattsupwiththat.com/2019/08/21/explaining-wind-turbine-lethality/ … via @WattsUpWithThat","","@WattsUpWithThat","","1164472751467442179","https://twitter.com/LTovander/status/1164472751467442179",""
"eosfuturedesign","2019-08-03 07:42","15","12","Paul Swift: Stop all wind turbine developments until ""infrasound"" health issues have been investigated - Sign the Petition! http://chng.it/rcXcPXzC  via @Change","","@Change","","1157542314430148608","https://twitter.com/eosfuturedesign/status/1157542314430148608",""
"FlamiRC","2019-06-20 09:48","0","1","Now at #WESC2019 >> A Battlefield EIA for Wind Energy, with Prof. Niels Erik Clausen from @DtuWind. Laura Tolnov Clausen is presenting ""A spatial perspective on public participation in Danish municipal Wind turbine planning."" #WindEnergy #socialacceptance #society #EERA_JPWindpic.twitter.com/HHEKu3rlzd","","@DtuWind","#WESC2019 #WindEnergy #socialacceptance #society #EERA_JPWindpic","1141629001578008576","https://twitter.com/FlamiRC/status/1141629001578008576",""
"Stephen1Sharpe","2019-05-18 20:12","0","0","High Fly, I'm down below     #wexford #beach #may #southeast #ireland #bass #fishing #coast #windturbine #windfarm #environmentallyconscious #greenpower #energy #dronestagram #dronephotography #dronepanorama #dronepic… https://www.instagram.com/p/BxnXytNIuUs/?igshid=sypyby0o2lyx …","","","#wexford #beach #may #southeast #ireland #bass #fishing #coast #windturbine #windfarm #environmentallyconscious #greenpower #energy #dronestagram #dronephotography #dronepanorama #dronepic","1129827228861247489","https://twitter.com/Stephen1Sharpe/status/1129827228861247489",""
"Stephen1Sharpe","2019-05-13 00:46","0","0","Ballywater Wind Farm, Wexford, DJI Spark, taken from 60 meters.   .  .  .  .  .  .  .    #wexford #southeast #windturbine #windfarm #environmentallyconscious #greenpower #energy #dronestagram #dronephotography #dronepanorama… https://www.instagram.com/p/BxYaYL5AUEn/?igshid=1nrboyistihb0 …","","","#wexford #southeast #windturbine #windfarm #environmentallyconscious #greenpower #energy #dronestagram #dronephotography #dronepanorama","1127721843161387008","https://twitter.com/Stephen1Sharpe/status/1127721843161387008",""
"parathumper","2019-05-10 20:21","0","3","Casualty retrieved from confined space in the @BordnaMona wind turbine head and winched externally to the ground for medical treatment by @AmbulanceNAS Edenderry crews. #multidisciplinary #interagencycooperation #teamwork #safetyfirst @SiemensGamesapic.twitter.com/NqP996WRIi","","@BordnaMona @AmbulanceNAS @SiemensGamesapic","#multidisciplinary #interagencycooperation #teamwork #safetyfirst","1126930285839507456","https://twitter.com/parathumper/status/1126930285839507456",""
