"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"kforfitz","2019-07-10 17:09","0","3","The pension abatement is a killer!","","","","1148987516105777152","https://twitter.com/kforfitz/status/1148987516105777152",""
"irish2witter","2019-06-19 00:10","0","1","From an accountant's perspective, flying should be considered as an investment rather than discretionary expenditure.  What's the carbon abatement potential return on your flights?  On many prob high.  On others, webex would be a lot higher! 😜","","","","1141121053567135744","https://twitter.com/irish2witter/status/1141121053567135744","😜"
"olivergburke","2019-06-04 12:34","0","0","EU audit questions environmental benefits of beef data scheme.(BDGP)  The scheme is one of a range of measures to address carbon neutrality in agriculture as part of a wider strategy on abatement, sequestration and displacement of energy sources.    https://www.independent.ie/business/farming/beef/eu-audit-questions-environmental-benefits-of-beef-data-scheme-38175863.html …pic.twitter.com/kEfpZXLVgo","","","","1135872524791767041","https://twitter.com/olivergburke/status/1135872524791767041",""
"ZoeHealy3","2019-09-30 12:14","0","0","1,180 premature deaths down to air pollution - EPA https://www.rte.ie/news/2019/0925/1077992-air-pollution-epa/ …","","","","1178629105933139968","https://twitter.com/ZoeHealy3/status/1178629105933139968",""
"ZoeHealy3","2019-09-29 20:41","0","2","Please can car adverts be forced to have health warnings about airpollution inside vehicles, weight gain/health impact from lack of exercise.","","","","1178394369105305601","https://twitter.com/ZoeHealy3/status/1178394369105305601",""
"oliver_moran","2019-09-28 19:16","4","14","Lovely afternoon meeting residents in Hazelwood Avenue and Hazelwood Court in Glanmire with a great team of @CorkGreens canvassers.    Transport infrastructure, housing, antisocial behaviour, and air pollution among the issues discussed. Thanks everyone who took the time to talk! pic.twitter.com/QFJTG28NbB","","@CorkGreens","","1178010530851753989","https://twitter.com/oliver_moran/status/1178010530851753989",""
"ProfCOConnor","2019-09-26 14:53","1","3","Air pollution monitoring & modelling research presnted by Dr Jose Manzano. @FSEH_TUDublin @WeAreTUDublin #wehdpic.twitter.com/Ib3frP4Ltn","","@FSEH_TUDublin @WeAreTUDublin","#wehdpic","1177219637114789888","https://twitter.com/ProfCOConnor/status/1177219637114789888",""
"Pairsonnalites","2019-09-26 07:56","1","0","Stigmabase —  Over 1000 Irish people die every year due to air pollution, shocking report reveals: The Asthma Society of Ireland have called on members of the government to introduce a ban on smoky coal as the first step towards a cleaner country. View… http://dlvr.it/RDwLyT ","","","","1177114600006770689","https://twitter.com/Pairsonnalites/status/1177114600006770689",""
"pairsonnalitesN","2019-09-26 06:00","1","0","IE | Desk — Over 1000 Irish people die every year due to air pollution, shocking report reveals: The Asthma Society of Ireland have called on members of the government to introduce a ban on smoky coal as the first step towards a cleaner country. View… http://dlvr.it/RDw3Lj ","","","","1177085539024982016","https://twitter.com/pairsonnalitesN/status/1177085539024982016",""
"bamacgabhann","2019-09-22 11:41","0","1","The air pollution one involves people actually getting involved in citizen monitoring - at whatever level they choose. Some will have monitors, others will contribute to design, ranging from artistic design to writing code or building electronics.","","","","1175721840519593985","https://twitter.com/bamacgabhann/status/1175721840519593985",""
"bamacgabhann","2019-09-21 22:25","0","2","Seconding what @stephenkinsella and @moranjohna1 said. Anne, I'm involved with two parts of the project, one on air pollution, and one on transport, and there's public engagement built into both. I think this project can be a real positive for Limerick.","","@stephenkinsella @moranjohna1","","1175521489296265216","https://twitter.com/bamacgabhann/status/1175521489296265216",""
"eyre_mella","2019-09-20 17:05","4","5","Experts warn that Ireland is heading for '#climatechange apocalypse' by 2050.   In March the UN warned that millions of people will die before their time due to water and air pollution by 2050.  #ClimateCrisis #ClimateEmergency  #ClimateAction #ClimateStrike https://www.irishmirror.ie/news/irish-news/experts-warn-ireland-heading-climate-20063867 …pic.twitter.com/ywGWFJStQ0","","","#climatechange #ClimateCrisis #ClimateEmergency #ClimateAction #ClimateStrike","1175078433472372738","https://twitter.com/eyre_mella/status/1175078433472372738",""
"wrdcsc","2019-09-18 19:44","5","27","If it takes air pollution to get some to consider the rights of unborn babies, and for The Guardian to use the natural and appropriate phrase “unborn babies,” that’s just fine. Laudato si! pic.twitter.com/JIl9urYbVl","","","","1174393697452089344","https://twitter.com/wrdcsc/status/1174393697452089344",""
"f_pilla","2019-09-18 16:49","7","22","Very proud of my @iSCAPEproject taking part to the @EU_H2020 #ScienceisWonderful and showing how we can reduce air pollution and climate change impacts in cities. @DublinCARO @smartdublin @EPAIreland @ucddublin @connect_ie @LeroNews @biobeacon @SmartDocklandshttps://twitter.com/EU_H2020/status/1174347517217136641 …","","@iSCAPEproject @EU_H2020 @DublinCARO @smartdublin @EPAIreland @ucddublin @connect_ie @LeroNews @biobeacon @SmartDocklandshttps","#ScienceisWonderful","1174349681868120064","https://twitter.com/f_pilla/status/1174349681868120064",""
