"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"cormacDublin","2019-09-30 23:49","0","0","@ClaireByrneLive good show slightly  irresponsible promoting a Vegetable fueled car tonight! despite your claims tonight it is not pollution free! Still goes into local environment @AsthmaIreland    1 - 8 people in Ireland suffer from respiratory problemshttp://www.irishtimes.com/news/health/call-for-taskforce-to-deal-with-rising-tide-of-lung-disease-1.3735618 …","","@ClaireByrneLive @AsthmaIreland","","1178804004073201664","https://twitter.com/cormacDublin/status/1178804004073201664",""
"CorkEnvForum","2019-09-30 20:32","0","2","Well done to @CobhTidy & @cobhzerowaste well deserved great effort and interest in broader environment @Corkcoco @CorkCountyPPNhttps://twitter.com/CobhTidy/status/1178636275575934977 …","","@CobhTidy @cobhzerowaste @Corkcoco @CorkCountyPPNhttps","","1178754410803073024","https://twitter.com/CorkEnvForum/status/1178754410803073024",""
"Koberah","2019-09-30 15:10","0","1","Except in a democracy are politicians not elected to serve the entire community rather than defend the interests, or even the percieved interests, of one group. Are politicians not supposed to defend the interests of everyone, and the environment and all living things too. https://twitter.com/richardtgarland/status/1178610978533117953 …","","","","1178673535750987781","https://twitter.com/Koberah/status/1178673535750987781",""
"boggywood","2019-09-30 15:04","0","0","I honestly don't know  There is a mountain of environmental studies on the effects of these things to wildlife & the environment from all over the world, yet it is ignored .","","","","1178671962119389184","https://twitter.com/boggywood/status/1178671962119389184",""
"boggywood","2019-09-30 14:47","0","0","Amazing how those who profess to love the environment always manage to do such damage to it","","","","1178667707841024000","https://twitter.com/boggywood/status/1178667707841024000",""
"ttbandon","2019-09-30 10:23","0","2","This measure would make such a difference to our environment and cost nothing.   @mrstidytownshttps://twitter.com/jkellybandon/status/1178600671379107842 …","","@mrstidytownshttps","","1178601312080007168","https://twitter.com/ttbandon/status/1178601312080007168",""
"denomeara","2019-09-30 09:22","1","10","After reading the utter climate drivel published by the @IrishTimes and the @Independent_ie over the weekend,  @saoirse_mchugh's piece in @thejournal_ie on community led changes and improvements to the environment, is nothing short of a breath of a fresh air! https://twitter.com/Irishwildlife/status/1178406299614220289 …","","@IrishTimes @Independent_ie @saoirse_mchugh @thejournal_ie","","1178585912424439808","https://twitter.com/denomeara/status/1178585912424439808",""
"BridgetGoulding","2019-09-30 06:39","0","0","Great idea and good for the environment","","","","1178544885286277121","https://twitter.com/BridgetGoulding/status/1178544885286277121",""
"DaltonCian","2019-09-29 19:52","0","5","Just let a trapped fly out of one of the pick n mix cases, doing my bit for the environment, peace and love folks, don’t eat sweets here     @ the cinema","","@","","1178382172497088513","https://twitter.com/DaltonCian/status/1178382172497088513",""
"GardenCityShane","2019-09-29 15:45","1","4","Please RT above.    Parklet are a brilliant way to trial greening across the city. Significant % having the potentially to remain permanent based on trial results.    Win-win for residents, shoppers, businesses, the environment and @corkcitycentre @corkcitycouncil.","","@corkcitycentre @corkcitycouncil","","1178319789305020416","https://twitter.com/GardenCityShane/status/1178319789305020416",""
