"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"KickAssCantona2","2019-10-01 00:59","0","1","He’s brilliant but I don’t know what it is but I find Richard strangely hilarious 🤣🤣 he’s a weirdo as well but a funny one 🤣🤣","","","","1178821694426882051","https://twitter.com/KickAssCantona2/status/1178821694426882051","🤣 🤦‍♂️ 🤣 🤦‍♂️"
"AkwyZ","2019-10-01 00:59","1","2","Check @debraruh podcast Human Potential at Work     https://podcasts.apple.com/ie/podcast/human-potential-at-work/id1110960287?i=1000421535789 …  #InternationalPodcastDay","","@debraruh","#InternationalPodcastDay","1178821690501079045","https://twitter.com/AkwyZ/status/1178821690501079045",""
"bene_labraune","2019-10-01 00:59","0","0","That’s not enough .. he needs a good whooping","","","","1178821681244180480","https://twitter.com/bene_labraune/status/1178821681244180480",""
"inztantcrush","2019-10-01 00:58","2","15","ok guys im really stressed out it just hit me that in ratatouille your man linguini doesn’t know that the rats name is remy??? he just knows him as little chef and he will NEVER learn his real name holy shit im going to cry","","","","1178821552399437824","https://twitter.com/inztantcrush/status/1178821552399437824",""
"Joan_E_Sweeney","2019-10-01 00:58","0","0","What an amazing photo my son, Gavin Sweeney took this evening...I never thought a fly had such beautiful coloring #irishwildlife #autum #rain #irishweather #drumshanbo #ilovemyson ❤️❤️❤️pic.twitter.com/hL4mLBbK6c","","","#irishwildlife #autum #rain #irishweather #drumshanbo #ilovemyson","1178821399521234944","https://twitter.com/Joan_E_Sweeney/status/1178821399521234944","❤️ 🦟 🌧"
"SonamPBanka1","2019-10-01 00:58","0","1","Congratulations Dr! Delighted for you 😊","","","","1178821375131340800","https://twitter.com/SonamPBanka1/status/1178821375131340800","😊"
"wjsmszmmdlqslel","2019-10-01 00:58","0","0","I should never drink tea in the afternoon. Can't fall asleep😣","","","","1178821373600452611","https://twitter.com/wjsmszmmdlqslel/status/1178821373600452611","😣"
"KickAssCantona2","2019-10-01 00:57","0","1","He’s my winner he’s brilliant","","","","1178821209099771906","https://twitter.com/KickAssCantona2/status/1178821209099771906",""
"philipnolan1","2019-10-01 00:57","1","2","I think we in this jurisdiction kinda agreed to it twice - in 1921 and in the post-GFA referendum. Right or wrong, that’s a simple fact.","","","","1178821202351202305","https://twitter.com/philipnolan1/status/1178821202351202305",""
"betdaqsports","2019-10-01 00:57","0","0","Poor old Andypic.twitter.com/aGNZuYzmrn","","","","1178821174207373313","https://twitter.com/betdaqsports/status/1178821174207373313",""
